COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
AFSL,N,0,ABANS FINANCIAL,2019-04-08,15.5,8,4,2019,52.74725274725275,-0.03216248475438377,-0.15238788311811463,0.12022539836373086,15.939999999999998,17.694872914876864,14.185127085123131,-2.0,1.3357142857142854,1.3357142857142854,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.2,15.2,16.5,17.3,17.5,17.3,17.5,17.5,16.5,15.97142857142857,16.17,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-04-09,16.8,9,4,2019,50.0,-0.047784918258063414,-0.1314672901461044,0.08368237188804098,15.934999999999999,17.688522770101137,14.18147722989886,-2.0,1.3857142857142855,1.3857142857142855,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.2,15.2,16.5,17.3,17.5,17.3,17.5,16.371428571428574,16.007142857142856,16.136666666666667,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-04-10,15.9,10,4,2019,55.8139534883721,-0.059480159114130515,-0.11706986393970963,0.05758970482557911,15.954999999999998,17.701545462514957,14.20845453748504,-5.0,1.321428571428571,1.321428571428571,16.0,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.2,15.2,16.5,17.3,17.5,17.3,16.2,16.007142857142856,16.086666666666666,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-04-12,15.5,12,4,2019,54.54545454545455,-0.12380571637613258,-0.11841703442699422,-0.0053886819491383575,15.919999999999998,17.69063770849286,14.149362291507137,-9.0,1.3428571428571427,1.3428571428571427,16.0,16.0,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.2,15.2,16.5,17.3,17.5,16.25714285714286,16.07857142857143,16.043333333333333,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-04-23,15.2,23,4,2019,53.932584269662925,-0.18076954937198764,-0.1308875374159929,-0.04988201195599473,15.904999999999998,17.695589435441804,14.114410564558193,0.0,1.1714285714285713,1.1714285714285713,15.3,16.0,16.0,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.2,15.2,16.5,17.3,16.02857142857143,16.135714285714283,15.969999999999997,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-04-24,15.2,24,4,2019,52.27272727272727,-0.23131648919071068,-0.15097332777093647,-0.08034316141977421,15.885,17.70335669015504,14.06664330984496,4.0,1.1714285714285713,1.1714285714285713,15.2,15.3,16.0,16.0,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.2,15.2,16.5,15.914285714285715,16.185714285714287,15.899999999999997,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-04-26,15.1,26,4,2019,30.645161290322577,-0.2762599150977927,-0.17603064523630774,-0.10022926986148495,15.834999999999999,17.694569842732456,13.975430157267542,-4.0,0.9785714285714283,0.9785714285714283,15.1,15.2,15.3,16.0,16.0,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.2,15.2,15.799999999999999,16.214285714285715,15.85333333333333,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-04-30,16.0,30,4,2019,40.27777777777778,-0.22855166000963578,-0.18653484819097338,-0.0420168118186624,15.834999999999999,17.694569842732456,13.975430157267542,-1.0,0.9499999999999998,0.9499999999999998,15.0,15.1,15.2,15.3,16.0,16.0,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.2,15.585714285714285,16.04285714285714,15.846666666666666,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-05-02,16.0,2,5,2019,41.42857142857144,-0.18856882015413134,-0.186941642583605,-0.0016271775705263558,15.885,17.70335669015504,14.06664330984496,2.0,0.7499999999999998,0.7499999999999998,16.0,15.0,15.1,15.2,15.3,16.0,16.0,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,16.4,15.514285714285714,15.942857142857141,15.873333333333331,,,,,,
AFSL,N,0,ABANS FINANCIAL,2019-05-03,15.8,3,5,2019,53.70370370370371,-0.1550943009493455,-0.1805721742567531,0.025477873307407584,15.959999999999999,17.65755241760787,14.262447582392129,-2.0,0.6357142857142855,0.6357142857142855,16.0,16.0,15.0,15.1,15.2,15.3,16.0,16.0,16.5,16.5,15.9,16.0,16.9,15.6,17.2,17.4,17.4,14.7,14.5,14.5,15.0,16.0,16.0,15.5,15.5,16.0,15.6,16.1,16.0,16.4,15.514285714285714,15.857142857142858,15.860000000000001,,,,,,
