COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
APLA,N,0,ACL PLASTICS,2019-03-01,73.7,1,3,2019,54.3918918918919,0.14471306865803513,-0.011816840505803883,0.15652990916383902,72.58500000000001,76.4453381362668,68.72466186373322,1.0,3.471428571428574,3.471428571428574,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,73.5,71.1,72.0,72.0,74.1,74.1,74.1,74.1,73.11428571428571,72.95714285714286,72.69333333333333,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-05,73.7,5,3,2019,54.3918918918919,0.17834499189277153,0.026215525973911198,0.15212946591886034,72.665,76.5492597343909,68.78074026560911,-1.0,3.050000000000002,3.050000000000002,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,73.5,71.1,72.0,72.0,74.1,74.1,74.1,73.5,73.14285714285714,72.67999999999999,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-07,73.9,7,3,2019,44.44444444444444,0.21063957571608682,0.06310033592234633,0.1475392397937405,72.795,76.64671185455587,68.94328814544413,3.0,2.671428571428574,2.671428571428574,73.7,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,73.5,71.1,72.0,72.0,74.1,74.1,73.88571428571429,73.32857142857142,72.66666666666666,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-08,76.9,8,3,2019,66.35071090047393,0.4888118043444223,0.14824262960676152,0.3405691747376608,73.09,77.28367945465803,68.89632054534198,0.0,2.435714285714288,2.435714285714288,73.8,73.7,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,73.5,71.1,72.0,72.0,74.1,73.54285714285713,73.13571428571429,72.65666666666667,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-11,77.0,11,3,2019,45.99999999999998,0.40602580906070784,0.19979926549755078,0.20622654356315706,73.2,77.2879798124952,69.11202018750481,0.0,2.364285714285716,2.364285714285716,77.0,73.8,73.7,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,73.5,71.1,72.0,72.0,73.94285714285715,73.62857142857145,72.75333333333333,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-12,73.1,12,3,2019,45.54455445544552,0.3205834958434224,0.22395611156672512,0.09662738427669726,73.3,77.2677648487198,69.33223515128019,7.0,2.557142857142859,2.557142857142859,73.3,77.0,73.8,73.7,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,73.5,71.1,72.0,73.95714285714287,73.51428571428573,72.79666666666667,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-13,74.0,13,3,2019,58.72093023255813,0.3217830111763931,0.24352149148865873,0.07826151968773434,73.445,77.28411996494806,69.60588003505192,-9.0,2.3428571428571447,2.3428571428571447,73.1,73.3,77.0,73.8,73.7,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,73.5,71.1,73.94285714285714,73.38571428571429,72.83333333333331,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-14,75.0,14,3,2019,61.2021857923497,0.40680504727856714,0.27617820264664045,0.1306268446319267,73.64500000000001,77.38523641245474,69.90476358754528,2.0,2.521428571428573,2.521428571428573,74.0,73.1,73.3,77.0,73.8,73.7,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,73.5,74.08571428571429,73.60000000000001,72.92999999999999,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-15,75.1,15,3,2019,60.869565217391305,0.46080459069447954,0.31310348025620827,0.14770111043827128,73.57000000000001,77.12474479060248,70.01525520939754,0.0,2.52857142857143,2.52857142857143,75.1,74.0,73.1,73.3,77.0,73.8,73.7,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,73.5,74.28571428571429,73.89285714285715,72.98333333333332,,,,,,
APLA,N,0,ACL PLASTICS,2019-03-18,76.0,18,3,2019,45.454545454545446,0.4978605909126941,0.3500549023875054,0.14780568852518866,73.81500000000001,77.02109616692616,70.60890383307387,4.0,1.6785714285714295,1.6785714285714295,75.0,75.1,74.0,73.1,73.3,77.0,73.8,73.7,73.7,73.0,73.2,73.2,74.2,76.2,71.0,71.0,71.0,74.9,74.9,70.1,76.5,71.1,71.1,71.1,71.1,71.1,71.2,72.1,72.1,72.2,74.47142857142856,74.17857142857144,73.03333333333332,,,,,,
