COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ACME,N,0,ACME,2019-02-15,3.9,15,2,2019,28.57142857142857,-0.06487534278556062,-0.03400119018599604,-0.03087415259956458,4.18,4.488476732893814,3.871523267106185,-4.0,0.1642857142857143,0.1642857142857143,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,4.1,4.2,4.2,4.2,4.1,4.2,4.2,4.2,4.057142857142858,4.142857142857144,4.1866666666666665,,,,,,
ACME,N,0,ACME,2019-02-18,3.9,18,2,2019,0.0,-0.07364225678394831,-0.04192940350558649,-0.03171285327836182,4.155,4.469391643119147,3.840608356880853,-7.0,0.15,0.15,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,4.1,4.2,4.2,4.2,4.1,4.2,4.2,4.028571428571429,4.121428571428572,4.176666666666667,,,,,,
ACME,N,0,ACME,2019-02-20,4.0,20,2,2019,0.0,-0.07967169359996173,-0.04947786152446154,-0.030193832075500193,4.125,4.414282233340236,3.835717766659764,-3.0,0.14285714285714285,0.14285714285714285,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,4.1,4.2,4.2,4.2,4.1,4.2,4.0,4.085714285714286,4.166666666666667,,,,,,
ACME,N,0,ACME,2019-02-21,3.8,21,2,2019,0.0,-0.09146487978230855,-0.05787526517603095,-0.0335896146062776,4.095,4.388616290957753,3.8013837090422467,1.0,0.14285714285714288,0.14285714285714288,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,4.1,4.2,4.2,4.2,4.1,3.971428571428571,4.064285714285715,4.156666666666666,,,,,,
ACME,N,0,ACME,2019-02-22,3.8,22,2,2019,0.0,-0.09966222075386488,-0.06623265629159775,-0.033429564462267136,4.075,4.39205885224903,3.7579411477509703,4.0,0.13571428571428576,0.13571428571428576,3.8,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,4.1,4.2,4.2,4.2,3.9285714285714284,4.0357142857142865,4.1466666666666665,,,,,,
ACME,N,0,ACME,2019-02-25,3.7,25,2,2019,0.0,-0.12090330304492625,-0.07716678564226345,-0.043736517402662795,4.045,4.420429578511138,3.669570421488862,0.0,0.14285714285714293,0.14285714285714293,3.8,3.8,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,4.1,4.2,4.2,3.9,4.007142857142858,4.133333333333334,,,,,,
ACME,N,0,ACME,2019-02-26,3.8,26,2,2019,24.99999999999997,-0.12021294526105786,-0.08577601756602234,-0.03443692769503552,4.025,4.408199824195101,3.6418001758049,0.0,0.15714285714285722,0.15714285714285722,3.6,3.8,3.8,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,4.1,4.2,3.8428571428571425,3.964285714285715,4.113333333333333,,,,,,
ACME,N,0,ACME,2019-02-27,3.9,27,2,2019,28.57142857142857,-0.11830211856131934,-0.09228123776508175,-0.026020880796237586,3.9949999999999997,4.347285769167437,3.642714230832563,-3.0,0.15000000000000008,0.15000000000000008,3.8,3.6,3.8,3.8,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,4.1,3.8142857142857136,3.9357142857142864,4.1,,,,,,
ACME,N,0,ACME,2019-02-28,4.0,28,2,2019,37.5,-0.10747965184715014,-0.09532092058149542,-0.012158731265654713,3.9799999999999995,4.320896650490712,3.639103349509287,9.0,0.1571428571428572,0.1571428571428572,3.8,3.8,3.6,3.8,3.8,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,4.1,3.8,3.9142857142857146,4.090000000000001,,,,,,
ACME,N,0,ACME,2019-03-01,4.0,1,3,2019,27.272727272727266,-0.12170729585346018,-0.10059819563588838,-0.0211091002175718,3.9499999999999993,4.314186187200126,3.5858138127998727,-10.0,0.17857142857142858,0.17857142857142858,3.9,3.8,3.8,3.6,3.8,3.8,3.9,3.9,3.9,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.4,4.2,4.2,4.2,4.4,4.5,4.4,4.2,4.2,3.8,3.9,4.083333333333334,,,,,,
