COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE 
AFS,N,0,ALPHA FIRE,2023-07-25,40.0,,,,,25,7,2023,51.22615803814714,5.600500081101387,6.9084600043877975,-1.3079599232864103,38.660000000000004,59.51240362265476,17.807596377345245,0.0,4.385714285714286,4.385714285714286,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,25.3,20.3,20.3,20.3,19.1,12.2,12.0,11.7,43.714285714285715,44.464285714285715,30.716666666666665,
AFS,N,0,ALPHA FIRE,2023-07-26,39.9,,,,,26,7,2023,39.52702702702702,5.117187761483528,6.550205555806944,-1.4330177943234155,39.9,57.5878191806797,22.212180819320295,52.0,4.014285714285714,4.014285714285714,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,25.3,20.3,20.3,20.3,19.1,12.2,12.0,42.41428571428571,44.528571428571425,31.589999999999996,
AFS,N,0,ALPHA FIRE,2023-07-27,42.3,,,,,27,7,2023,30.501930501930488,4.672231525184827,6.174610749682521,-1.5023792244976937,40.63,56.93151429840346,24.32848570159655,-12.0,3.5285714285714285,3.5285714285714285,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,25.3,20.3,20.3,20.3,19.1,12.2,41.41428571428571,44.08571428571429,32.52333333333333,
AFS,N,0,ALPHA FIRE,2023-07-28,41.9,,,,,28,7,2023,36.05947955390335,4.4139640292222,5.822481405590457,-1.4085173763682572,41.765,54.495283000120516,29.034716999879485,-46.0,3.5357142857142856,3.5357142857142856,39.9,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,25.3,20.3,20.3,20.3,19.1,40.87142857142857,43.36428571428572,33.446666666666665,
AFS,N,0,ALPHA FIRE,2023-07-31,41.6,,,,,31,7,2023,52.08333333333332,4.185247740029574,5.495034672478281,-1.3097869324487066,42.68,52.15852975496668,33.20147024503332,-8.0,2.857142857142857,2.857142857142857,41.7,39.9,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,25.3,20.3,20.3,20.3,40.72857142857142,42.82857142857143,34.2,
AFS,N,0,ALPHA FIRE,2023-08-02,42.0,,,,,2,8,2023,37.414965986394584,3.974313351174608,5.190890408217546,-1.2165770570429384,43.309999999999995,50.535073301394625,36.084926698605365,1.0,2.3571428571428577,2.3571428571428577,42.0,41.7,39.9,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,25.3,20.3,20.3,40.628571428571426,42.885714285714286,34.923333333333325,
AFS,N,0,ALPHA FIRE,2023-08-03,42.9,,,,,3,8,2023,30.136986301369888,3.6839879655911005,4.889509919692258,-1.2055219541011573,43.52,50.19614764429459,36.843852355705415,16.0,2.3071428571428574,2.3071428571428574,42.2,42.0,41.7,39.9,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,25.3,20.3,40.557142857142864,42.621428571428574,35.65333333333333,
AFS,N,0,ALPHA FIRE,2023-08-04,41.0,,,,,4,8,2023,30.136986301369888,3.4145422878195077,4.594516393317708,-1.1799741054982,43.27,49.897883682236916,36.64211631776309,-20.0,2.2500000000000004,2.2500000000000004,41.2,42.2,42.0,41.7,39.9,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,25.3,40.7,42.207142857142856,36.35,
AFS,N,0,ALPHA FIRE,2023-08-08,41.3,,,,,8,8,2023,28.571428571428584,3.100708297681429,4.295754774190453,-1.1950464765090238,42.790000000000006,48.71937380203086,36.860626197969154,4.0,2.214285714285715,2.214285714285715,41.2,41.2,42.2,42.0,41.7,39.9,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,15.0,41.17142857142858,41.792857142857144,36.88,
AFS,N,0,ALPHA FIRE,2023-08-10,40.2,,,,,10,8,2023,36.065573770491795,2.8115140513033765,3.9989066296130376,-1.187392578309661,42.345,47.53911610433021,37.150883895669786,0.0,1.942857142857143,1.942857142857143,40.4,41.2,41.2,42.2,42.0,41.7,39.9,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,15.0,41.22857142857142,41.32142857142857,37.726666666666674,
AFS,N,0,ALPHA FIRE,2023-08-11,41.6,,,,,11,8,2023,64.39790575916228,3.183096746576375,3.835744653005705,-0.6526479064293302,42.69500000000001,48.474628471031444,36.91537152896857,29.0,2.4928571428571433,2.4928571428571433,40.3,40.4,41.2,41.2,42.2,42.0,41.7,39.9,40.0,37.9,40.2,42.7,42.7,42.7,43.7,47.0,47.0,47.0,45.9,41.2,49.2,50.0,46.2,37.0,29.6,23.7,19.0,25.3,15.2,15.0,41.285714285714285,41.07857142857143,38.57000000000001,
