COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ATLL,N,0,AMANA LIFE,2019-03-14,8.9,14,3,2019,0.0,-0.17787365472337768,-0.06753870522025009,-0.1103349495031276,9.965,10.81915393657608,9.110846063423919,4.0,0.5142857142857142,0.5142857142857142,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,10.2,10.2,10.1,10.1,10.5,10.9,10.0,10.0,9.942857142857141,9.971428571428572,10.109999999999998,,,,,,
ATLL,N,0,AMANA LIFE,2019-03-15,9.9,15,3,2019,46.66666666666668,-0.15887829002843823,-0.08580662218188773,-0.0730716678465505,9.915000000000001,10.675263112349924,9.154736887650078,0.0,0.5928571428571427,0.5928571428571427,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,10.2,10.2,10.1,10.1,10.5,10.9,10.0,9.714285714285714,9.857142857142858,10.056666666666667,,,,,,
ATLL,N,0,AMANA LIFE,2019-03-18,9.0,18,3,2019,46.66666666666668,-0.14218530298791876,-0.09708235834309395,-0.04510294464482481,9.88,10.589632966658407,9.170367033341595,-2.0,0.6428571428571429,0.6428571428571429,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,10.2,10.2,10.1,10.1,10.5,10.9,9.685714285714285,9.842857142857143,10.05,,,,,,
ATLL,N,0,AMANA LIFE,2019-03-19,9.0,19,3,2019,36.8421052631579,-0.19130407037226504,-0.11592670074892816,-0.07537736962333688,9.830000000000002,10.638116719031935,9.02188328096807,1.0,0.6428571428571429,0.6428571428571429,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,10.2,10.2,10.1,10.1,10.5,9.657142857142857,9.828571428571431,10.013333333333334,,,,,,
ATLL,N,0,AMANA LIFE,2019-03-21,9.0,21,3,2019,36.8421052631579,-0.22760733176601455,-0.13826282695234546,-0.0893445048136691,9.780000000000001,10.664010002324925,8.895989997675077,-1.0,0.6,0.6,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,10.2,10.2,10.1,10.1,9.528571428571428,9.757142857142856,9.963333333333333,,,,,,
ATLL,N,0,AMANA LIFE,2019-03-25,8.8,25,3,2019,35.000000000000014,-0.26941065813700327,-0.16449239318927703,-0.10491826494772624,9.72,10.698936049736483,8.741063950263518,-1.0,0.5714285714285714,0.5714285714285714,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,10.2,10.2,10.1,9.4,9.685714285714287,9.926666666666666,,,,,,
ATLL,N,0,AMANA LIFE,2019-03-27,8.7,27,3,2019,33.33333333333333,-0.3150467610414882,-0.19460326675971928,-0.12044349428176893,9.65,10.738697918568194,8.561302081431807,3.0,0.55,0.55,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,10.2,10.2,9.242857142857144,9.6,9.883333333333333,,,,,,
ATLL,N,0,AMANA LIFE,2019-03-28,8.7,28,3,2019,32.55813953488372,-0.35518847401746356,-0.22672030821126815,-0.1284681658061954,9.575,10.764205838497174,8.385794161502824,-2.0,0.5571428571428572,0.5571428571428572,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,10.2,9.057142857142857,9.500000000000002,9.83,,,,,,
ATLL,N,0,AMANA LIFE,2019-03-29,8.7,29,3,2019,35.55555555555554,-0.3666363861893238,-0.2547035238068793,-0.11193286238244454,9.510000000000002,10.742712029376044,8.27728797062396,-1.0,0.5714285714285714,0.5714285714285714,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,10.2,9.071428571428571,9.392857142857144,9.773333333333333,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-01,9.2,1,4,2019,36.95652173913045,-0.3634501477349197,-0.27645284859248737,-0.08699729914243232,9.45,10.698999599679668,8.20100040032033,1.0,0.5357142857142857,0.5357142857142857,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,10.2,8.914285714285713,9.3,9.723333333333333,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-02,8.8,2,4,2019,37.777777777777786,-0.356811925040045,-0.2925246638819989,-0.06428726115804612,9.39,10.64303841248298,8.136961587517021,-1.0,0.5,0.5,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,10.0,8.771428571428572,9.214285714285717,9.676666666666668,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-03,8.5,3,4,2019,41.66666666666666,-0.3236131816176808,-0.2987423674291353,-0.02487081418854553,9.345,10.570131571881578,8.119868428118423,5.0,0.49285714285714277,0.49285714285714277,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,10.8,8.742857142857144,9.135714285714286,9.636666666666667,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-08,9.0,8,4,2019,41.66666666666666,-0.29391487059881705,-0.2977768680630717,0.0038619974642546406,9.3,10.489427106680033,8.110572893319969,-3.0,0.49285714285714277,0.49285714285714277,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.5,8.757142857142856,9.078571428571431,9.58,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-09,9.1,9,4,2019,41.66666666666666,-0.2672975058906033,-0.291680995628578,0.024383489737974717,9.255,10.400195915208615,8.109804084791387,-3.0,0.48571428571428565,0.48571428571428565,9.1,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.8,9.02142857142857,9.533333333333333,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-10,9.0,10,4,2019,60.60606060606059,-0.24339731979851997,-0.28202426046256646,0.03862694066404648,9.21,10.301401802608376,8.118598197391625,4.0,0.3857142857142856,0.3857142857142856,9.1,9.1,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.87142857142857,8.964285714285714,9.503333333333334,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-11,9.0,11,4,2019,31.578947368421026,-0.22189834414462517,-0.2699990771989782,0.04810073305435303,9.165000000000001,10.19154248508485,8.138457514915151,1.0,0.2928571428571427,0.2928571428571427,9.1,9.1,9.1,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.957142857142857,9.014285714285712,9.473333333333333,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-16,8.9,16,4,2019,31.578947368421026,-0.20252566129163618,-0.2565043940175098,0.05397873272587361,9.125,10.091545666958243,8.158454333041757,-4.0,0.24999999999999975,0.24999999999999975,9.1,9.1,9.1,9.1,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.014285714285714,8.964285714285714,9.443333333333333,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-17,8.9,17,4,2019,46.15384615384617,-0.20099406462571423,-0.2454023281391507,0.04440826351343646,9.075,9.973829648399555,8.176170351600444,0.0,0.2071428571428568,0.2071428571428568,9.1,9.1,9.1,9.1,9.1,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.057142857142859,8.914285714285713,9.413333333333332,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-18,8.9,18,4,2019,46.15384615384617,-0.19750356507690725,-0.235822575526702,0.038319010449794744,9.025,9.837727700887227,8.212272299112774,-1.0,0.2071428571428568,0.2071428571428568,8.9,9.1,9.1,9.1,9.1,9.1,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.071428571428573,8.907142857142857,9.376666666666667,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-23,8.8,23,4,2019,70.58823529411764,-0.1446548424665668,-0.21758902891467496,0.07293418644810817,9.004999999999999,9.743348085076953,8.266651914923045,7.0,0.31428571428571395,0.31428571428571395,8.9,8.9,9.1,9.1,9.1,9.1,9.1,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.042857142857143,8.9,9.34,,,,,,
ATLL,N,0,AMANA LIFE,2019-04-24,8.8,24,4,2019,57.14285714285717,-0.14946390774374763,-0.2039640046804895,0.054500096936741876,9.030000000000001,9.713951367923316,8.346048632076686,-1.0,0.3428571428571424,0.3428571428571424,9.5,8.9,8.9,9.1,9.1,9.1,9.1,9.1,9.1,8.8,8.8,8.7,8.5,8.6,8.8,9.0,9.0,9.8,9.8,8.4,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0,9.1,8.95,9.323333333333334,,,,,,
