COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ACAP,N,0,ASIA CAPITAL,2019-02-21,6.1,21,2,2019,44.00000000000001,-0.007338507578613651,0.021949854088918835,-0.029288361667532486,6.245,6.819822627104726,5.6701773728952745,10.0,0.292857142857143,0.292857142857143,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,6.0,6.0,6.0,6.1,6.4,6.4,6.2,6.2,6.214285714285715,6.364285714285714,6.213333333333334,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-02-22,5.9,22,2,2019,21.0526315789474,-0.032020441618156426,0.011155794947503782,-0.043176236565660206,6.244999999999999,6.819822627104725,5.670177372895274,1.0,0.22857142857142865,0.22857142857142865,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,6.0,6.0,6.0,6.1,6.4,6.4,6.2,6.185714285714286,6.3428571428571425,6.206666666666667,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-02-25,6.0,25,2,2019,23.5294117647059,-0.05099323390989863,-0.0012740108239767001,-0.04971922308592193,6.24,6.825437308432989,5.654562691567011,-1.0,0.20714285714285716,0.20714285714285716,5.9,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,6.0,6.0,6.0,6.1,6.4,6.4,6.142857142857143,6.264285714285714,6.196666666666667,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-02-26,6.0,26,2,2019,33.33333333333333,-0.05729962976343028,-0.012479134611867417,-0.04482049515156286,6.24,6.825437308432989,5.654562691567011,-11.0,0.16428571428571428,0.16428571428571428,5.9,5.9,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,6.0,6.0,6.0,6.1,6.4,6.128571428571427,6.200000000000001,6.180000000000001,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-02-27,6.0,27,2,2019,35.71428571428571,-0.061587550961913706,-0.022300817881876676,-0.03928673308003703,6.24,6.825437308432989,5.654562691567011,9.0,0.16428571428571428,0.16428571428571428,6.0,5.9,5.9,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,6.0,6.0,6.0,6.1,6.0857142857142845,6.1642857142857155,6.166666666666667,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-03-01,5.9,1,3,2019,35.71428571428572,-0.07222238892697064,-0.032285132090895466,-0.03993725683607517,6.24,6.825437308432989,5.654562691567011,-3.0,0.15714285714285708,0.15714285714285708,6.0,6.0,5.9,5.9,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,6.0,6.0,6.0,6.042857142857143,6.135714285714285,6.163333333333332,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-03-05,6.0,5,3,2019,39.99999999999999,-0.07175427178931582,-0.04017896003057954,-0.03157531175873628,6.225,6.819270893395295,5.630729106604704,2.0,0.15714285714285703,0.15714285714285703,5.9,6.0,6.0,5.9,5.9,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,6.0,6.0,5.971428571428571,6.107142857142857,6.159999999999999,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-03-06,5.9,6,3,2019,39.99999999999999,-0.07854700882631693,-0.04785256978972702,-0.030694439036589916,6.17,6.656014944539558,5.683985055460441,-4.0,0.15714285714285703,0.15714285714285703,6.0,5.9,6.0,6.0,5.9,5.9,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,6.0,5.957142857142856,6.085714285714286,6.159999999999999,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-03-07,5.7,7,3,2019,37.499999999999986,-0.09095103916782676,-0.05647226366534697,-0.0344787755024798,6.119999999999999,6.5334578193976425,5.706542180602356,4.0,0.18571428571428564,0.18571428571428564,5.9,6.0,5.9,6.0,6.0,5.9,5.9,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,6.1,5.942857142857143,6.064285714285715,6.156666666666667,,,,,,
ACAP,N,0,ASIA CAPITAL,2019-03-08,5.8,8,3,2019,42.85714285714285,-0.09963281747906283,-0.06510437442809014,-0.03452844305097269,6.085,6.481165834494918,5.688834165505082,-7.0,0.18571428571428564,0.18571428571428564,5.8,5.9,6.0,5.9,6.0,6.0,5.9,5.9,6.0,6.1,6.4,6.3,6.3,6.0,6.2,6.2,6.3,6.3,6.4,6.5,6.8,7.0,6.3,5.9,6.0,6.0,6.0,5.9,5.9,6.2,5.928571428571429,6.035714285714286,6.1466666666666665,,,,,,
