COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
BFL,N,0,BAIRAHA FARMS,2019-02-18,120.0,18,2,2019,46.222222222222214,-1.4609285386868294,-1.1752871564709233,-0.28564138221590607,124.09,129.6469397106112,118.53306028938879,-4.0,3.164285714285716,3.164285714285716,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,129.6,130.0,128.0,129.0,131.8,129.4,128.5,125.0,121.87142857142858,123.05,126.06,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-02-20,122.0,20,2,2019,36.28691983122364,-1.6833795487534502,-1.2769056349274286,-0.4064739138260216,123.52000000000001,128.9036399347809,118.13636006521911,16.0,3.3214285714285734,3.3214285714285734,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,129.6,130.0,128.0,129.0,131.8,129.4,128.5,121.62857142857142,122.92857142857143,125.94333333333334,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-02-21,118.0,21,2,2019,39.84063745019923,-1.7267998039480545,-1.3668844687315538,-0.35991533521650076,123.06499999999998,128.01964694158812,118.11035305841186,-13.0,3.392857142857145,3.392857142857145,118.5,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,129.6,130.0,128.0,129.0,131.8,129.4,121.39999999999999,122.46428571428574,125.61,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-02-22,120.0,22,2,2019,39.215686274509814,-1.773048724069767,-1.4481173197991963,-0.32493140427057066,122.625,127.1680687518691,118.0819312481309,1.0,3.3785714285714303,3.3785714285714303,119.9,118.5,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,129.6,130.0,128.0,129.0,131.8,120.81428571428572,122.10000000000001,125.29333333333332,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-02-25,120.0,25,2,2019,41.7670682730924,-1.7571691176230217,-1.5099276793639616,-0.2472414382590602,122.35499999999999,126.8704588273011,117.83954117269887,-4.0,3.3428571428571447,3.3428571428571447,119.5,119.9,118.5,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,129.6,130.0,128.0,129.0,120.3142857142857,121.70714285714287,124.88333333333334,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-02-27,120.0,27,2,2019,38.80597014925375,-1.8762700627986817,-1.5831961560509056,-0.2930739067477761,122.0,126.71860818016219,117.28139181983781,8.0,3.4071428571428592,3.4071428571428592,119.9,119.5,119.9,118.5,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,129.6,130.0,128.0,120.5142857142857,121.41428571428571,124.57999999999998,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-02-28,120.0,28,2,2019,39.69465648854963,-1.9482007741152358,-1.6561970796637717,-0.2920036944514641,121.73999999999998,126.74458736928837,116.7354126307116,-10.0,3.3500000000000014,3.3500000000000014,118.0,119.9,119.5,119.9,118.5,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,129.6,130.0,119.79999999999998,120.98571428571428,124.24666666666666,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-03-01,120.0,1,3,2019,42.22222222222223,-1.9025829465243334,-1.7054742530358842,-0.19710869348844917,121.43999999999998,126.34001074112665,116.53998925887332,4.0,3.357142857142858,3.357142857142858,118.0,118.0,119.9,119.5,119.9,118.5,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,129.6,119.32857142857142,120.6,123.84666666666665,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-03-05,118.0,5,3,2019,45.7831325301205,-1.9249327061437214,-1.7493659436574518,-0.17556676248626957,121.08999999999999,125.91881700670143,116.26118299329855,12.0,3.2000000000000006,3.2000000000000006,119.0,118.0,118.0,119.9,119.5,119.9,118.5,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,130.0,118.97142857142856,120.29999999999998,123.49333333333333,,,,,,
BFL,N,0,BAIRAHA FARMS,2019-03-06,118.0,6,3,2019,35.71428571428574,-1.9205066465162304,-1.7835940842292075,-0.13691256228702287,120.73999999999998,125.38685519011439,116.09314480988557,-5.0,2.6714285714285717,2.6714285714285717,118.0,119.0,118.0,118.0,119.9,119.5,119.9,118.5,121.5,121.3,123.0,118.5,123.0,124.0,120.1,123.2,123.4,124.0,124.0,125.0,125.0,125.0,123.2,125.1,125.3,128.3,129.0,129.9,130.1,130.1,118.89999999999999,120.14999999999999,123.09333333333335,,,,,,
