COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
BPPL,N,0,BPPL HOLDINGS,2019-03-05,10.3,5,3,2019,23.07692307692301,-0.3465306199183047,-0.3452607781567957,-0.0012698417615090163,10.46,11.429861628763295,9.490138371236707,-14.0,0.2285714285714284,0.2285714285714284,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,11.6,11.6,11.3,11.5,11.4,11.6,11.6,11.6,10.0,10.22857142857143,10.840000000000002,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-06,10.3,6,3,2019,62.500000000000014,-0.2656310059717253,-0.3293348237197816,0.06370381774805634,10.455000000000002,11.41411143087867,9.495888569121334,11.0,0.257142857142857,0.257142857142857,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,11.6,11.6,11.3,11.5,11.4,11.6,11.6,10.014285714285714,10.178571428571429,10.793333333333335,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-07,10.5,7,3,2019,52.63157894736841,-0.2311298154896857,-0.30969382207376245,0.07856400658407675,10.430000000000001,11.354747476199242,9.505252523800761,-18.0,0.257142857142857,0.257142857142857,10.9,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,11.6,11.6,11.3,11.5,11.4,11.6,10.142857142857142,10.207142857142857,10.770000000000001,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-08,10.5,8,3,2019,52.63157894736841,-0.20146501023464225,-0.2880480597059384,0.08658304947129614,10.385000000000002,11.190964606771567,9.579035393228436,0.0,0.23571428571428563,0.23571428571428563,10.5,10.9,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,11.6,11.6,11.3,11.5,11.4,10.214285714285714,10.214285714285714,10.733333333333336,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-12,10.2,12,3,2019,52.63157894736841,-0.175927456143258,-0.2656239389934023,0.08969648285014431,10.34,10.993412096935065,9.686587903064934,0.0,0.25,0.25,10.5,10.5,10.9,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,11.6,11.6,11.3,11.5,10.299999999999999,10.221428571428572,10.703333333333337,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-13,10.4,13,3,2019,52.63157894736841,-0.16189173762558617,-0.24487749871983908,0.0829857610942529,10.31,10.88637706956108,9.733622930438921,2.0,0.25,0.25,10.5,10.5,10.5,10.9,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,11.6,11.6,11.3,10.37142857142857,10.22857142857143,10.670000000000003,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-14,9.9,14,3,2019,41.66666666666666,-0.18893621186244403,-0.23368924134836008,0.04475302948591606,10.26,10.79271894436395,9.72728105563605,0.0,0.25714285714285723,0.25714285714285723,10.4,10.5,10.5,10.5,10.9,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,11.6,11.6,10.428571428571429,10.235714285714286,10.640000000000002,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-15,9.9,15,3,2019,45.454545454545475,-0.20797178328035315,-0.22854574973475872,0.020573966454405568,10.23,10.773284359002608,9.686715640997393,1.0,0.25,0.25,9.9,10.4,10.5,10.5,10.5,10.9,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,11.6,10.414285714285713,10.207142857142857,10.583333333333334,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-18,9.9,18,3,2019,45.454545454545475,-0.22849285167580646,-0.22853517012296826,4.231844716179323e-05,10.2,10.769394877317861,9.630605122682137,3.0,0.25,0.25,9.9,9.9,10.4,10.5,10.5,10.5,10.9,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,11.3,10.371428571428572,10.192857142857145,10.526666666666666,,,,,,
BPPL,N,0,BPPL HOLDINGS,2019-03-19,9.8,19,3,2019,45.454545454545475,-0.24196670467308934,-0.23122147703299248,-0.01074522764009686,10.17,10.757949156412653,9.582050843587346,-3.0,0.21428571428571427,0.21428571428571427,9.8,9.9,9.9,10.4,10.5,10.5,10.5,10.9,10.2,10.0,10.0,10.0,9.9,10.0,10.0,10.1,10.3,10.3,10.4,10.4,10.4,10.5,10.9,11.0,11.4,11.4,11.0,11.0,11.4,11.3,10.214285714285714,10.178571428571429,10.476666666666665,,,,,,
