COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
BRWN,N,0,BROWNS,2019-03-21,50.9,21,3,2019,43.62139917695473,-1.4411578206639533,-1.4346943311014382,-0.006463489562515079,52.90500000000001,56.994769006474066,48.81523099352595,-3.0,3.5285714285714285,3.5285714285714285,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,55.0,55.0,55.0,54.0,54.5,54.5,61.0,61.0,52.028571428571425,52.65714285714286,53.833333333333336,,,,,,
BRWN,N,0,BROWNS,2019-03-22,50.0,22,3,2019,42.06349206349206,-1.4974360319642912,-1.4472426712740087,-0.05019336069028246,52.705000000000005,56.957293498807445,48.452706501192566,3.0,3.2357142857142853,3.2357142857142853,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,55.0,55.0,55.0,54.0,54.5,54.5,61.0,51.87142857142857,52.435714285714276,53.49666666666667,,,,,,
BRWN,N,0,BROWNS,2019-03-27,49.9,27,3,2019,34.08071748878923,-1.5324410575475866,-1.4642823485287244,-0.06815870901886223,52.5,56.882741271468305,48.117258728531695,-3.0,3.0285714285714285,3.0285714285714285,50.0,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,55.0,55.0,55.0,54.0,54.5,54.5,51.58571428571428,52.15,53.13,,,,,,
BRWN,N,0,BROWNS,2019-03-28,49.5,28,3,2019,35.981308411214954,-1.5344257236593108,-1.4783110235548418,-0.05611470010446906,52.3,56.758935440568514,47.84106455943148,4.0,2.564285714285714,2.564285714285714,49.9,50.0,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,55.0,55.0,55.0,54.0,54.5,50.800000000000004,51.642857142857146,52.97666666666667,,,,,,
BRWN,N,0,BROWNS,2019-03-29,49.8,29,3,2019,44.25287356321839,-1.6780384880071395,-1.5182565164453015,-0.15978197156183804,52.0,56.77361167472311,47.22638832527689,4.0,2.2785714285714285,2.2785714285714285,50.0,49.9,50.0,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,55.0,55.0,55.0,54.0,50.61428571428572,51.214285714285715,52.82666666666666,,,,,,
BRWN,N,0,BROWNS,2019-04-01,46.1,1,4,2019,39.69072164948453,-1.9309768248835582,-1.6008005781329528,-0.3301762467506053,51.6,56.971268594642204,46.2287314053578,0.0,2.1357142857142857,2.1357142857142857,48.0,50.0,49.9,50.0,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,55.0,55.0,55.0,49.957142857142856,51.07142857142857,52.62666666666666,,,,,,
BRWN,N,0,BROWNS,2019-04-02,48.0,2,4,2019,45.07042253521126,-1.7960313415259606,-1.6398467308115545,-0.15618461071440604,51.395,56.69305326710225,46.096946732897756,7.0,2.121428571428571,2.121428571428571,46.0,48.0,50.0,49.9,50.0,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,55.0,55.0,49.385714285714286,50.78571428571429,52.32666666666666,,,,,,
BRWN,N,0,BROWNS,2019-04-03,50.0,3,4,2019,45.32710280373831,-1.6618600216130162,-1.644249388971847,-0.017610632641169133,51.19500000000001,56.379785434326116,46.0102145656739,-10.0,2.1285714285714286,2.1285714285714286,49.9,46.0,48.0,50.0,49.9,50.0,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,55.0,49.24285714285714,50.635714285714286,52.15666666666666,,,,,,
BRWN,N,0,BROWNS,2019-04-04,48.0,4,4,2019,45.32710280373831,-1.5378014658793617,-1.62295980435335,0.08515833847398824,50.845000000000006,55.269084799796424,46.42091520020359,-5.0,2.2714285714285714,2.2714285714285714,50.0,49.9,46.0,48.0,50.0,49.9,50.0,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,52.6,49.114285714285714,50.49285714285714,51.989999999999995,,,,,,
BRWN,N,0,BROWNS,2019-04-10,48.1,10,4,2019,31.500000000000014,-1.5826239482432598,-1.614892633131332,0.03226868488807222,50.44500000000001,54.31905676126126,46.57094323873876,2.0,2.057142857142857,2.057142857142857,50.0,50.0,49.9,46.0,48.0,50.0,49.9,50.0,50.9,50.9,50.0,52.6,51.3,55.4,52.0,52.0,52.0,50.0,50.0,56.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.6,52.6,49.11428571428571,50.34999999999999,51.90333333333333,,,,,,
