COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CWM,N,0,C.W.MACKIE,2019-03-15,39.1,15,3,2019,40.99378881987578,-1.203081576045406,-0.8995026140448742,-0.3035789620005319,41.934999999999995,46.230052233001416,37.639947766998574,3.0,1.6642857142857146,1.6642857142857146,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,43.0,43.0,42.8,43.6,39.68571428571429,41.42857142857143,42.876666666666665,,,,,,
CWM,N,0,C.W.MACKIE,2019-03-21,38.2,21,3,2019,30.0,-1.3117330075074705,-0.9819486927373935,-0.32978431477007697,41.595,45.977489078858696,37.2125109211413,3.0,1.5928571428571432,1.5928571428571432,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,43.0,43.0,42.8,39.471428571428575,41.221428571428575,42.726666666666674,,,,,,
CWM,N,0,C.W.MACKIE,2019-03-22,37.1,22,3,2019,28.125,-1.4616823283679707,-1.0778954198635091,-0.3837869085044616,41.265,45.96271501006493,36.56728498993507,0.0,1.3928571428571435,1.3928571428571435,38.1,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,43.0,43.0,39.199999999999996,40.792857142857144,42.570000000000014,,,,,,
CWM,N,0,C.W.MACKIE,2019-03-25,39.4,25,3,2019,37.36263736263736,-1.3790308580636008,-1.1381225075035275,-0.24090835056007331,41.035000000000004,45.61793172084144,36.45206827915857,-2.0,1.5500000000000003,1.5500000000000003,37.1,38.1,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,43.0,38.857142857142854,40.292857142857144,42.37333333333335,,,,,,
CWM,N,0,C.W.MACKIE,2019-03-26,38.5,26,3,2019,46.835443037974684,-1.2506967333742622,-1.1606373526776745,-0.0900593806965877,40.835,45.21787336656768,36.45212663343232,1.0,1.3714285714285717,1.3714285714285717,39.4,37.1,38.1,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,38.957142857142856,39.964285714285715,42.25333333333335,,,,,,
CWM,N,0,C.W.MACKIE,2019-03-27,40.0,27,3,2019,37.777777777777786,-1.1358971002601166,-1.155689302194163,0.019792201934046405,40.685,44.95990843238344,36.41009156761656,-5.0,1.171428571428572,1.171428571428572,40.0,39.4,37.1,38.1,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,44.9,44.9,44.9,39.1,39.892857142857146,42.09000000000002,,,,,,
CWM,N,0,C.W.MACKIE,2019-03-28,40.6,28,3,2019,37.777777777777764,-1.0011008395551926,-1.124771609666369,0.12367077011117633,40.605000000000004,44.835951118651806,36.3740488813482,5.0,1.1857142857142857,1.1857142857142857,40.0,40.0,39.4,37.1,38.1,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,44.9,44.9,39.17142857142857,39.65714285714286,41.926666666666684,,,,,,
CWM,N,0,C.W.MACKIE,2019-03-29,40.3,29,3,2019,49.03846153846152,-0.8840826770136658,-1.0766338231358283,0.1925511461221625,40.42,44.3179616805656,36.5220383194344,-5.0,0.9642857142857143,0.9642857142857143,40.4,40.0,40.0,39.4,37.1,38.1,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,44.9,39.15714285714286,39.42142857142857,41.776666666666685,,,,,,
CWM,N,0,C.W.MACKIE,2019-04-02,40.2,2,4,2019,57.65765765765768,-0.678623060469576,-0.9970316706025779,0.3184086101330019,40.3,43.85350086830614,36.74649913169385,3.0,1.0857142857142854,1.0857142857142854,40.4,40.4,40.0,40.0,39.4,37.1,38.1,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,44.9,39.34285714285715,39.40714285714286,41.62666666666668,,,,,,
CWM,N,0,C.W.MACKIE,2019-04-05,38.2,5,4,2019,45.07042253521127,-0.7970963174738444,-0.9570445999768312,0.15994828250298687,40.005,43.22956035354963,36.780439646450375,1.0,1.3142857142857143,1.3142857142857143,41.7,40.4,40.4,40.0,40.0,39.4,37.1,38.1,39.1,40.5,39.5,39.0,38.7,39.5,40.0,40.6,43.7,43.3,41.0,44.0,44.1,44.1,42.0,43.0,44.0,44.0,43.7,44.9,44.9,44.9,39.857142857142854,39.52857142857143,41.52000000000001,,,,,,
