COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CINV,N,0,CEYLON INV.,2019-02-20,36.7,20,2,2019,53.75000000000002,-0.4407302550641248,-0.4202125937553372,-0.02051766130878757,37.545,39.73057471666044,35.35942528333956,0.0,0.8642857142857133,0.8642857142857133,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,38.6,38.6,39.0,39.0,38.0,38.0,39.0,39.0,37.18571428571429,37.135714285714286,38.019999999999996,,,,,,
CINV,N,0,CEYLON INV.,2019-02-21,35.1,21,2,2019,41.93548387096774,-0.5846688808960394,-0.4531038511834776,-0.1315650297125618,37.32,39.583299873147524,35.056700126852476,6.0,0.8571428571428567,0.8571428571428567,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,38.6,38.6,39.0,39.0,38.0,38.0,39.0,37.08571428571429,37.17857142857143,37.94333333333334,,,,,,
CINV,N,0,CEYLON INV.,2019-02-22,34.0,22,2,2019,31.64556962025317,-0.6907784153125434,-0.5006387640092907,-0.1901396513032526,37.084999999999994,39.28286978207251,34.88713021792748,-1.0,0.8285714285714282,0.8285714285714282,35.0,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,38.6,38.6,39.0,39.0,38.0,38.0,36.800000000000004,37.07142857142857,37.81000000000001,,,,,,
CINV,N,0,CEYLON INV.,2019-02-25,35.0,25,2,2019,32.05128205128206,-0.7660405472307446,-0.5537191206535815,-0.21232142657716302,36.845,38.83283140236054,34.85716859763946,-1.0,0.8357142857142854,0.8357142857142854,35.0,35.0,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,38.6,38.6,39.0,39.0,38.0,36.5,36.86428571428571,37.71000000000001,,,,,,
CINV,N,0,CEYLON INV.,2019-02-26,33.5,26,2,2019,33.33333333333333,-0.8162767981953678,-0.6062306561619388,-0.21004614203342897,36.67999999999999,38.70676823383542,34.653231766164566,-3.0,0.9214285714285714,0.9214285714285714,35.0,35.0,35.0,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,38.6,38.6,39.0,39.0,36.142857142857146,36.66428571428571,37.61,,,,,,
CINV,N,0,CEYLON INV.,2019-02-27,33.5,27,2,2019,42.37288135593222,-0.8463333845842271,-0.6542512018463965,-0.19208218273783062,36.58,38.73367494981807,34.42632505018193,31.0,0.8857142857142856,0.8857142857142856,35.0,35.0,35.0,35.0,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,38.6,38.6,39.0,35.785714285714285,36.48571428571428,37.47666666666667,,,,,,
CINV,N,0,CEYLON INV.,2019-02-28,35.9,28,2,2019,12.820512820512832,-0.8602371672582976,-0.6954483949287767,-0.16478877232952083,36.525,38.7839005243586,34.2660994756414,-31.0,0.8071428571428569,0.8071428571428569,35.0,35.0,35.0,35.0,35.0,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,38.6,38.6,35.51428571428571,36.42142857142857,37.34333333333333,,,,,,
CINV,N,0,CEYLON INV.,2019-03-01,35.9,1,3,2019,14.705882352941188,-0.8613271717207951,-0.7286241502871804,-0.13270302143361468,36.45,38.8097502097959,34.090249790204105,5.0,0.8428571428571426,0.8428571428571426,35.0,35.0,35.0,35.0,35.0,35.0,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,38.6,35.24285714285714,36.214285714285715,37.223333333333336,,,,,,
CINV,N,0,CEYLON INV.,2019-03-05,35.2,5,3,2019,16.666666666666657,-0.8523654695564247,-0.7533724141410293,-0.09899305541539538,36.30499999999999,38.64591749893974,33.96408250106025,0.0,0.8285714285714286,0.8285714285714286,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,38.6,35.0,36.04285714285714,37.10333333333333,,,,,,
CINV,N,0,CEYLON INV.,2019-03-06,35.5,6,3,2019,24.24242424242418,-0.8037217944184434,-0.7634422901965121,-0.04027950422193127,36.185,38.44799754633917,33.92200245366084,-1.0,0.7928571428571429,0.7928571428571429,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.7,36.9,36.9,37.5,37.5,37.1,37.0,37.4,37.9,35.9,37.5,37.8,37.9,36.5,36.1,37.0,38.3,39.8,39.7,39.5,39.7,38.9,35.0,35.9,36.98333333333334,,,,,,
