COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CIC,N,0,CIC,2019-02-01,41.9,1,2,2019,54.41826215022092,-0.7202826646351355,-1.0973162950020414,0.37703363036690596,35.975,48.11555838479996,23.834441615200042,-4.0,10.25,10.25,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,30.0,40.7,30.0,42.5,42.0,42.0,30.0,42.1,34.68571428571428,34.621428571428574,36.376666666666665,,,,,,
CIC,X,0,CIC,2019-02-05,28.5,5,2,2019,44.76190476190476,-1.2531339930513639,-1.128479834611906,-0.12465415843945782,35.35,47.686765762292964,23.01323423770704,-2.0,10.299999999999999,10.299999999999999,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,30.0,40.7,30.0,42.5,42.0,42.0,30.0,34.885714285714286,35.478571428571435,36.373333333333335,,,,,,
CIC,X,0,CIC,2019-02-06,31.0,6,2,2019,50.77047850770478,-1.53667125613471,-1.210118118916467,-0.3265531372182431,34.8,47.056727476004845,22.54327252399515,13.0,9.421428571428573,9.421428571428573,28.5,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,30.0,40.7,30.0,42.5,42.0,42.0,34.74285714285714,34.45714285714286,36.32333333333334,,,,,,
CIC,N,0,CIC,2019-02-06,40.6,6,2,2019,54.83630952380952,-0.8558338268565961,-1.139261260504493,0.2834274336478968,35.355000000000004,47.7014846904099,23.00851530959011,-5.0,10.171428571428573,10.171428571428573,30.0,28.5,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,30.0,40.7,30.0,42.5,42.0,33.22857142857143,34.59285714285715,35.92333333333333,,,,,,
CIC,X,0,CIC,2019-02-07,29.7,7,2,2019,45.10703363914373,-1.1981311819594254,-1.1510352447954795,-0.04709593716394589,34.834999999999994,47.16285036966468,22.50714963033531,1.0,9.964285714285717,9.964285714285717,41.1,30.0,28.5,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,30.0,40.7,30.0,42.5,35.04285714285714,35.52142857142858,35.89333333333334,,,,,,
CIC,N,0,CIC,2019-02-07,41.5,7,2,2019,54.651162790697676,-0.5352800364478583,-1.0278842031259554,0.49260416667809714,34.89,47.33167868179581,22.448321318204194,-6.0,9.8,9.8,30.0,41.1,30.0,28.5,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,30.0,40.7,30.0,33.385714285714286,34.607142857142854,35.47666666666667,,,,,,
CIC,X,0,CIC,2019-02-08,30.0,8,2,2019,45.904173106646056,-0.9272310758738627,-1.0077535776755369,0.0805225018016742,34.89,47.33167868179581,22.448321318204194,-2.0,9.75,9.75,41.5,30.0,41.1,30.0,28.5,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,30.0,40.7,34.871428571428574,35.464285714285715,35.86,,,,,,
CIC,N,0,CIC,2019-02-08,40.5,8,2,2019,50.31937544357701,-0.30636957028598744,-0.8674767761976271,0.5611072059116397,34.825,47.1052151532669,22.54478484673311,0.0,10.5,10.5,30.0,41.5,30.0,41.1,30.0,28.5,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,30.0,34.72857142857143,34.70714285714286,35.50333333333333,,,,,,
CIC,X,0,CIC,2019-02-11,30.0,11,2,2019,50.53456878118318,-0.6540550622580383,-0.8247924334097093,0.17073737115167098,34.97,46.98141562277975,22.958584377220248,10.0,10.528571428571428,10.528571428571428,41.5,30.0,41.5,30.0,41.1,30.0,28.5,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,30.0,34.65714285714286,34.77142857142858,35.88666666666666,,,,,,
CIC,N,0,CIC,2019-02-11,40.5,11,2,2019,50.322118826055835,-0.08139776893406037,-0.6761135005145796,0.5947157315805193,35.64,47.532217711817374,23.747782288182627,-10.0,10.47857142857143,10.47857142857143,31.0,41.5,30.0,41.5,30.0,41.1,30.0,28.5,42.0,31.0,31.1,41.6,28.4,40.6,29.5,40.6,40.6,29.5,42.8,28.1,28.1,42.8,30.0,40.4,40.4,30.0,41.0,41.0,40.3,44.2,35.01428571428571,34.87857142857143,35.92,,,,,,
