COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CIT,N,0,CIT,2019-09-25,61.0,25,9,2019,56.34328358208955,2.048390487401136,2.267771211673579,-0.21938072427244304,63.779999999999994,76.72369995098202,50.836300049017964,-12.0,5.185714285714285,5.185714285714285,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,70.68571428571428,65.84285714285713,62.410000000000004,,,,,,
CIT,N,0,CIT,2019-10-01,61.0,1,10,2019,54.710144927536234,1.4720712167772945,2.108631212694322,-0.6365599959170276,63.90999999999999,76.67721129340804,51.14278870659194,-1.0,4.921428571428572,4.921428571428572,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,69.22857142857143,66.08571428571427,62.47,,,,,,
CIT,N,0,CIT,2019-10-02,61.0,2,10,2019,54.710144927536234,1.0037632843309439,1.8876576270216465,-0.8838943426907027,64.03999999999999,76.62259449440081,51.45740550559917,-1.0,4.742857142857143,4.742857142857143,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,67.65714285714286,66.27142857142857,62.50333333333333,,,,,,
CIT,N,0,CIT,2019-10-04,56.2,4,10,2019,46.604938271604944,0.2425104793165076,1.5586281974806189,-1.3161177181641113,63.92999999999999,76.75630520700163,51.103694792998354,0.0,4.771428571428571,4.771428571428571,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,60.0,60.0,60.0,60.0,60.0,66.08571428571429,66.45714285714286,62.53666666666667,,,,,,
CIT,N,0,CIT,2019-10-07,58.1,7,10,2019,49.56268221574344,-0.20510935913430473,1.2058806861576343,-1.410990045291939,63.915000000000006,76.76920676583923,51.06079323416078,0.0,4.5857142857142845,4.5857142857142845,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,60.0,60.0,60.0,60.0,63.614285714285714,66.3,62.41,,,,,,
CIT,N,0,CIT,2019-10-09,65.0,9,10,2019,45.25316455696202,-0.40190428260278566,0.8843236924055503,-1.286227975008336,63.995000000000005,76.72399301429199,51.26600698570802,2.0,4.75,4.75,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,60.0,60.0,60.0,61.41428571428572,66.27857142857144,62.34666666666667,,,,,,
CIT,N,0,CIT,2019-10-11,60.0,11,10,2019,23.451327433628308,-0.5515082336666595,0.5971573071911084,-1.1486655408577677,64.075,76.67539681914818,51.47460318085183,-3.0,3.4142857142857137,3.4142857142857137,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,60.0,60.0,59.98571428571429,66.06428571428572,62.34666666666667,,,,,,
CIT,N,0,CIT,2019-10-23,61.0,23,10,2019,23.451327433628308,-0.6624343123216363,0.3452389832885595,-1.007673295610196,64.155,76.62331352289726,51.68668647710274,0.0,3.0571428571428565,3.0571428571428565,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,60.0,59.728571428571435,65.20714285714286,62.34666666666668,,,,,,
CIT,N,0,CIT,2019-10-24,60.1,24,10,2019,20.152091254752847,-1.0369497948881161,0.06880122765322438,-1.1057510225413405,64.05,76.7554899033532,51.3445100966468,7.0,3.2857142857142847,3.2857142857142847,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,60.0,59.471428571428575,64.35,62.34666666666668,,,,,,
CIT,N,0,CIT,2019-10-25,58.0,25,10,2019,25.0,-1.1829439787235287,-0.18154781362212624,-1.0013961651014025,64.03,76.77413797130188,51.28586202869812,-5.0,3.4928571428571424,3.4928571428571424,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,60.1,58.800000000000004,63.22857142857142,62.22333333333335,,,,,,
CIT,N,0,CIT,2019-11-07,56.0,7,11,2019,19.298245614035082,-1.4433902027686685,-0.43391629145143473,-1.0094739113172337,63.910000000000004,76.91977769946409,50.900222300535916,3.0,3.6357142857142852,3.6357142857142852,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.371428571428574,62.22857142857142,62.15333333333335,,,,,,
CIT,N,0,CIT,2019-11-08,60.0,8,11,2019,19.298245614035082,-1.6309946210060886,-0.6733319573623655,-0.9576626636437231,63.56,77.04096513802448,50.079034861975536,-3.0,3.7571428571428567,3.7571428571428567,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.34285714285715,60.97857142857142,62.07333333333336,,,,,,
CIT,N,0,CIT,2019-11-13,60.0,13,11,2019,30.35714285714286,-1.5200750669641252,-0.8426805792827174,-0.6773944876814078,62.910000000000004,75.92301372917854,49.89698627082147,0.0,3.7928571428571423,3.7928571428571423,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.042857142857144,59.72857142857142,61.993333333333354,,,,,,
CIT,N,0,CIT,2019-11-15,58.0,15,11,2019,42.929292929292934,-1.4158494896723965,-0.9573143613606533,-0.45853512831174326,62.260000000000005,74.64477843330694,49.87522156669307,-2.0,3.1499999999999995,3.1499999999999995,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,57.9,58.942857142857136,62.01333333333335,,,,,,
CIT,N,0,CIT,2019-11-18,60.0,18,11,2019,42.929292929292934,-1.3180562369262105,-1.0294627364737647,-0.2885935004524458,61.61,73.18017945546127,50.03982054453872,1.0,3.0928571428571425,3.0928571428571425,59.0,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,58.4,57.75714285714286,58.74285714285714,62.033333333333346,,,,,,
CIT,N,0,CIT,2019-11-25,62.4,25,11,2019,52.914798206278014,-0.963169144467777,-1.016204018072567,0.05303487360479009,61.125,71.62510025014795,50.62489974985205,1.0,3.2785714285714285,3.2785714285714285,59.0,59.0,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.4,57.614285714285714,58.542857142857144,62.05333333333335,,,,,,
CIT,N,0,CIT,2019-11-26,62.7,26,11,2019,52.914798206278014,-0.6741474151118254,-0.9477926974804188,0.2736452823685934,60.565,69.33895067950094,51.791049320499056,0.0,3.1714285714285713,3.1714285714285713,62.3,59.0,59.0,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,58.4,58.471428571428575,58.63571428571429,62.18333333333335,,,,,,
CIT,N,0,CIT,2019-11-27,68.4,27,11,2019,67.42857142857142,-0.4400232976379357,-0.8462388175119223,0.40621551987398663,60.004999999999995,66.41370296426739,53.5962970357326,-2.0,3.2571428571428576,3.2571428571428576,62.3,62.3,59.0,59.0,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,58.4,59.08571428571429,58.728571428571435,62.31333333333335,,,,,,
CIT,N,0,CIT,2019-11-29,65.0,29,11,2019,77.6470588235294,0.5381653789884808,-0.5693579782118416,1.1075233572003225,60.114999999999995,67.27726221245767,52.95273778754231,34.0,3.957142857142858,3.957142857142858,62.3,62.3,62.3,59.0,59.0,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,58.4,59.98571428571428,59.16428571428571,62.44333333333334,,,,,,
CIT,N,0,CIT,2019-12-02,80.0,2,12,2019,80.61224489795917,1.7610976426816691,-0.10326685403313945,1.8643644967148085,60.925,71.66182791536727,50.18817208463273,-23.0,4.021428571428572,4.021428571428572,72.2,62.3,62.3,62.3,59.0,59.0,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,58.4,62.300000000000004,60.17142857142857,62.903333333333336,,,,,,
CIT,N,0,CIT,2019-12-03,80.0,3,12,2019,81.73076923076923,2.842755710900761,0.48593765895364066,2.35681805194712,61.825,75.4892252847199,48.16077471528012,-5.0,4.378571428571429,4.378571428571429,78.0,72.2,62.3,62.3,62.3,59.0,59.0,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,58.4,65.01428571428572,61.45714285714285,63.556666666666665,,,,,,
CIT,N,0,CIT,2019-12-04,83.8,4,12,2019,86.46080760095012,4.527328206389782,1.294215768440869,3.2331124379489133,63.31,82.0932960506487,44.5267039493513,34.0,5.392857142857144,5.392857142857144,79.8,78.0,72.2,62.3,62.3,62.3,59.0,59.0,59.0,56.0,56.0,58.0,56.3,60.0,60.0,60.0,58.1,56.2,61.0,61.0,61.8,61.8,70.0,73.5,73.5,72.0,72.0,72.0,72.0,63.0,67.9857142857143,62.87142857142857,64.27,,,,,,
