COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30
CSEC,N,0,DUNAMIS CAPITAL,2019-03-07,37.5,7,3,2019,57.33333333333335,-0.3168311398875616,-0.9609737491095314,0.6441426092219698,34.605000000000004,40.2220698486142,28.987930151385815,-9.0,1.8857142857142855,1.8857142857142855,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,39.5,39.5,38.9,38.9,38.8,37.0,38.1,38.9,35.199999999999996,33.65714285714286,35.97666666666667
CSEC,N,0,DUNAMIS CAPITAL,2019-03-08,37.2,8,3,2019,60.24844720496895,-0.12676371775343398,-0.794131742838312,0.667368025084878,34.57,40.10613963924893,29.03386036075107,-4.0,1.8928571428571421,1.8928571428571421,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,39.5,39.5,38.9,38.9,38.8,37.0,38.1,35.98571428571428,33.81428571428572,35.88666666666666
CSEC,N,0,DUNAMIS CAPITAL,2019-03-13,31.0,13,3,2019,60.24844720496895,0.023594105488442096,-0.6305865731729613,0.6541806786614034,34.58,40.13606828043376,29.023931719566235,-2.0,2.2785714285714276,2.2785714285714276,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,39.5,39.5,38.9,38.9,38.8,37.0,36.357142857142854,34.050000000000004,35.86
CSEC,N,0,DUNAMIS CAPITAL,2019-03-15,37.5,15,3,2019,60.24844720496895,0.14112694015955896,-0.47624387050645733,0.6173708106660163,34.589999999999996,40.165850182990745,29.014149817009244,0.0,2.228571428571428,2.228571428571428,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,39.5,39.5,38.9,38.9,38.8,36.728571428571435,34.285714285714285,35.87
CSEC,N,0,DUNAMIS CAPITAL,2019-03-18,37.4,18,3,2019,80.16528925619836,0.2316027856693026,-0.33467453927130536,0.5662773249406079,34.55499999999999,40.04891050451124,29.061089495488744,-1.0,1.8857142857142855,1.8857142857142855,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,39.5,39.5,38.9,38.9,37.05714285714286,34.521428571428565,35.82000000000001
CSEC,N,0,DUNAMIS CAPITAL,2019-03-21,37.4,21,3,2019,68.79432624113475,0.14030491208668394,-0.23967864899970753,0.3799835610863915,34.595,40.09886467091893,29.091135329081066,2.0,2.0428571428571423,2.0428571428571423,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,39.5,39.5,38.9,37.11428571428571,35.04285714285714,35.766666666666666
CSEC,N,0,DUNAMIS CAPITAL,2019-03-22,34.1,22,3,2019,59.876543209876544,-0.1960715405730511,-0.23095722731437626,0.03488568674132517,34.495,40.11581657300507,28.87418342699492,3.0,2.242857142857142,2.242857142857142,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,39.5,39.5,36.87142857142857,35.42142857142857,35.64666666666667
CSEC,N,0,DUNAMIS CAPITAL,2019-03-25,31.1,25,3,2019,51.31578947368422,-0.5291747836475054,-0.2906007385810021,-0.23857404506650326,34.35,40.17065288434211,28.529347115657895,-3.0,2.0142857142857133,2.0142857142857133,32.0,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,39.5,36.1,35.64999999999999,35.39666666666667
CSEC,N,0,DUNAMIS CAPITAL,2019-03-26,30.0,26,3,2019,29.230769230769184,-0.9277123697184066,-0.41802306480848306,-0.5096893049099236,34.114999999999995,40.359247879364446,27.870752120635544,0.0,1.8142857142857136,1.8142857142857136,31.1,32.0,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,38.8,35.371428571428574,35.67857142857142,35.11666666666667
CSEC,N,0,DUNAMIS CAPITAL,2019-03-27,31.0,27,3,2019,35.66433566433565,-1.1256809927686149,-0.5595546504005094,-0.5661263423681054,33.945,40.3845079903588,27.505492009641202,10.0,1.8714285714285708,1.8714285714285708,29.3,31.1,32.0,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,37.0,34.228571428571435,35.29285714285714,34.8
CSEC,N,0,DUNAMIS CAPITAL,2019-03-29,32.5,29,3,2019,33.56643356643356,-1.2918879653262607,-0.7060213133856597,-0.5858666519406011,33.959999999999994,40.36210491701136,27.55789508298863,-7.0,1.9999999999999996,1.9999999999999996,30.6,29.3,31.1,32.0,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,38.0,33.27142857142858,34.99999999999999,34.586666666666666
CSEC,N,0,DUNAMIS CAPITAL,2019-04-01,32.0,1,4,2019,23.387096774193523,-1.4073847333947782,-0.8462939973874835,-0.5610907360072948,33.975,40.33933318126144,27.610666818738565,-5.0,1.935714285714285,1.935714285714285,30.3,30.6,29.3,31.1,32.0,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,38.0,32.27142857142858,34.66428571428571,34.330000000000005
CSEC,N,0,DUNAMIS CAPITAL,2019-04-02,31.7,2,4,2019,19.444444444444414,-1.6493564493071986,-1.0069064877714267,-0.6424499615357719,33.945,40.41679304854211,27.473206951457893,8.0,2.1857142857142846,2.1857142857142846,30.3,30.3,30.6,29.3,31.1,32.0,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,37.1,31.27142857142857,34.19285714285714,34.07333333333334
CSEC,N,0,DUNAMIS CAPITAL,2019-04-03,30.9,3,4,2019,32.55813953488371,-1.5648686888476178,-1.118498927986665,-0.4463697608609527,33.98,40.38512952332163,27.574870476678367,-4.0,2.328571428571428,2.328571428571428,28.2,30.3,30.3,30.6,29.3,31.1,32.0,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,37.1,30.25714285714286,33.56428571428572,33.77666666666667
CSEC,N,0,DUNAMIS CAPITAL,2019-04-04,30.0,4,4,2019,32.18390804597699,-1.59252222479698,-1.2133035873487281,-0.3792186374482518,33.745000000000005,40.379669705815296,27.11033029418471,1.0,2.271428571428571,2.271428571428571,31.4,28.2,30.3,30.3,30.6,29.3,31.1,32.0,35.3,37.3,37.3,37.3,37.3,36.2,37.4,37.0,36.9,35.0,34.7,34.7,30.7,28.8,30.0,30.0,34.0,34.0,34.0,34.0,34.5,38.0,30.17142857142857,33.135714285714286,33.586666666666666
