COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CHL,N,0,DURDANS,2019-02-06,75.0,6,2,2019,57.14285714285714,-0.04804949228959288,-0.23336954718361724,0.18532005489402437,71.03,79.18045365221116,62.879546347788846,-1.0,4.814285714285715,4.814285714285715,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,72.0,67.5,66.1,72.0,66.1,72.0,69.0,71.9,69.37142857142858,69.9,70.55666666666666,,,,,,
CHL,X,0,DURDANS,2019-02-06,67.5,6,2,2019,50.39370078740157,-0.30963569836913507,-0.2486227774207208,-0.06101292094841426,71.055,79.15632542762052,62.9536745723795,5.0,5.371428571428572,5.371428571428572,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,72.0,67.5,66.1,72.0,66.1,72.0,69.0,70.51428571428572,70.47142857142858,70.66,,,,,,
CHL,X,0,DURDANS,2019-02-07,67.5,7,2,2019,43.24324324324324,-0.5110535441765336,-0.3011089307718834,-0.2099446134046502,70.68,78.70643002507146,62.65356997492856,-3.0,4.514285714285714,4.514285714285714,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,72.0,67.5,66.1,72.0,66.1,72.0,70.58571428571429,70.50714285714285,70.60999999999999,,,,,,
CHL,X,0,DURDANS,2019-02-08,67.6,8,2,2019,43.24324324324324,-0.6630355767130851,-0.37349425996012375,-0.28954131675296135,70.305,78.18100620138219,62.428993798617824,1.0,4.242857142857142,4.242857142857142,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,72.0,67.5,66.1,72.0,66.1,70.65714285714286,69.97142857142858,70.46,,,,,,
CHL,N,0,DURDANS,2019-02-08,75.0,8,2,2019,57.27272727272727,-0.1762632594501241,-0.3340480598581238,0.1577848004079997,70.305,78.18100620138219,62.428993798617824,0.0,4.278571428571428,4.278571428571428,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,72.0,67.5,66.1,72.0,69.58571428571429,69.43571428571428,70.50666666666666,,,,,,
CHL,X,0,DURDANS,2019-02-11,67.5,11,2,2019,50.4,-0.39117083698540966,-0.345472615283581,-0.04569822170182869,69.93,77.57559728829195,62.284402711708076,-2.0,4.742857142857142,4.742857142857142,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,72.0,67.5,66.1,69.58571428571429,70.00714285714285,70.60666666666665,,,,,,
CHL,N,0,DURDANS,2019-02-12,75.0,12,2,2019,50.0,0.04320266593691713,-0.2677375590394813,0.31094022497639845,70.33000000000001,78.16490167203945,62.49509832796058,-1.0,4.707142857142856,4.707142857142856,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,72.0,67.5,69.65714285714286,70.04285714285714,70.65333333333334,,,,,,
CHL,X,0,DURDANS,2019-02-12,67.6,12,2,2019,50.40650406504066,-0.21525914990384365,-0.2572418772123538,0.04198272730851016,70.355,78.14824268703006,62.561757312969945,0.0,4.735714285714286,4.735714285714286,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,72.0,70.71428571428571,70.04285714285714,70.90333333333334,,,,,,
CHL,X,0,DURDANS,2019-02-13,67.6,13,2,2019,50.40650406504066,-0.4153046278428576,-0.28885442733845457,-0.12645020050440303,69.98,77.55074702564522,62.409252974354786,0.0,4.664285714285714,4.664285714285714,67.5,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,67.5,69.64285714285714,70.07857142857144,70.75333333333333,,,,,,
CHL,X,0,DURDANS,2019-02-14,67.6,14,2,2019,50.40650406504066,-0.5673025991302012,-0.3445440616968039,-0.2227585374333973,69.605,76.86541176155792,62.344588238442086,4.0,4.5928571428571425,4.5928571428571425,67.5,67.5,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,72.0,69.64285714285714,70.11428571428571,70.75333333333333,,,,,,
CHL,N,0,DURDANS,2019-02-14,75.0,14,2,2019,50.0,-0.08163374359601505,-0.2919619980766462,0.21032825448063114,70.00500000000001,77.53751897476955,62.472481025230465,-4.0,4.557142857142857,4.557142857142857,67.5,67.5,67.5,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,75.0,69.64285714285714,70.15,70.60333333333332,,,,,,
CHL,N,0,DURDANS,2019-02-15,75.0,15,2,2019,50.0,0.29980634257573513,-0.17360832994616995,0.47341467252190506,70.405,78.11322527188362,62.69677472811638,0.0,4.414285714285714,4.414285714285714,75.0,67.5,67.5,67.5,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,67.0,70.71428571428571,70.15,70.60333333333332,,,,,,
CHL,X,0,DURDANS,2019-02-15,67.5,15,2,2019,50.413223140495866,-0.003051781848967039,-0.13949702032672937,0.13644523847776233,70.03,77.5237447598858,62.5362552401142,0.0,4.457142857142856,4.457142857142856,75.0,75.0,67.5,67.5,67.5,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,75.0,70.71428571428571,70.15,70.86999999999999,,,,,,
CHL,X,0,DURDANS,2019-02-18,67.5,18,2,2019,49.91652754590986,-0.24029901002388954,-0.15965741826616142,-0.08064159175772811,70.055,77.50941585836703,62.600584141632986,3.0,4.385714285714285,4.385714285714285,67.5,75.0,75.0,67.5,67.5,67.5,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,75.0,70.71428571428571,70.18571428571428,70.61999999999999,,,,,,
CHL,N,0,DURDANS,2019-02-20,79.0,20,2,2019,50.0,0.1748525805515868,-0.09275541850261176,0.2676079990541986,70.45500000000001,78.07587852374544,62.83412147625458,-2.0,4.678571428571428,4.678571428571428,67.5,67.5,75.0,75.0,67.5,67.5,67.5,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,75.0,69.64285714285714,70.17857142857143,70.36999999999999,,,,,,
CHL,X,0,DURDANS,2019-02-20,67.5,20,2,2019,50.0,-0.10016942205226087,-0.0942382192125416,-0.005931202839719277,70.48,78.05630655746134,62.90369344253867,0.0,4.657142857142857,4.657142857142857,75.0,67.5,67.5,75.0,75.0,67.5,67.5,67.5,75.0,67.5,75.0,67.5,67.5,67.5,75.0,67.6,67.0,75.0,75.0,67.0,67.0,67.0,75.0,67.0,67.0,75.0,75.0,67.0,67.0,75.0,70.71428571428571,70.17857142857143,70.36999999999999,,,,,,
