COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
EAST,N,0,EAST WEST,2019-02-15,15.3,15,2,2019,67.85714285714286,0.3269974604854209,0.25510297872491006,0.07189448176051083,14.25,15.409854800349912,13.090145199650088,-28.0,0.6642857142857146,0.6642857142857146,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,13.0,13.0,13.1,13.2,13.3,13.7,13.8,13.7,14.900000000000002,14.307142857142853,13.963333333333335,,,,,,
EAST,N,0,EAST WEST,2019-02-18,14.7,18,2,2019,59.37500000000002,0.2800438662532976,0.2600911562305876,0.019952710022709985,14.27,15.418179336808358,13.121820663191642,28.0,0.6785714285714288,0.6785714285714288,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,13.0,13.0,13.1,13.2,13.3,13.7,13.8,14.942857142857145,14.378571428571428,13.996666666666668,,,,,,
EAST,N,0,EAST WEST,2019-02-20,14.3,20,2,2019,63.33333333333335,0.24006547913407061,0.2560860208112842,-0.016020541677213562,14.285,15.426144393280616,13.143855606719384,-77.0,0.6785714285714288,0.6785714285714288,14.3,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,13.0,13.0,13.1,13.2,13.3,13.7,14.871428571428572,14.421428571428573,14.013333333333334,,,,,,
EAST,N,0,EAST WEST,2019-02-21,14.9,21,2,2019,58.06451612903225,0.19005317607332195,0.24287945186369173,-0.052826275790369775,14.305000000000001,15.416613336788613,13.19338666321139,127.0,0.735714285714286,0.735714285714286,14.3,14.3,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,13.0,13.0,13.1,13.2,13.3,14.714285714285714,14.47857142857143,14.033333333333333,,,,,,
EAST,N,0,EAST WEST,2019-02-22,14.8,22,2,2019,58.06451612903225,0.15668110756620202,0.2256397830041938,-0.06895867543799178,14.294999999999998,15.40661333678861,13.183386663211387,-124.0,0.7571428571428575,0.7571428571428575,14.1,14.3,14.3,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,13.0,13.0,13.1,13.2,14.585714285714289,14.514285714285716,14.06,,,,,,
EAST,N,0,EAST WEST,2019-02-25,14.1,25,2,2019,50.0,0.10481773642738723,0.2014753736888325,-0.09665763726144527,14.289999999999997,15.408081062874192,13.171918937125803,14.0,0.7642857142857145,0.7642857142857145,14.2,14.1,14.3,14.3,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,13.0,13.0,13.1,14.485714285714286,14.550000000000002,14.093333333333334,,,,,,
EAST,N,0,EAST WEST,2019-02-26,14.6,26,2,2019,44.444444444444436,0.031080705063047276,0.16739643996367545,-0.13631573490062818,14.279999999999998,15.423586233602084,13.136413766397911,3.0,0.8214285714285715,0.8214285714285715,13.9,14.2,14.1,14.3,14.3,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,13.0,13.0,14.342857142857143,14.55,14.12,,,,,,
EAST,N,0,EAST WEST,2019-02-27,13.4,27,2,2019,41.1764705882353,-0.0031130454937784435,0.13329454287218467,-0.13640758836596312,14.285,15.41874089678931,13.151259103210691,-16.0,0.792857142857143,0.792857142857143,13.5,13.9,14.2,14.1,14.3,14.3,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,13.0,14.142857142857142,14.521428571428574,14.136666666666665,,,,,,
EAST,N,0,EAST WEST,2019-02-28,13.9,28,2,2019,32.25806451612901,-0.03784475267654486,0.09906668376243878,-0.13691143643898362,14.294999999999998,15.402819099805889,13.187180900194107,-1.0,0.7500000000000002,0.7500000000000002,13.8,13.5,13.9,14.2,14.1,14.3,14.3,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.7,14.014285714285714,14.478571428571431,14.163333333333332,,,,,,
EAST,N,0,EAST WEST,2019-03-01,14.0,1,3,2019,36.363636363636374,-0.000807261122568903,0.07909189478543725,-0.07989915590800616,14.339999999999998,15.401081870942152,13.278918129057844,53.0,0.7500000000000002,0.7500000000000002,13.7,13.8,13.5,13.9,14.2,14.1,14.3,14.3,14.7,14.9,14.9,14.9,15.0,15.4,14.8,14.4,13.9,13.9,13.7,13.6,13.5,13.7,13.7,14.0,14.4,13.7,14.0,13.9,14.0,14.1,13.928571428571427,14.400000000000002,14.163333333333332,,,,,,
