COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
EMER,N,0,EASTERN MERCHANT,2019-02-25,3.9,25,2,2019,35.71428571428574,-0.09734335880496658,-0.06237593149717511,-0.034967427307791475,4.135,4.520391120537919,3.7496088794620803,5.0,0.14285714285714302,0.14285714285714302,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,4.1,4.1,4.4,4.1,4.5,4.5,4.4,4.2,3.9857142857142853,4.071428571428572,4.2,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-02-26,3.8,26,2,2019,35.71428571428575,-0.11427303986318638,-0.07275535317037737,-0.041517686692809,4.095000000000001,4.486891499484769,3.7031085005152318,5.0,0.15000000000000013,0.15000000000000013,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,4.1,4.1,4.4,4.1,4.5,4.5,4.4,3.942857142857143,4.042857142857144,4.1866666666666665,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-02-27,3.9,27,2,2019,30.769230769230788,-0.12623477812973194,-0.0834512381622483,-0.042783539967483644,4.055000000000001,4.4359959248297045,3.6740040751702967,-4.0,0.1500000000000001,0.1500000000000001,3.7,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,4.1,4.1,4.4,4.1,4.5,4.5,3.8999999999999995,4.014285714285715,4.163333333333332,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-02-28,3.9,28,2,2019,33.33333333333337,-0.13416793741970645,-0.09359457801373994,-0.040573359405966514,4.0200000000000005,4.396129876785301,3.6438701232147,-5.0,0.1571428571428572,0.1571428571428572,3.7,3.7,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,4.1,4.1,4.4,4.1,4.5,3.8428571428571425,3.978571428571429,4.136666666666666,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-03-01,3.7,1,3,2019,38.46153846153845,-0.1228999803116273,-0.09945565847331742,-0.023444321838309884,4.0,4.3554093266554545,3.644590673344546,0.0,0.16428571428571428,0.16428571428571428,3.7,3.7,3.7,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,4.1,4.1,4.4,4.1,3.814285714285714,3.9500000000000006,4.109999999999999,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-03-05,4.0,5,3,2019,41.66666666666667,-0.11267123921200284,-0.10209877462105452,-0.010572464590948322,3.9850000000000003,4.330040043442709,3.6399599565572913,-1.0,0.16428571428571423,0.16428571428571423,3.9,3.7,3.7,3.7,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,4.1,4.1,4.4,3.8,3.9285714285714293,4.1033333333333335,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-03-06,3.8,6,3,2019,30.76923076923076,-0.1193276814933566,-0.10554455599551493,-0.013783125497841664,3.96,4.311837282965023,3.6081627170349773,3.0,0.17857142857142846,0.17857142857142846,3.9,3.9,3.7,3.7,3.7,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,4.1,4.1,3.8,3.9142857142857146,4.086666666666666,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-03-07,4.0,7,3,2019,33.33333333333333,-0.12318298320674392,-0.10907224143776074,-0.014110741768983179,3.94,4.3036076543690855,3.5763923456309143,-4.0,0.18571428571428558,0.18571428571428558,3.7,3.9,3.9,3.7,3.7,3.7,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,4.1,3.7714285714285714,3.8785714285714286,4.073333333333333,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-03-08,4.0,8,3,2019,36.36363636363635,-0.12479972405675666,-0.11221773796155993,-0.012581986095196729,3.915,4.272034570049631,3.557965429950369,5.0,0.1928571428571427,0.1928571428571427,3.7,3.7,3.9,3.9,3.7,3.7,3.7,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,4.2,3.757142857142857,3.85,4.06,,,,,,
EMER,N,0,EASTERN MERCHANT,2019-03-11,3.9,11,3,2019,30.000000000000014,-0.12464418228332796,-0.11470302682591353,-0.009941155457414433,3.8950000000000005,4.253211933739906,3.5367880662600943,-5.0,0.19999999999999987,0.19999999999999987,3.7,3.7,3.7,3.9,3.9,3.7,3.7,3.7,3.8,3.9,3.9,4.0,3.9,4.1,4.0,4.1,4.2,4.1,4.2,4.1,4.2,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.3,4.3,3.757142857142857,3.8285714285714283,4.043333333333333,,,,,,
