COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15, MAIN TYPE 
EML,N,0,EML CONSULTANTS,2021-11-17,14.3,17,11,2021,64.44444444444446,0.21793769218296433,-0.0020790009174598834,0.2200166931004242,13.180000000000001,14.744877664631701,11.615122335368302,-38.0,1.0142857142857142,1.0142857142857142,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,13.5,13.8,13.9,13.7,14.0,13.3,13.8,13.9,13.799999999999999,13.235714285714284,13.29333333333333,,,,,
EML,N,0,EML CONSULTANTS,2021-11-19,14.5,19,11,2021,63.043478260869556,0.24171407611423668,0.04667961448887943,0.19503446162535726,13.229999999999999,14.860111394320871,11.599888605679126,16.0,1.0142857142857142,1.0142857142857142,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,13.5,13.8,13.9,13.7,14.0,13.3,13.8,14.028571428571428,13.328571428571427,13.31,,,,,
EML,N,0,EML CONSULTANTS,2021-11-22,14.4,22,11,2021,77.63157894736841,0.49690396009327387,0.13672448360975833,0.36017947648351556,13.440000000000001,15.843856550584805,11.036143449415198,928.0,1.25,1.25,14.2,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,13.5,13.8,13.9,13.7,14.0,13.3,14.228571428571428,13.414285714285713,13.323333333333332,,,,,
EML,N,0,EML CONSULTANTS,2021-11-23,19.9,23,11,2021,89.07563025210084,1.0661051061156748,0.32260060811094166,0.7435044980047332,13.905000000000001,18.353287665820943,9.456712334179059,1318.0,1.7785714285714285,1.7785714285714285,17.2,14.2,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,13.5,13.8,13.9,13.7,14.0,14.657142857142858,13.714285714285714,13.453333333333331,,,,,
EML,N,0,EML CONSULTANTS,2021-11-24,22.9,24,11,2021,82.67716535433071,1.4281162022173763,0.5437037269322286,0.8844124752851478,14.355,19.7186103316212,8.991389668378801,-1766.0,1.971428571428571,1.971428571428571,21.9,17.2,14.2,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,13.5,13.8,13.9,13.7,15.757142857142858,14.37857142857143,13.716666666666665,,,,,
EML,N,0,EML CONSULTANTS,2021-11-25,21.2,25,11,2021,87.67123287671232,1.87894408432307,0.8107517984103969,1.0681922859126731,14.865,21.51228674367456,8.217713256325439,157.0,2.221428571428571,2.221428571428571,21.0,21.9,17.2,14.2,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,13.5,13.8,13.9,16.75714285714286,14.971428571428573,13.959999999999999,,,,,
EML,N,0,EML CONSULTANTS,2021-11-26,23.5,26,11,2021,92.99065420560747,2.777126110652908,1.2040266608588992,1.573099449794009,15.729999999999999,25.279229784316854,6.180770215683143,1582.0,2.9285714285714284,2.9285714285714284,23.3,21.0,21.9,17.2,14.2,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,13.5,13.8,18.02857142857143,15.757142857142856,14.273333333333333,,,,,
EML,N,0,EML CONSULTANTS,2021-11-29,28.1,29,11,2021,84.8888888888889,3.29761486506343,1.6227443016998055,1.6748705633636245,16.505,27.524117358864135,5.485882641135863,-719.0,3.242857142857143,3.242857142857143,30.4,23.3,21.0,21.9,17.2,14.2,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,13.5,20.342857142857145,17.071428571428573,14.826666666666664,,,,,
EML,N,0,EML CONSULTANTS,2021-11-30,29.0,30,11,2021,78.92561983471074,3.532213007521097,2.0046380428640638,1.5275749646570334,17.195,28.99089134536169,5.39910865463831,-1218.0,3.3999999999999995,3.3999999999999995,28.5,30.4,23.3,21.0,21.9,17.2,14.2,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,13.2,22.357142857142854,18.19285714285714,15.326666666666664,,,,,
EML,N,0,EML CONSULTANTS,2021-12-01,27.0,1,12,2021,71.37096774193549,3.5162176717540703,2.3069539686420653,1.209263703112005,17.805,29.85934623519229,5.7506537648077085,77.0,3.392857142857143,3.392857142857143,26.8,28.5,30.4,23.3,21.0,21.9,17.2,14.2,14.4,14.2,14.4,14.0,14.2,14.2,12.8,12.8,12.0,12.3,12.7,12.6,13.0,13.0,13.1,13.1,12.0,12.6,13.0,13.2,13.2,13.3,24.157142857142855,19.192857142857143,15.780000000000001,,,,,
