COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CFLB,N,0,FORT LAND,2019-03-12,14.9,12,3,2019,38.80597014925374,-0.2724917594638949,-0.19002731786992408,-0.08246444159397084,15.189999999999998,16.673807336053542,13.706192663946455,-5.0,0.7214285714285715,0.7214285714285715,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,15.0,14.8,14.6,14.6,14.6,15.2,15.2,15.7,14.728571428571428,14.950000000000001,15.146666666666668,,,,,,
CFLB,N,0,FORT LAND,2019-03-13,14.9,13,3,2019,38.80597014925374,-0.272380255927553,-0.2064979054814499,-0.0658823504461031,15.135,16.636262626486186,13.633737373513812,3.0,0.742857142857143,0.742857142857143,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,15.0,14.8,14.6,14.6,14.6,15.2,15.2,14.657142857142857,14.842857142857143,15.106666666666667,,,,,,
CFLB,N,0,FORT LAND,2019-03-14,14.5,14,3,2019,49.18032786885246,-0.23728001519762643,-0.2126543274246852,-0.024625687772941218,15.080000000000002,16.527466025417123,13.63253397458288,-3.0,0.7000000000000002,0.7000000000000002,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,15.0,14.8,14.6,14.6,14.6,15.2,14.585714285714285,14.735714285714286,15.083333333333337,,,,,,
CFLB,N,0,FORT LAND,2019-03-18,14.1,18,3,2019,33.33333333333333,-0.2788706526291893,-0.22589759246558605,-0.05297306016360326,14.960000000000003,16.343207561392987,13.576792438607017,8.0,0.6571428571428574,0.6571428571428574,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,15.0,14.8,14.6,14.6,14.6,14.571428571428571,14.72857142857143,15.073333333333336,,,,,,
CFLB,N,0,FORT LAND,2019-03-19,14.9,19,3,2019,45.454545454545446,-0.30827789674076733,-0.24237365332062233,-0.065904243420145,14.860000000000003,16.215534464412663,13.504465535587343,-7.0,0.6071428571428574,0.6071428571428574,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,15.0,14.8,14.6,14.6,14.428571428571429,14.585714285714287,15.053333333333336,,,,,,
CFLB,N,0,FORT LAND,2019-03-21,14.2,21,3,2019,45.454545454545446,-0.32780462193655246,-0.25945984704380837,-0.0683447748927441,14.760000000000002,16.055173225561166,13.464826774438835,5.0,0.6071428571428574,0.6071428571428574,14.0,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,15.0,14.8,14.6,14.385714285714286,14.557142857142859,15.033333333333333,,,,,,
CFLB,N,0,FORT LAND,2019-03-22,13.6,22,3,2019,43.47826086956522,-0.3553220890051989,-0.2786322954360865,-0.07668979356911243,14.650000000000002,15.873454987019606,13.426545012980398,-6.0,0.635714285714286,0.635714285714286,14.0,14.0,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,15.0,14.8,14.271428571428572,14.528571428571428,15.013333333333334,,,,,,
CFLB,N,0,FORT LAND,2019-03-25,14.0,25,3,2019,29.16666666666667,-0.4366497673181815,-0.3102357898125055,-0.126413977505676,14.5,15.761577959290825,13.238422040709175,18.0,0.6285714285714289,0.6285714285714289,13.8,14.0,14.0,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,15.0,14.242857142857144,14.485714285714286,14.979999999999999,,,,,,
CFLB,N,0,FORT LAND,2019-03-26,13.0,26,3,2019,28.000000000000014,-0.5113463840327057,-0.3504579086565455,-0.1608884753761602,14.389999999999997,15.837902293882962,12.942097706117032,-19.0,0.6500000000000004,0.6500000000000004,13.0,13.8,14.0,14.0,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,15.0,14.028571428571428,14.342857142857143,14.913333333333332,,,,,,
CFLB,N,0,FORT LAND,2019-03-27,13.0,27,3,2019,30.769230769230774,-0.5480876491619462,-0.3899838567576257,-0.1581037924043205,14.239999999999998,15.604821175870754,12.875178824129243,4.0,0.6071428571428574,0.6071428571428574,12.8,13.0,13.8,14.0,14.0,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,15.4,13.785714285714286,14.185714285714287,14.839999999999998,,,,,,
CFLB,N,0,FORT LAND,2019-03-28,13.5,28,3,2019,36.84210526315789,-0.5307414876630663,-0.4181353829387139,-0.1126061047243524,14.194999999999999,15.596465398487547,12.79353460151245,8.0,0.6785714285714288,0.6785714285714288,13.0,12.8,13.0,13.8,14.0,14.0,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,15.0,13.514285714285714,14.042857142857144,14.76,,,,,,
CFLB,N,0,FORT LAND,2019-04-02,13.8,2,4,2019,41.17647058823528,-0.5190800621278981,-0.43832431877655076,-0.08075574335134739,14.145000000000001,15.586453944350696,12.703546055649307,-12.0,0.635714285714286,0.635714285714286,13.5,13.0,12.8,13.0,13.8,14.0,14.0,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,15.6,13.442857142857141,13.935714285714287,14.71,,,,,,
CFLB,N,0,FORT LAND,2019-04-03,13.3,3,4,2019,42.30769230769229,-0.45616492745358705,-0.44189244051195803,-0.014272486941629026,14.125,15.562651593837368,12.687348406162632,9.0,0.6214285714285718,0.6214285714285718,13.4,13.5,13.0,12.8,13.0,13.8,14.0,14.0,14.0,14.9,14.5,14.5,14.0,14.8,14.3,15.0,15.0,15.0,15.0,14.4,14.4,14.4,16.0,15.0,16.0,16.0,16.0,16.0,16.4,16.0,13.357142857142858,13.871428571428572,14.636666666666665,,,,,,
