COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15, MAIN TYPE 
WAPO,N,0,GALLE FACE CAP,2022-02-18,34.5,18,2,2022,46.85714285714286,-0.4465772528200702,-0.3139515655058539,-0.1326256873142163,34.93,38.04201407113582,31.817985928864182,0.0,1.9000000000000001,1.9000000000000001,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,35.1,34.9,34.7,36.0,35.1,35.9,34.5,34.9,33.971428571428575,34.23571428571429,35.07000000000001,,,,,
WAPO,N,0,GALLE FACE CAP,2022-02-21,33.8,21,2,2022,46.85714285714286,-0.4426678057857458,-0.3396948135618323,-0.10297299222391354,34.769999999999996,37.76058170718814,31.779418292811854,-1.0,2.0,2.0,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,35.1,34.9,34.7,36.0,35.1,35.9,34.5,33.84285714285714,34.15714285714285,35.04,,,,,
WAPO,N,0,GALLE FACE CAP,2022-02-22,34.2,22,2,2022,41.75824175824176,-0.5382639050518918,-0.3794086318598442,-0.15885527319204762,34.584999999999994,37.65970152595078,31.510298474049208,3.0,1.9000000000000001,1.9000000000000001,33.8,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,35.1,34.9,34.7,36.0,35.1,35.9,33.871428571428574,34.07857142857143,35.016666666666666,,,,,
WAPO,N,0,GALLE FACE CAP,2022-02-23,34.0,23,2,2022,43.93063583815029,-0.6469131121116689,-0.43290952791020915,-0.21400358420145976,34.269999999999996,37.01540764876449,31.5245923512355,0.0,1.942857142857143,1.942857142857143,32.5,33.8,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,35.1,34.9,34.7,36.0,35.1,33.77142857142857,33.864285714285714,34.90333333333333,,,,,
WAPO,N,0,GALLE FACE CAP,2022-02-24,31.6,24,2,2022,48.17073170731707,-0.7007332816073841,-0.48647427864964415,-0.21425900295773997,34.035000000000004,36.594831408922296,31.475168591077715,5.0,1.85,1.85,32.0,32.5,33.8,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,35.1,34.9,34.7,36.0,33.42857142857143,33.71428571428571,34.8,,,,,
WAPO,N,0,GALLE FACE CAP,2022-02-25,33.0,25,2,2022,40.55944055944055,-0.6870512687438222,-0.5265896766684798,-0.16046159207534239,33.84,36.08818055090633,31.591819449093677,-7.0,1.6714285714285715,1.6714285714285715,32.3,32.0,32.5,33.8,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,35.1,34.9,34.7,33.05714285714286,33.671428571428564,34.67666666666666,,,,,
WAPO,N,0,GALLE FACE CAP,2022-02-28,32.9,28,2,2022,40.0,-0.8599550903607565,-0.5932627594069352,-0.2666923309538213,33.61,36.22646607790773,30.99353392209227,-3.0,1.6857142857142855,1.6857142857142855,32.9,32.3,32.0,32.5,33.8,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,35.1,34.9,32.82857142857143,33.47857142857142,34.61666666666667,,,,,
WAPO,N,0,GALLE FACE CAP,2022-03-02,32.9,2,3,2022,33.587786259541986,-0.9776437814810279,-0.6701389638217538,-0.3075048176592742,33.395,36.26001584454143,30.52998415545858,9.0,1.757142857142857,1.757142857142857,30.5,32.9,32.3,32.0,32.5,33.8,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,35.1,32.57142857142857,33.271428571428565,34.470000000000006,,,,,
WAPO,N,0,GALLE FACE CAP,2022-03-03,30.2,3,3,2022,43.07692307692307,-0.9629822855612318,-0.7287076281696494,-0.23427465739158237,33.21,35.978925309288925,30.44107469071108,-11.0,1.9000000000000001,1.9000000000000001,30.6,30.5,32.9,32.3,32.0,32.5,33.8,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,35.5,32.08571428571429,32.964285714285715,34.32,,,,,
WAPO,N,0,GALLE FACE CAP,2022-03-04,32.8,4,3,2022,47.76119402985074,-0.8767035376404664,-0.7583068100638128,-0.11839672757665354,33.135000000000005,35.88360730284682,30.38639269715319,0.0,2.057142857142857,2.057142857142857,31.8,30.6,30.5,32.9,32.3,32.0,32.5,33.8,34.0,32.3,34.5,34.9,34.4,33.2,33.6,34.9,33.4,35.6,32.9,34.1,35.5,34.9,35.1,36.8,37.0,38.3,36.2,37.0,35.5,35.4,31.800000000000004,32.83571428571428,34.19666666666667,,,,,
