COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
GEST,N,0,GESTETNER,2019-05-03,105.0,3,5,2019,47.76951672862453,-0.9187178136721741,-0.8900118977321463,-0.028705915940027804,96.54499999999999,109.51792321884722,83.57207678115276,0.0,10.821428571428571,10.821428571428571,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.07142857142857,95.35,97.94333333333334,,,,,,
GEST,N,0,GESTETNER,2019-05-08,105.0,8,5,2019,50.29354207436399,-1.1240436419791422,-0.9368182465815456,-0.18722539539759664,96.07000000000001,108.88119576160265,83.25880423839736,0.0,11.500000000000004,11.500000000000004,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.72857142857143,95.17857142857143,97.69666666666666,,,,,,
GEST,N,0,GESTETNER,2019-05-10,105.0,10,5,2019,50.29354207436399,-1.27210184202616,-1.0038749656704684,-0.26822687635569165,95.595,108.16706175780669,83.0229382421933,0.0,12.300000000000002,12.300000000000002,92.6,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.38571428571429,95.2,97.45,,,,,,
GEST,N,0,GESTETNER,2019-05-30,82.0,30,5,2019,41.60919540229884,-1.373604969219386,-1.077820966380252,-0.29578400283913386,95.12,107.37098921892047,82.86901078107954,1.0,13.385714285714286,13.385714285714286,92.6,92.6,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.45714285714287,95.22142857142858,97.20333333333333,,,,,,
GEST,N,0,GESTETNER,2019-05-31,82.1,31,5,2019,32.49551166965888,-2.410695966658878,-1.3443959664359773,-1.0663000002229006,94.035,107.4696410055263,80.6003589944737,7.0,13.935714285714285,13.935714285714285,92.6,92.6,92.6,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.52857142857144,94.70000000000002,96.95666666666666,,,,,,
GEST,N,0,GESTETNER,2019-06-13,98.8,13,6,2019,59.01116427432217,-1.6880670220127882,-1.4131301775513394,-0.27493684446144884,94.24999999999999,107.88578882361065,80.61421117638932,-4.0,14.442857142857141,14.442857142857141,80.4,92.6,92.6,92.6,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,100.0,100.0,100.0,90.85714285714288,93.30714285714285,96.30333333333333,,,,,,
GEST,N,0,GESTETNER,2019-07-04,99.4,4,7,2019,59.01116427432217,-1.102667512423821,-1.3510376445258356,0.24837013210201464,94.465,108.28493601935074,80.64506398064927,-4.0,14.021428571428572,14.021428571428572,99.3,80.4,92.6,92.6,92.6,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,100.0,100.0,91.81428571428572,94.11428571428571,96.27999999999999,,,,,,
GEST,N,0,GESTETNER,2019-07-09,99.4,9,7,2019,59.01116427432217,-0.6314551614646717,-1.2071211479136028,0.5756659864489311,94.815,108.75808355233406,80.87191644766594,3.0,13.635714285714286,13.635714285714286,99.3,99.3,80.4,92.6,92.6,92.6,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,100.0,92.77142857142859,94.92142857142856,96.25666666666666,,,,,,
GEST,N,0,GESTETNER,2019-07-10,99.9,10,7,2019,59.01116427432217,-0.2550756253973674,-1.0167120434103558,0.7616364180129884,95.16499999999999,109.19343353223806,81.13656646776192,-1.0,12.721428571428573,12.721428571428573,99.3,99.3,99.3,80.4,92.6,92.6,92.6,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,100.0,93.72857142857143,95.72857142857141,96.23333333333332,,,,,,
GEST,N,0,GESTETNER,2019-07-11,100.5,11,7,2019,42.37668161434978,0.042715471241095315,-0.8048265404800656,0.847542011721161,95.135,109.12330714711776,81.14669285288225,-1.0,11.30714285714286,11.30714285714286,99.3,99.3,99.3,99.3,80.4,92.6,92.6,92.6,92.6,92.6,92.6,106.1,106.1,106.1,88.0,88.0,88.0,88.0,99.9,99.9,92.3,92.3,95.0,95.0,102.1,102.1,102.1,102.1,100.0,100.0,94.6857142857143,96.53571428571426,96.20999999999998,,,,,,
