COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
HAYC,N,0,HAYCARB,2019-02-26,126.2,26,2,2019,49.09090909090914,0.030847745031621798,0.19128300592597397,-0.16043526089435217,130.56,132.65701542297873,128.46298457702127,0.0,1.5428571428571434,1.5428571428571434,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,131.0142857142857,130.8,130.38333333333333,,,,,,
HAYC,N,0,HAYCARB,2019-02-28,129.9,28,2,2019,49.54128440366975,-0.018933968587560912,0.14923961102326702,-0.16817357961082793,130.555,132.65810547324168,128.45189452675834,-2.0,1.5357142857142867,1.5357142857142867,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.5142857142857,130.78571428571428,130.38,,,,,,
HAYC,N,0,HAYCARB,2019-03-11,129.8,11,3,2019,48.59813084112158,-0.05772096394630921,0.10784749602935177,-0.165568459975661,130.55,132.6591280313513,128.44087196864874,-2.0,1.2571428571428578,1.2571428571428578,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.1,130.1,130.0,130.0,130.0,130.1142857142857,130.77857142857144,130.37666666666667,,,,,,
HAYC,N,0,HAYCARB,2019-03-12,129.9,12,3,2019,24.63768115942031,-0.47833503764394436,-0.009389010705307455,-0.4689460269386369,130.3,133.55673391444157,127.04326608555847,3.0,1.3357142857142859,1.3357142857142859,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.1,130.1,130.0,130.0,129.95714285714286,130.75714285714287,130.37333333333333,,,,,,
HAYC,N,0,HAYCARB,2019-03-22,120.0,22,3,2019,28.81355932203391,-0.8024248670350573,-0.16799618197125746,-0.6344286850637999,130.05,134.07962712131558,126.02037287868444,-2.0,1.5500000000000003,1.5500000000000003,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.1,130.1,130.0,129.24285714285716,130.25714285714287,130.20666666666665,,,,,,
HAYC,N,0,HAYCARB,2019-03-25,127.0,25,3,2019,39.13043478260871,-0.8876527975604347,-0.31192750508909295,-0.5757252924713417,129.89499999999998,134.1487785060987,125.64122149390128,-1.0,1.692857142857143,1.692857142857143,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.1,130.1,128.5285714285714,129.9,130.04,,,,,,
HAYC,N,0,HAYCARB,2019-03-26,127.0,26,3,2019,29.999999999999943,-0.9443111158061583,-0.43840422723250605,-0.5059068885736523,129.73999999999998,134.1839906201047,125.29600937989525,1.0,1.5642857142857136,1.5642857142857136,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.1,128.1,129.68571428571428,129.93666666666667,,,,,,
HAYC,N,0,HAYCARB,2019-03-27,130.0,27,3,2019,19.230769230769212,-0.9779401558470227,-0.5463114129554094,-0.43162874289161324,129.58999999999997,134.19658567476466,124.9834143252353,-1.0,1.6642857142857141,1.6642857142857141,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,127.67142857142856,129.34285714285716,129.83333333333334,,,,,,
HAYC,N,0,HAYCARB,2019-04-01,128.1,1,4,2019,20.618556701030954,-0.9931430771799512,-0.6356777458003178,-0.35746533137963343,129.43,134.16779873381142,124.6922012661886,1.0,1.6714285714285708,1.6714285714285708,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,127.25714285714285,128.8857142857143,129.73333333333332,,,,,,
HAYC,N,0,HAYCARB,2019-04-03,130.0,3,4,2019,45.45454545454546,-0.7544200887406873,-0.6594262143883918,-0.09499387435229556,129.32999999999998,133.9215712251678,124.73842877483216,0.0,1.7071428571428566,1.7071428571428566,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,130.0,126.84285714285714,128.47857142857143,129.63333333333333,,,,,,
HAYC,N,0,HAYCARB,2019-04-08,136.0,8,4,2019,68.75,-0.08015654977842246,-0.5435722814663979,0.46341573168797545,129.63,135.1049573418189,124.1550426581811,5.0,2.171428571428571,2.171428571428571,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,130.0,126.85714285714286,128.40714285714287,129.63333333333333,,,,,,
HAYC,N,0,HAYCARB,2019-04-09,130.0,9,4,2019,68.75,0.44902606963393055,-0.34505261124633224,0.7940786808802628,129.93,136.10332120797568,123.75667879202435,-5.0,2.599999999999999,2.599999999999999,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,128.42857142857142,128.83571428571432,129.83333333333334,,,,,,
HAYC,N,0,HAYCARB,2019-04-10,133.8,10,4,2019,68.75,0.8585107307731334,-0.10433994284243908,0.9628506736155725,130.14,136.8440914451746,123.43590855482539,2.0,2.757142857142856,2.757142857142856,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,130.0,130.0,129.26428571428573,130.03333333333333,,,,,,
HAYC,N,0,HAYCARB,2019-04-11,130.0,11,4,2019,50.0,0.6909159697765119,0.05471123968135114,0.6362047300951608,129.96999999999997,136.49609337481786,123.44390662518207,-2.0,3.185714285714284,3.185714285714284,136.0,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,130.0,131.28571428571428,129.69285714285715,130.23333333333332,,,,,,
HAYC,N,0,HAYCARB,2019-04-16,134.7,16,4,2019,59.022556390977414,0.9266646217617733,0.2291019160974356,0.6975627056643378,130.07,136.82935219568142,123.31064780431858,3.0,3.249999999999998,3.249999999999998,130.0,136.0,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,130.0,131.71428571428572,129.69285714285715,130.23333333333332,,,,,,
HAYC,N,0,HAYCARB,2019-04-17,134.7,17,4,2019,59.022556390977414,1.1008077009894066,0.40344307307582983,0.6973646279135768,130.255,137.3172718873268,123.1927281126732,-4.0,3.249999999999998,3.249999999999998,134.7,130.0,136.0,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,130.1,132.81428571428572,130.0357142857143,130.39,,,,,,
HAYC,N,0,HAYCARB,2019-04-18,134.6,18,4,2019,59.022556390977414,1.2246997693188746,0.5676944123244387,0.6570053569944359,130.49,137.82410203307668,123.15589796692333,2.0,3.249999999999998,3.249999999999998,134.7,134.7,130.0,136.0,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,130.1,133.9142857142857,130.37857142857143,130.54333333333332,,,,,,
HAYC,N,0,HAYCARB,2019-04-23,134.6,23,4,2019,72.35023041474653,1.3078095120918647,0.715717432277924,0.5920920798139407,130.725,138.29053821093075,123.15946178906924,0.0,2.9071428571428544,2.9071428571428544,134.7,134.7,134.7,130.0,136.0,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,130.0,134.58571428571426,130.72142857142856,130.69666666666666,,,,,,
HAYC,N,0,HAYCARB,2019-04-24,132.5,24,4,2019,72.35023041474653,1.3580201708217885,0.8441779799866969,0.5138421908350916,130.95999999999998,138.7201953312367,123.19980466876326,-2.0,2.7071428571428533,2.7071428571428533,134.7,134.7,134.7,134.7,130.0,136.0,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,130.2,134.4,131.4142857142857,130.85333333333332,,,,,,
HAYC,N,0,HAYCARB,2019-04-25,132.0,25,4,2019,66.18357487922704,1.3021109128942783,0.9357645665682133,0.366346346326065,131.145,138.98483753859608,123.30516246140395,6.0,2.7571428571428527,2.7571428571428527,134.7,134.7,134.7,134.7,134.7,130.0,136.0,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,132.0,134.21428571428572,132.10714285714286,131.00333333333333,,,,,,
HAYC,N,0,HAYCARB,2019-04-26,134.7,26,4,2019,66.18357487922704,1.243468492433749,0.9973053517413205,0.2461631406924284,131.33499999999998,139.2317748246724,123.43822517532756,-2.0,3.6499999999999946,3.6499999999999946,133.7,134.7,134.7,134.7,134.7,134.7,130.0,136.0,136.0,136.0,130.0,127.0,127.0,127.0,127.0,125.0,125.0,129.9,129.9,129.9,130.0,130.0,130.0,130.0,131.0,132.7,133.4,131.8,130.0,130.0,133.8857142857143,132.58571428571426,131.06,,,,,,
