COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15, MAIN TYPE 
CONN,N,0,HAYLEYS LEISURE,2021-08-17,19.8,17,8,2021,40.00000000000003,0.22013870353855225,0.2851608334026535,-0.06502212986410127,20.384999999999998,21.482892718371257,19.28710728162874,6.0,0.8142857142857144,0.8142857142857144,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.2,19.5,19.3,19.0,18.5,18.2,18.9,18.3,20.242857142857144,20.407142857142855,20.07,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-18,19.9,18,8,2021,32.55813953488375,0.17859594664093237,0.2638478560503093,-0.08525190940937694,20.345,21.43751038776225,19.25248961223775,9.0,0.8000000000000002,0.8000000000000002,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.2,19.5,19.3,19.0,18.5,18.2,18.9,20.357142857142858,20.357142857142858,20.153333333333332,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-19,19.8,19,8,2021,36.84210526315792,0.14401292118962417,0.2398808690781723,-0.09586794788854813,20.31,21.399471141619202,19.220528858380796,7.0,0.7714285714285717,0.7714285714285717,20.0,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.2,19.5,19.3,19.0,18.5,18.2,20.3,20.25,20.19,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-20,20.0,20,8,2021,48.2758620689655,0.10729957736094065,0.21336461073472596,-0.10606503337378531,20.285,21.388630372905713,19.181369627094288,-12.0,0.7142857142857145,0.7142857142857145,20.0,20.0,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.2,19.5,19.3,19.0,18.5,20.24285714285714,20.178571428571427,20.25,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-23,19.5,23,8,2021,51.61290322580647,0.09326719028877051,0.18934512664553488,-0.09607793635676437,20.325,21.332080198552124,19.317919801447875,19.0,0.8642857142857144,0.8642857142857144,19.9,20.0,20.0,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.2,19.5,19.3,19.0,20.142857142857142,20.17142857142857,20.296666666666667,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-24,19.2,24,8,2021,43.24324324324326,0.03334703300671649,0.1581455079177712,-0.12479847491105472,20.3,21.364251652076412,19.23574834792359,-17.0,0.8928571428571431,0.8928571428571431,20.1,19.9,20.0,20.0,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.2,19.5,19.3,20.114285714285717,20.178571428571427,20.333333333333332,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-25,20.0,25,8,2021,59.61538461538459,0.10567913732411682,0.14765223379904036,-0.04197309647492353,20.275,21.239365076099293,19.310634923900704,34.0,0.9571428571428573,0.9571428571428573,19.5,20.1,19.9,20.0,20.0,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.2,19.5,20.042857142857144,20.142857142857142,20.34,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-26,20.9,26,8,2021,55.35714285714286,0.12923643686254493,0.14396907441174128,-0.014732637549196348,20.23,21.022331668989832,19.43766833101017,-31.0,0.9857142857142858,0.9857142857142858,21.0,19.5,20.1,19.9,20.0,20.0,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.2,20.185714285714287,20.214285714285715,20.39,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-27,20.0,27,8,2021,47.36842105263161,0.1063341907816806,0.13644209768572915,-0.030107906904048548,20.185000000000002,20.890691150575098,19.479308849424907,6.0,0.9857142857142858,0.9857142857142858,20.6,21.0,19.5,20.1,19.9,20.0,20.0,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,21.3,20.157142857142855,20.257142857142856,20.40333333333333,,,,,
CONN,N,0,HAYLEYS LEISURE,2021-08-30,20.0,30,8,2021,46.55172413793105,0.07920184196298052,0.12499404654117943,-0.04579220457819891,20.185000000000002,20.890691150575098,19.479308849424907,6.0,0.9285714285714288,0.9285714285714288,20.1,20.6,21.0,19.5,20.1,19.9,20.0,20.0,20.8,20.0,20.0,20.3,20.6,20.4,20.4,20.0,20.0,20.0,20.0,20.0,21.0,21.5,21.5,20.0,19.3,20.4,20.7,20.8,20.8,21.2,20.171428571428574,20.235714285714288,20.363333333333337,,,,,
