COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
HHL,N,0,HEMAS HOLDINGS,2019-02-20,84.2,20,2,2019,30.0,-0.5911645953550391,-0.47744662750272715,-0.11371796785231192,85.66499999999999,87.2077589776624,84.12224102233759,0.0,1.6357142857142872,1.6357142857142872,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,87.0,85.0,85.4,85.1,85.0,87.9,87.6,88.5,85.64285714285714,85.67857142857143,86.1,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-02-21,85.0,21,2,2019,30.0,-0.6529929096525819,-0.5125558839326981,-0.1404370257198838,85.565,87.26735131509334,83.86264868490666,-7.0,1.607142857142858,1.607142857142858,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,87.0,85.0,85.4,85.1,85.0,87.9,87.6,85.28571428571429,85.53571428571429,85.95,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-02-22,85.0,22,2,2019,30.0,-0.6939923819979299,-0.5488431835457446,-0.14514919845218532,85.465,87.29029017159638,83.63970982840362,9.0,1.5785714285714292,1.5785714285714292,84.0,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,87.0,85.0,85.4,85.1,85.0,87.9,84.92857142857143,85.39285714285714,85.83,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-02-25,83.8,25,2,2019,18.98734177215188,-1.029316841732907,-0.6449379151831771,-0.38437892654972994,85.11999999999999,88.01725823204593,82.22274176795405,17.0,1.7928571428571434,1.7928571428571434,84.0,84.0,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,87.0,85.0,85.4,85.1,85.0,84.57142857142857,85.25,85.7,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-02-26,83.9,26,2,2019,18.98734177215188,-1.2803053290838733,-0.7720113979633164,-0.5082939311205569,84.885,88.55179266131216,81.21820733868785,-23.0,1.6357142857142872,1.6357142857142872,80.1,84.0,84.0,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,87.0,85.0,85.4,85.1,83.82857142857144,84.89999999999999,85.53666666666666,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-02-27,82.8,27,2,2019,17.948717948718,-1.3905634849390793,-0.895721815358469,-0.4948416695806104,84.635,88.64723129941434,80.62276870058567,12.0,1.6571428571428584,1.6571428571428584,80.1,80.1,84.0,84.0,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,87.0,85.0,85.4,83.11428571428571,84.54999999999998,85.36999999999999,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-02-28,81.0,28,2,2019,17.948717948718,-1.4611012026610837,-1.008797692818992,-0.4523035098420918,84.385,88.653994704784,80.11600529521601,-11.0,1.4571428571428575,1.4571428571428575,81.0,80.1,80.1,84.0,84.0,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,87.0,85.0,82.52857142857144,84.19285714285714,85.22333333333333,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-03-01,82.5,1,3,2019,12.328767123287733,-1.499715070361674,-1.1069811683275284,-0.3927339020341456,84.135,88.58745053756623,79.68254946243378,20.0,1.6000000000000003,1.6000000000000003,81.0,81.0,80.1,80.1,84.0,84.0,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,87.0,82.02857142857144,83.83571428571429,85.08999999999999,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-03-05,81.0,5,3,2019,12.328767123287733,-1.5128773305788172,-1.1881604007777862,-0.32471692980103106,83.885,88.45643303571211,79.3135669642879,-14.0,1.6000000000000003,1.6000000000000003,81.0,81.0,81.0,80.1,80.1,84.0,84.0,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,87.0,81.60000000000001,83.44285714285715,84.89,,,,,,
HHL,N,0,HEMAS HOLDINGS,2019-03-06,81.0,6,3,2019,12.162162162162232,-1.5139260833919082,-1.2533135373006106,-0.2606125460912976,83.67999999999999,88.40600866426806,78.95399133573193,-7.0,1.614285714285715,1.614285714285715,81.0,81.0,81.0,81.0,80.1,80.1,84.0,84.0,84.0,84.5,85.1,85.1,85.3,86.5,86.5,86.5,86.0,86.0,85.0,85.0,86.0,86.0,86.0,86.0,84.8,87.0,86.0,86.0,87.6,87.6,81.17142857142858,83.05,84.69,,,,,,
