COMPANY ID, MAIN TYPE ,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30,MAIN TYPE, MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
HNBF,N,0,HNB FINANCE,2020-07-03,5.2,3,7,2020,60.0,0.028416130072611345,0.018108418008107214,0.010307712064504131,5.1,5.540095683376142,4.659904316623857,3.0,0.2285714285714285,0.2285714285714285,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.2,5.3,5.2,5.3,5.4,5.5,5.5,5.2,5.271428571428572,5.1571428571428575,5.1466666666666665,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-06,5.2,6,7,2020,60.0,0.026885317553189125,0.019863797917123595,0.0070215196360655305,5.11,5.5496170582390265,4.670382941760974,-11.0,0.2285714285714285,0.2285714285714285,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.2,5.3,5.2,5.3,5.4,5.5,5.5,5.228571428571429,5.17857142857143,5.1466666666666665,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-07,5.4,7,7,2020,60.0,0.025379577629959016,0.02096695385969068,0.004412623770268336,5.12,5.558178046004131,4.681821953995869,3.0,0.2357142857142857,0.2357142857142857,5.2,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.2,5.3,5.2,5.3,5.4,5.5,5.214285714285714,5.200000000000001,5.136666666666667,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-08,5.3,8,7,2020,62.49999999999999,0.03188784888520679,0.0231511328647939,0.008736716020412892,5.14,5.572374107019662,4.707625892980337,0.0,0.2357142857142857,0.2357142857142857,5.2,5.2,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.2,5.3,5.2,5.3,5.4,5.214285714285714,5.221428571428572,5.126666666666667,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-09,5.3,9,7,2020,62.500000000000014,0.0446007354939022,0.02744105339061556,0.01715968210328664,5.165,5.596765043318211,4.733234956681789,11.0,0.2357142857142857,0.2357142857142857,5.3,5.2,5.2,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.2,5.3,5.2,5.3,5.214285714285714,5.25,5.123333333333333,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-10,5.2,10,7,2020,50.0,0.030121079868306033,0.027977058686153657,0.002144021182152376,5.18,5.577889167323868,4.782110832676131,13.0,0.23571428571428577,0.23571428571428577,5.4,5.3,5.2,5.2,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.2,5.3,5.2,5.228571428571429,5.278571428571428,5.126666666666666,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-13,5.0,13,7,2020,26.6666666666667,0.002478944208727185,0.022877435790668366,-0.02039849158194118,5.18,5.577889167323868,4.782110832676131,-16.0,0.22857142857142865,0.22857142857142865,5.1,5.4,5.3,5.2,5.2,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.2,5.3,5.214285714285714,5.278571428571428,5.123333333333333,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-14,5.0,14,7,2020,37.499999999999986,-0.0032518338061420238,0.017651581871306287,-0.02090341567744831,5.1899999999999995,5.5678052965553295,4.8121947034446695,-13.0,0.21428571428571436,0.21428571428571436,4.9,5.1,5.4,5.3,5.2,5.2,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.2,5.185714285714285,5.228571428571429,5.109999999999999,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-15,5.0,15,7,2020,39.99999999999999,-0.015681909643362246,0.010984883568372582,-0.02666679321173483,5.194999999999999,5.559041640186217,4.830958359813782,3.0,0.20000000000000004,0.20000000000000004,5.1,4.9,5.1,5.4,5.3,5.2,5.2,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.1,5.171428571428572,5.2,5.1066666666666665,,,,,,
HNBF,N,0,HNB FINANCE,2020-07-16,5.1,16,7,2020,46.66666666666665,-0.017264653850376455,0.005334976084622774,-0.022599629934999227,5.205,5.5451238164644066,4.864876183535594,-5.0,0.19285714285714287,0.19285714285714287,5.0,5.1,4.9,5.1,5.4,5.3,5.2,5.2,5.2,5.1,5.2,5.3,5.3,5.2,5.3,5.5,5.6,5.1,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.0,4.9,5.0,5.142857142857143,5.17857142857143,5.103333333333334,,,,,,
