COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
HNB,X,0,HNB,2019-01-24,160.5,24,1,2019,44.32253125797397,-1.6143311082062723,-2.3694218220026992,0.7550907137964269,184.28500000000003,227.56671000610572,141.00328999389433,-4.0,29.62857142857143,29.62857142857143,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,162.7,205.0,167.0,208.0,205.0,166.0,166.1,208.5,186.8857142857143,186.82142857142858,186.26333333333335,,,,,,
HNB,X,0,HNB,2019-01-25,160.6,25,1,2019,49.290578887627696,-3.5687629773984213,-2.609290053081844,-0.9594729243165774,183.935,227.91285447484364,139.95714552515636,13.0,26.814285714285713,26.814285714285713,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,162.7,205.0,167.0,208.0,205.0,166.0,166.1,186.6714285714286,183.64285714285714,184.66333333333333,,,,,,
HNB,N,0,HNB,2019-01-25,206.0,25,1,2019,50.02796420581655,-1.4536453481057094,-2.3781611120866173,0.9245157639809078,185.855,230.03551368503634,141.67448631496364,-8.0,27.17142857142857,27.17142857142857,160.0,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,162.7,205.0,167.0,208.0,205.0,166.0,186.40000000000003,183.2857142857143,184.46,,,,,,
HNB,X,0,HNB,2019-01-28,160.3,28,1,2019,49.916294642857146,-3.36170252916574,-2.574869395502442,-0.7868331336632979,183.67000000000002,228.39122303195302,138.948776968047,-15.0,27.185714285714287,27.185714285714287,205.2,160.0,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,162.7,205.0,167.0,208.0,205.0,186.3,183.3,185.76666666666662,,,,,,
HNB,N,0,HNB,2019-01-28,205.0,28,1,2019,54.933467235751955,-1.6274259327977916,-2.385380702961512,0.7579547701637206,183.435,227.7316685215182,139.1383314784818,27.0,30.092857142857138,30.092857142857138,160.3,205.2,160.0,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,162.7,205.0,167.0,208.0,186.22857142857146,183.2571428571429,184.27666666666667,,,,,,
HNB,X,0,HNB,2019-01-29,160.5,29,1,2019,44.63738508682329,-3.2256146287169543,-2.5534274881126007,-0.6721871406043536,183.24,227.87618546237547,138.60381453762454,-17.0,29.792857142857144,29.792857142857144,200.3,160.3,205.2,160.0,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,162.7,205.0,167.0,185.42857142857142,186.06428571428572,184.01999999999998,,,,,,
HNB,N,0,HNB,2019-01-29,205.0,29,1,2019,49.942276610482566,-1.098547485876196,-2.2624514876653197,1.1639040017891236,183.23499999999999,227.8609435990463,138.60905640095368,9.0,32.43571428571429,32.43571428571429,163.0,200.3,160.3,205.2,160.0,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,162.7,205.0,179.28571428571428,183.06428571428572,183.88666666666666,,,,,,
HNB,X,0,HNB,2019-01-30,163.0,30,1,2019,49.79281767955801,-2.9853347957773053,-2.407028149287717,-0.5783066464895885,182.995,228.0830997253389,137.9069002746611,-6.0,32.464285714285715,32.464285714285715,204.9,163.0,200.3,160.3,205.2,160.0,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,162.7,179.17142857142858,183.02857142857144,183.88333333333333,,,,,,
HNB,N,0,HNB,2019-01-30,204.9,30,1,2019,54.52649144764289,-0.8318452545798607,-2.0919915703461456,1.2601463157662849,183.01,228.12911253326547,137.8908874667345,22.0,35.457142857142856,35.457142857142856,160.2,204.9,163.0,200.3,160.3,205.2,160.0,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,167.0,179.12857142857143,182.90000000000003,183.8,,,,,,
HNB,X,0,HNB,2019-01-31,160.5,31,1,2019,45.31054606085869,-2.6770389729627198,-2.2090010508694604,-0.46803792209325934,183.01,228.12911253326547,137.8908874667345,-26.0,35.29285714285714,35.29285714285714,205.3,160.2,204.9,163.0,200.3,160.3,205.2,160.0,160.5,205.7,206.0,205.9,160.8,205.9,161.9,162.0,205.4,205.0,161.0,160.9,205.0,165.0,205.0,166.9,205.0,204.0,166.8,167.0,203.4,204.0,185.6,186.0,185.07666666666668,,,,,,
