COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
HOPL,N,0,HORANA,2019-04-05,17.5,5,4,2019,70.58823529411764,0.1041304314710878,0.18933917422330784,-0.08520874275222004,17.23,18.928420318692453,15.531579681307546,0.0,0.7714285714285717,0.7714285714285717,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,18.9,18.6,18.5,16.9,15.5,13.7,13.7,15.0,17.07142857142857,16.79285714285714,17.14333333333333,,,,,,
HOPL,N,0,HORANA,2019-04-08,15.5,8,4,2019,39.99999999999998,-0.026819169373219154,0.14610750550400245,-0.1729266748772216,17.080000000000002,18.8351128318805,15.324887168119503,0.0,0.8071428571428575,0.8071428571428575,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,18.9,18.6,18.5,16.9,15.5,13.7,13.7,17.02857142857143,16.84285714285714,17.209999999999997,,,,,,
HOPL,N,0,HORANA,2019-04-09,16.1,9,4,2019,37.93103448275864,-0.12910937893074603,0.09106412861705275,-0.2201735075477988,16.93,18.686911165114864,15.173088834885135,0.0,0.821428571428572,0.821428571428572,15.5,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,18.9,18.6,18.5,16.9,15.5,13.7,16.8,16.8,17.27,,,,,,
HOPL,N,0,HORANA,2019-04-10,17.0,10,4,2019,66.03773584905659,-0.01632695759911229,0.06958591137381975,-0.08591286897293204,16.9,18.5619582615571,15.238041738442899,7.0,0.9928571428571432,0.9928571428571432,15.5,15.5,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,18.9,18.6,18.5,16.9,15.5,16.571428571428573,16.75,17.33,,,,,,
HOPL,N,0,HORANA,2019-04-23,16.0,23,4,2019,48.611111111111114,-0.07934555105610386,0.03979961888783504,-0.1191451699439389,16.775,18.300743994529263,15.249256005470736,-7.0,0.9357142857142859,0.9357142857142859,17.9,15.5,15.5,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,18.9,18.6,18.5,16.9,16.7,16.871428571428574,17.41,,,,,,
HOPL,N,0,HORANA,2019-04-25,16.3,25,4,2019,39.344262295081954,-0.12781487013430137,0.006276721083407755,-0.13409159121770914,16.65,17.97744312991476,15.322556870085235,1.0,0.8785714285714288,0.8785714285714288,16.0,17.9,15.5,15.5,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,18.9,18.6,18.5,16.557142857142857,16.857142857142858,17.38,,,,,,
HOPL,N,0,HORANA,2019-04-26,16.2,26,4,2019,41.26984126984125,-0.14837841220258596,-0.02465430557379099,-0.12372410662879497,16.645,17.978732396421098,15.311267603578901,0.0,0.8285714285714285,0.8285714285714285,16.0,16.0,17.9,15.5,15.5,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,18.9,18.6,16.414285714285715,16.764285714285716,17.296666666666667,,,,,,
HOPL,N,0,HORANA,2019-04-29,16.1,29,4,2019,40.625,-0.17077573533639878,-0.053878591526312546,-0.11689714381008623,16.645,17.978732396421098,15.311267603578901,-1.0,0.7999999999999998,0.7999999999999998,16.2,16.0,16.0,17.9,15.5,15.5,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,18.9,16.3,16.685714285714287,17.216666666666665,,,,,,
HOPL,N,0,HORANA,2019-05-03,16.1,3,5,2019,41.93548387096773,-0.18637733340036533,-0.08037833990112311,-0.10599899349924222,16.64,17.981483860271315,15.298516139728685,0.0,0.7857142857142856,0.7857142857142856,16.1,16.2,16.0,16.0,17.9,15.5,15.5,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.9,16.17142857142857,16.599999999999998,17.123333333333335,,,,,,
HOPL,N,0,HORANA,2019-05-08,16.0,8,5,2019,41.26984126984125,-0.20445405742882627,-0.10519348340666375,-0.09926057402216253,16.630000000000003,17.988172146286097,15.271827853713908,0.0,0.7928571428571428,0.7928571428571428,16.1,16.1,16.2,16.0,16.0,17.9,15.5,15.5,17.0,17.0,17.0,17.0,17.0,17.1,17.1,17.3,17.3,17.3,16.2,16.2,16.2,16.1,16.3,18.5,18.5,18.5,18.5,18.5,18.5,18.5,16.25714285714286,16.52857142857143,17.03,,,,,,
