COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
KAHA,N,0,KAHAWATTE,2019-05-17,37.0,17,5,2019,56.9377990430622,0.025865560310165847,-0.19635683133581489,0.22222239164598073,36.42999999999999,41.848914243549835,31.01108575645015,0.0,3.392857142857143,3.392857142857143,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,39.9,39.9,39.9,39.9,39.9,40.0,40.0,39.9,37.614285714285714,37.685714285714276,37.09666666666667,,,,,,
KAHA,N,0,KAHAWATTE,2019-05-28,39.0,28,5,2019,50.54945054945053,0.06292724412141126,-0.14450001624436967,0.20742726036578094,36.675,41.87980547186923,31.470194528130758,2.0,3.257142857142857,3.257142857142857,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,39.9,39.9,39.9,39.9,39.9,40.0,40.0,37.371428571428574,37.892857142857146,37.029999999999994,,,,,,
KAHA,N,0,KAHAWATTE,2019-05-30,35.0,30,5,2019,46.74556213017751,0.09124705629122332,-0.09735060173725107,0.1885976580284744,36.92,41.850506539580095,31.98949346041991,-2.0,3.3000000000000003,3.3000000000000003,37.9,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,39.9,39.9,39.9,39.9,39.9,40.0,37.5,37.90714285714286,36.96,,,,,,
KAHA,N,0,KAHAWATTE,2019-05-31,35.0,31,5,2019,46.74556213017751,0.11239509082550825,-0.05540146322469921,0.16779655405020746,37.165000000000006,41.75022799754534,32.579772002454675,0.0,3.2214285714285715,3.2214285714285715,37.9,37.9,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,39.9,39.9,39.9,39.9,39.9,37.628571428571426,37.82857142857142,36.89000000000001,,,,,,
KAHA,N,0,KAHAWATTE,2019-06-03,39.0,3,6,2019,43.750000000000014,0.12768320801532695,-0.01878452897669398,0.14646773699202092,37.455,41.377123484998755,33.53287651500124,4.0,3.235714285714286,3.235714285714286,37.9,37.9,37.9,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,39.9,39.9,39.9,39.9,37.75714285714286,37.75,36.82333333333334,,,,,,
KAHA,N,0,KAHAWATTE,2019-06-04,38.1,4,6,2019,43.750000000000014,0.13820599831487357,0.01261357648161953,0.12559242183325403,37.75,40.71541467766755,34.78458532233245,-3.0,2.6857142857142864,2.6857142857142864,37.9,37.9,37.9,37.9,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,39.9,39.9,39.9,37.91428571428571,37.607142857142854,36.75666666666667,,,,,,
KAHA,N,0,KAHAWATTE,2019-06-10,31.3,10,6,2019,70.7070707070707,0.1448753525573636,0.03906593169676835,0.10580942086059526,37.894999999999996,40.562918565789445,35.22708143421055,1.0,2.6714285714285717,2.6714285714285717,37.9,37.9,37.9,37.9,37.9,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,39.9,39.9,37.9,37.464285714285715,36.690000000000005,,,,,,
KAHA,N,0,KAHAWATTE,2019-06-11,38.8,11,6,2019,29.26829268292684,0.14844962892902913,0.06094267114322051,0.08750695778580862,37.905,40.57133989225913,35.23866010774087,-2.0,2.3142857142857145,2.3142857142857145,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,39.9,37.9,37.75714285714286,36.623333333333335,,,,,,
KAHA,N,0,KAHAWATTE,2019-06-12,38.0,12,6,2019,79.99999999999982,0.14955825424667069,0.07866578776391055,0.07089246648276014,37.85,40.46614420977048,35.23385579022952,2.0,2.1357142857142857,2.1357142857142857,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,36.0,37.9,37.635714285714286,36.556666666666665,,,,,,
KAHA,N,0,KAHAWATTE,2019-06-14,39.9,14,6,2019,23.076923076923123,-0.14643422739046486,0.033645784733035464,-0.18008001212350033,37.61,40.631258016125045,34.588741983874954,0.0,2.5500000000000003,2.5500000000000003,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,38.0,36.8,37.0,37.0,37.0,39.6,33.8,39.9,39.9,39.0,39.0,37.7,35.0,32.0,32.1,33.0,33.0,33.0,30.8,36.0,37.9,37.699999999999996,36.62,,,,,,
