COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE 
KPHL,N,0,KAPRUKA ,2022-02-24,13.1,24,2,2022,4.444444444444471,-1.5417640709560612,-1.442068915829669,-0.09969515512639227,15.429999999999998,18.015058280927054,12.844941719072944,-9.0,0.7785714285714288,0.7785714285714288,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,18.6,18.8,20.0,20.0,20.1,20.1,20.7,22.3,14.599999999999998,15.085714285714287,17.006666666666668,
KPHL,N,0,KAPRUKA ,2022-02-25,12.4,25,2,2022,17.7777777777778,-1.5446845045409834,-1.4625920335719318,-0.08209247096905159,15.225,17.868661734870994,12.581338265129006,6.0,0.8142857142857144,0.8142857142857144,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,18.6,18.8,20.0,20.0,20.1,20.1,20.7,14.228571428571428,14.792857142857144,16.68,
KPHL,N,0,KAPRUKA ,2022-02-28,13.7,28,2,2022,26.66666666666667,-1.4974605194061983,-1.4695657307387853,-0.027894788667413017,15.040000000000001,17.618779801215677,12.461220198784325,-28.0,0.8,0.8,13.1,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,18.6,18.8,20.0,20.0,20.1,20.1,13.942857142857141,14.585714285714287,16.42666666666667,
KPHL,N,0,KAPRUKA ,2022-03-02,13.2,2,3,2022,25.000000000000014,-1.4912598413728908,-1.4739045528656063,-0.017355288507284516,14.829999999999998,17.386395488717834,12.273604511282162,-11.0,0.7999999999999999,0.7999999999999999,13.5,13.1,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,18.6,18.8,20.0,20.0,20.1,13.685714285714285,14.435714285714287,16.206666666666667,
KPHL,N,0,KAPRUKA ,2022-03-03,13.1,3,3,2022,24.0,-1.4853617621003803,-1.4761959947125611,-0.009165767387819157,14.63,17.196258796483,12.063741203517,-2.0,0.7428571428571429,0.7428571428571429,12.9,13.5,13.1,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,18.6,18.8,20.0,20.0,13.385714285714284,14.264285714285714,15.966666666666667,
KPHL,N,0,KAPRUKA ,2022-03-04,12.7,4,3,2022,24.0,-1.4797679762076683,-1.4769103910115826,-0.002857585196085699,14.419999999999998,16.96028593500397,11.879714064996026,2.0,0.7428571428571428,0.7428571428571428,12.7,12.9,13.5,13.1,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,18.6,18.8,20.0,13.085714285714285,14.078571428571427,15.723333333333333,
KPHL,N,0,KAPRUKA ,2022-03-07,12.5,7,3,2022,21.052631578947384,-1.5143623835429203,-1.4844007895178501,-0.02996159402507015,14.179999999999998,16.759759270695017,11.600240729304979,27.0,0.7857142857142856,0.7857142857142856,12.5,12.7,12.9,13.5,13.1,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,18.6,18.8,12.9,13.89285714285714,15.473333333333334,
KPHL,N,0,KAPRUKA ,2022-03-08,11.6,8,3,2022,18.461538461538467,-1.5880262367709062,-1.5051258789684614,-0.08290035780244476,13.929999999999998,16.727066132104937,11.13293386789506,5.0,0.8785714285714283,0.8785714285714283,11.8,12.5,12.7,12.9,13.5,13.1,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,18.6,12.714285714285714,13.657142857142858,15.24,
KPHL,N,0,KAPRUKA ,2022-03-09,11.0,9,3,2022,18.181818181818187,-1.6356201247783488,-1.531224728130439,-0.10439539664790987,13.695000000000002,16.6844375461122,10.705562453887804,-30.0,0.8928571428571426,0.8928571428571426,11.0,11.8,12.5,12.7,12.9,13.5,13.1,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,18.6,12.5,13.364285714285714,14.986666666666668,
KPHL,N,0,KAPRUKA ,2022-03-10,11.5,10,3,2022,16.92307692307692,-1.6462920299149104,-1.5542381884873335,-0.09205384142757689,13.48,16.599109184569084,10.360890815430917,1.0,0.8714285714285711,0.8714285714285711,10.9,11.0,11.8,12.5,12.7,12.9,13.5,13.1,12.5,13.1,13.8,14.8,15.0,15.3,15.1,15.1,15.1,15.1,15.3,15.3,15.6,16.0,16.6,16.7,16.7,17.1,17.2,17.2,17.2,17.7,12.185714285714287,13.064285714285717,14.729999999999997,
