COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
KGAL,N,0,KEGALLE,2019-02-25,62.9,25,2,2019,52.795031055900616,1.4691805806706242,1.4131291511042172,0.05605142956640696,60.120000000000005,64.21600575657492,56.02399424342509,-2.0,2.2928571428571423,2.2928571428571423,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,55.0,55.0,54.0,54.0,55.0,55.0,55.0,55.0,61.614285714285714,60.46428571428572,58.129999999999995,,,,,,
KGAL,N,0,KEGALLE,2019-02-26,61.5,26,2,2019,54.491017964071865,1.4984139598566202,1.430186112854698,0.06822784700192219,60.254999999999995,64.49589116751855,56.01410883248144,1.0,2.0857142857142854,2.0857142857142854,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,55.0,55.0,54.0,54.0,55.0,55.0,55.0,61.614285714285714,60.528571428571425,58.36333333333334,,,,,,
KGAL,N,0,KEGALLE,2019-02-27,61.5,27,2,2019,63.63636363636364,1.376606334320222,1.4194701571478028,-0.04286382282758083,60.315,64.56273623920963,56.06726376079036,2.0,1.9071428571428568,1.9071428571428568,62.6,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,55.0,55.0,54.0,54.0,55.0,55.0,61.771428571428565,60.635714285714286,58.61666666666667,,,,,,
KGAL,N,0,KEGALLE,2019-02-28,62.0,28,2,2019,63.63636363636364,1.2654851879960276,1.3886731633174478,-0.12318797532142023,60.57000000000001,64.28007164067589,56.85992835932412,0.0,1.9142857142857141,1.9142857142857141,61.0,62.6,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,55.0,55.0,54.0,54.0,55.0,61.699999999999996,60.91428571428571,58.81666666666667,,,,,,
KGAL,N,0,KEGALLE,2019-03-01,65.0,1,3,2019,62.31884057971015,1.1959118091038974,1.3501208924747379,-0.1542090833708405,60.725,64.29202736329937,57.15797263670064,2.0,2.1357142857142857,2.1357142857142857,61.0,61.0,62.6,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,55.0,55.0,54.0,54.0,61.67142857142858,61.192857142857136,59.016666666666666,,,,,,
KGAL,N,0,KEGALLE,2019-03-05,64.0,5,3,2019,60.992907801418454,1.1038425030305277,1.3008652145858959,-0.1970227115553682,60.779999999999994,64.33385631910494,57.22614368089504,-5.0,2.2357142857142853,2.2357142857142853,61.4,61.0,61.0,62.6,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,55.0,55.0,54.0,61.44285714285714,61.43571428571429,59.263333333333335,,,,,,
KGAL,N,0,KEGALLE,2019-03-06,63.5,6,3,2019,54.918032786885256,1.250468060915722,1.2907857838518613,-0.04031772293613933,60.925,64.75940107173825,57.09059892826175,6.0,1.985714285714285,1.985714285714285,61.1,61.4,61.0,61.0,62.6,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,55.0,55.0,61.44285714285714,61.65714285714286,59.5,,,,,,
KGAL,N,0,KEGALLE,2019-03-07,61.2,7,3,2019,58.771929824561404,1.3510952864848562,1.3028476843784604,0.04824760210639578,61.07000000000001,65.14410306564204,56.99589693435798,-8.0,2.1285714285714277,2.1285714285714277,64.0,61.1,61.4,61.0,61.0,62.6,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,55.0,61.871428571428574,61.74285714285715,59.8,,,,,,
KGAL,N,0,KEGALLE,2019-03-11,62.0,11,3,2019,61.467889908256886,1.4145371835947458,1.3251855842217177,0.08935159937302806,61.415,65.23421733508735,57.595782664912655,0.0,2.235714285714285,2.235714285714285,64.0,64.0,61.1,61.4,61.0,61.0,62.6,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,55.0,62.15714285714286,61.88571428571429,60.10000000000001,,,,,,
KGAL,N,0,KEGALLE,2019-03-12,61.0,12,3,2019,48.550724637681164,1.2167832604347453,1.3035051194643232,-0.08672185902957796,61.614999999999995,64.85830890165877,58.371691098341216,1.0,2.099999999999999,2.099999999999999,64.0,64.0,64.0,61.1,61.4,61.0,61.0,62.6,62.0,61.0,61.1,63.0,61.2,61.5,61.5,62.0,62.8,58.0,58.0,57.1,57.1,61.1,61.1,60.0,58.3,55.9,59.8,59.9,55.5,55.0,62.357142857142854,62.064285714285724,60.4,,,,,,
