COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
TYRE,N,0,KELANI TYRES,2019-02-25,34.0,25,2,2019,43.42105263157894,-0.22132499158411179,-0.07244911092068608,-0.14887588066342572,35.735,37.94623923340927,33.523760766590726,-7.0,0.928571428571428,0.928571428571428,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,35.7,35.7,36.0,35.6,36.7,36.42857142857143,35.75714285714285,35.94666666666667,,,,,,
TYRE,N,0,KELANI TYRES,2019-02-26,33.7,26,2,2019,50.0,-0.2558697098232301,-0.10913323070119489,-0.1467364791220352,35.684999999999995,37.91614320472711,33.45385679527288,4.0,1.0214285714285707,1.0214285714285707,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,35.7,35.7,36.0,35.6,36.028571428571425,35.68571428571428,35.85666666666667,,,,,,
TYRE,N,0,KELANI TYRES,2019-02-27,34.0,27,2,2019,47.25274725274725,-0.3597908456536061,-0.15926475369167714,-0.20052609196192894,35.584999999999994,37.93292181345658,33.23707818654341,-2.0,1.0571428571428565,1.0571428571428565,35.0,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,35.7,35.7,36.0,35.72857142857143,35.68571428571429,35.83666666666667,,,,,,
TYRE,N,0,KELANI TYRES,2019-02-28,33.8,28,2,2019,45.74468085106384,-0.4610419823223779,-0.21962019941781732,-0.2414217829045606,35.47,37.95371538330444,32.986284616695556,-1.0,1.0714285714285705,1.0714285714285705,34.0,35.0,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,35.7,35.7,35.24285714285714,35.65,35.77,,,,,,
TYRE,N,0,KELANI TYRES,2019-03-01,33.5,1,3,2019,42.391304347826086,-0.5510701722215856,-0.285910193978571,-0.2651599782430146,35.325,37.91638248004704,32.733617519952965,2.0,1.0714285714285705,1.0714285714285705,33.7,34.0,35.0,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,35.7,34.71428571428571,35.59285714285714,35.70333333333334,,,,,,
TYRE,N,0,KELANI TYRES,2019-03-05,34.0,5,3,2019,43.333333333333314,-0.6153250768751377,-0.35179317055788434,-0.2635319063172534,35.214999999999996,37.92348569072131,32.506514309278685,-4.0,1.092857142857142,1.092857142857142,33.5,33.7,34.0,35.0,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,34.22857142857142,35.49285714285714,35.63,,,,,,
TYRE,N,0,KELANI TYRES,2019-03-07,33.3,7,3,2019,22.85714285714289,-0.6825866109840462,-0.41795185864311674,-0.2646347523409294,35.125,37.97926734999774,32.27073265000226,1.0,0.7428571428571422,0.7428571428571422,33.5,33.5,33.7,34.0,35.0,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,34.04285714285714,35.40714285714286,35.513333333333335,,,,,,
TYRE,N,0,KELANI TYRES,2019-03-08,33.5,8,3,2019,24.637681159420268,-0.7195284213430568,-0.4782671711831048,-0.24126125015995203,35.04,38.00889134012575,32.07110865987425,3.0,0.7642857142857135,0.7642857142857135,33.2,33.5,33.5,33.7,34.0,35.0,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,36.0,33.84285714285714,35.135714285714286,35.38666666666666,,,,,,
TYRE,N,0,KELANI TYRES,2019-03-11,33.0,11,3,2019,14.73684210526308,-0.9716107124067506,-0.576935879427834,-0.3946748329789166,34.834999999999994,38.455569888261984,31.214430111738,14.0,0.9499999999999987,0.9499999999999987,33.3,33.2,33.5,33.5,33.7,34.0,35.0,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,36.0,33.74285714285714,34.885714285714286,35.29666666666667,,,,,,
TYRE,N,0,KELANI TYRES,2019-03-12,32.8,12,3,2019,29.56521739130436,-0.9745628126713868,-0.6564612660765445,-0.31810154659484224,34.745000000000005,38.48804969946053,31.001950300539477,-11.0,1.0928571428571416,1.0928571428571416,30.4,33.3,33.2,33.5,33.5,33.7,34.0,35.0,34.0,34.6,34.8,36.9,37.4,37.4,37.1,36.8,37.0,34.7,34.9,34.5,34.5,35.0,35.0,35.7,36.4,36.0,36.0,36.0,36.0,36.0,33.08571428571429,34.40714285714286,35.11000000000001,,,,,,
