COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
LOLC,N,0,L O L C HOLDINGS,2019-02-15,94.9,15,2,2019,40.25974025974026,0.571488842960278,0.5811387494634425,-0.00964990650316444,90.725,94.27012266880041,87.17987733119958,-11.0,1.9500000000000008,1.9500000000000008,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,88.1,88.7,88.7,88.9,88.7,89.0,89.0,88.6,91.11428571428573,91.47142857142858,89.95666666666665,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-02-18,90.0,18,2,2019,33.33333333333333,0.27164468485973714,0.5192399365427014,-0.24759525168296426,90.69,94.33988824630656,87.04011175369344,2.0,1.8214285714285725,1.8214285714285725,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,88.1,88.7,88.7,88.9,88.7,89.0,89.0,91.08571428571429,91.25714285714285,90.03666666666665,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-02-20,88.0,20,2,2019,38.5542168674699,0.04958279820137079,0.4253085088744353,-0.3757257106730645,90.66,94.39117732231084,86.92882267768915,-1.0,1.4785714285714298,1.4785714285714298,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,88.1,88.7,88.7,88.9,88.7,89.0,90.60000000000001,90.81428571428572,89.99666666666666,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-02-21,89.0,21,2,2019,45.07042253521126,-0.14091677451617102,0.31206345219631404,-0.45298022671248506,90.65,94.41213824978918,86.88786175021083,-5.0,1.3857142857142872,1.3857142857142872,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,88.1,88.7,88.7,88.9,88.7,90.15714285714286,90.54285714285716,89.96333333333332,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-02-22,87.2,22,2,2019,40.45801526717559,-0.1928361916080803,0.21108352343543518,-0.4039197150435155,90.61,94.42680494654894,86.79319505345106,3.0,1.4785714285714298,1.4785714285714298,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,88.1,88.7,88.7,88.9,89.70000000000002,90.44285714285716,89.93333333333332,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-02-25,88.1,25,2,2019,46.043165467625876,-0.1435669464053433,0.1401534294672795,-0.2837203758726228,90.715,94.3402186866886,87.0897813133114,22.0,1.9142857142857161,1.9142857142857161,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,88.1,88.7,88.7,89.7,90.26428571428572,89.93666666666665,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-02-26,94.0,26,2,2019,57.714285714285715,0.19182709979516233,0.15048816353285607,0.04133893626230625,90.70500000000001,94.29297699928092,87.1170230007191,-16.0,2.285714285714288,2.285714285714288,90.1,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,88.1,88.7,89.5,90.18571428571428,89.98333333333332,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-02-27,89.5,27,2,2019,44.052863436123346,0.029622126307856433,0.12631495608785615,-0.09669282977999971,90.43,93.79051374518531,87.0694862548147,19.0,2.6571428571428584,2.6571428571428584,93.8,90.1,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,88.1,89.64285714285714,90.37857142857142,90.15333333333334,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-02-28,88.2,28,2,2019,45.25862068965517,-0.05791307658172684,0.08946934955393955,-0.14738242613566638,90.28999999999999,93.643489933911,86.93651006608899,-17.0,2.8214285714285725,2.8214285714285725,88.5,93.8,90.1,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,88.5,89.28571428571429,90.18571428571428,90.16666666666667,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-03-01,89.0,1,3,2019,56.401384083044995,0.33684325251142866,0.13894413014543738,0.19789912236599128,90.57000000000001,94.43623712072664,86.70376287927337,34.0,3.385714285714286,3.385714285714286,89.0,88.5,93.8,90.1,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,88.5,89.45714285714284,90.02857142857142,90.18333333333335,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-03-05,94.4,5,3,2019,59.283387622149846,0.7938535587523603,0.26992601586682197,0.5239275428855383,90.83000000000001,95.56201859675134,86.09798140324868,28.0,3.7285714285714286,3.7285714285714286,94.8,89.0,88.5,93.8,90.1,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,88.5,90.42857142857143,90.29285714285713,90.39333333333333,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-03-06,96.0,6,3,2019,62.9757785467128,1.1269088863342631,0.4413225899603102,0.685586296373953,91.095,96.46488679680743,85.72511320319256,-40.0,3.9071428571428575,3.9071428571428575,96.7,94.8,89.0,88.5,93.8,90.1,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,88.5,91.7,90.7,90.66666666666669,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-03-07,96.7,7,3,2019,60.22304832713754,1.414893443427374,0.6360367606537229,0.7788566827736512,91.39,97.37415451531447,85.40584548468553,-28.0,3.9071428571428575,3.9071428571428575,96.5,96.7,94.8,89.0,88.5,93.8,90.1,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,88.6,92.77142857142857,91.23571428571428,90.93333333333335,,,,,,
LOLC,N,0,L O L C HOLDINGS,2019-03-08,96.8,8,3,2019,57.75193798449612,1.6084438121649924,0.8305181709559769,0.7779256412090155,91.67,98.12244955525873,85.21755044474128,-9.0,3.778571428571429,3.778571428571429,97.0,96.5,96.7,94.8,89.0,88.5,93.8,90.1,89.0,87.8,88.0,87.8,91.0,92.8,91.5,89.0,91.0,91.1,91.2,91.2,91.1,91.2,91.5,89.2,91.8,94.0,94.0,88.0,89.8,88.0,93.75714285714285,91.62857142857142,91.21333333333335,,,,,,
