COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SHAW,N,0,LEE HEDGES,2019-05-21,66.0,21,5,2019,35.71428571428572,-0.7315964905995287,-0.09839731663249157,-0.6331991739670371,70.855,76.17407194121208,65.53592805878793,7.0,2.364285714285714,2.364285714285714,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,71.0,72.0,72.0,72.0,70.0,69.7,68.7,68.7,69.42857142857143,70.78571428571429,71.00666666666666,,,,,,
SHAW,N,0,LEE HEDGES,2019-05-22,66.0,22,5,2019,35.71428571428572,-0.9468840171881965,-0.26809465674363253,-0.678789360444564,70.405,75.77018013628033,65.03981986371967,-7.0,2.364285714285714,2.364285714285714,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,71.0,72.0,72.0,72.0,70.0,69.7,68.7,68.85714285714286,70.5,70.91666666666666,,,,,,
SHAW,N,0,LEE HEDGES,2019-05-23,66.0,23,5,2019,0.0,-1.1047658797042317,-0.4354289013357524,-0.6693369783684793,69.95500000000001,75.20595480039485,64.70404519960518,4.0,2.0071428571428567,2.0071428571428567,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,71.0,72.0,72.0,72.0,70.0,69.7,68.28571428571429,70.21428571428571,70.82666666666665,,,,,,
SHAW,N,0,LEE HEDGES,2019-05-24,66.0,24,5,2019,0.0,-1.215872571080567,-0.5915176352847153,-0.6243549357958516,69.75500000000001,75.29546359451135,64.21453640548867,3.0,2.0071428571428567,2.0071428571428567,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,71.0,72.0,72.0,72.0,70.0,67.71428571428571,69.57142857142857,70.70333333333333,,,,,,
SHAW,N,0,LEE HEDGES,2019-05-27,66.1,27,5,2019,1.098901098901024,-1.2810886675027149,-0.7294318417283153,-0.5516568257743996,69.55499999999999,75.32697403065247,63.78302596934752,-7.0,2.0142857142857133,2.0142857142857133,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,71.0,72.0,72.0,72.0,67.14285714285714,68.92857142857143,70.57,,,,,,
SHAW,N,0,LEE HEDGES,2019-05-30,66.2,30,5,2019,2.439024390243773,-1.3175845986881285,-0.847062393120278,-0.4705222055678505,69.36,75.32883132350221,63.39116867649778,2.0,1.6642857142857141,1.6642857142857141,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,71.0,72.0,72.0,66.58571428571429,68.29285714285714,70.37333333333332,,,,,,
SHAW,N,0,LEE HEDGES,2019-06-11,65.0,11,6,2019,1.923076923076806,-1.4189123556147365,-0.9614323856191698,-0.4574799699955667,69.11,75.37734225548347,62.84265774451653,-1.0,2.0214285714285714,2.0214285714285714,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,71.0,72.0,66.31428571428572,68.01428571428572,70.17666666666668,,,,,,
SHAW,N,0,LEE HEDGES,2019-06-12,70.0,12,6,2019,50.0,-1.0832698591257213,-0.98579988032048,-0.09746997880524122,69.11,75.37734225548347,62.84265774451653,-1.0,1.0214285714285711,1.0214285714285711,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,71.0,65.88571428571429,67.65714285714286,69.94333333333334,,,,,,
SHAW,N,0,LEE HEDGES,2019-06-17,70.0,17,6,2019,50.0,-0.807957135561665,-0.9502313313687171,0.14227419580705203,68.86,74.50620039915063,63.21379960084937,0.0,1.0142857142857145,1.0142857142857145,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,70.0,66.45714285714286,67.65714285714286,69.91000000000001,,,,,,
SHAW,N,0,LEE HEDGES,2019-06-18,78.9,18,6,2019,74.62686567164181,0.20669479470146257,-0.7188461061546813,0.9255409008561438,69.10499999999999,76.12991056320668,62.0800894367933,3.0,1.7285714285714289,1.7285714285714289,70.0,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,72.5,67.02857142857144,67.65714285714286,69.91000000000001,,,,,,
SHAW,N,0,LEE HEDGES,2019-06-19,80.0,19,6,2019,74.62686567164181,0.9992945144836796,-0.37521798202700907,1.3745124965106887,69.35,77.49332144831128,61.20667855168871,-2.0,1.7357142857142855,1.7357142857142855,79.9,70.0,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,72.5,69.01428571428572,68.36428571428571,70.15666666666667,,,,,,
SHAW,N,0,LEE HEDGES,2019-06-20,72.4,20,6,2019,74.62686567164181,1.6088892292477084,0.021603460227934468,1.587285769019774,69.845,79.25909357796793,60.430906422032066,-1.0,2.2714285714285714,2.2714285714285714,79.9,79.9,70.0,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,75.0,71.0,69.07142857142857,70.40333333333334,,,,,,
SHAW,N,0,LEE HEDGES,2019-06-27,72.0,27,6,2019,82.8729281767956,2.068157006008718,0.4309141693840913,1.637242836624627,70.34,80.77423514963579,59.90576485036422,1.0,2.692857142857143,2.692857142857143,79.9,79.9,79.9,70.0,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,75.0,72.97142857142858,69.77857142857144,70.56666666666666,,,,,,
SHAW,N,0,LEE HEDGES,2019-06-28,70.0,28,6,2019,46.58385093167701,1.27962712163621,0.600656759834515,0.678970361801695,70.13,80.76026463996968,59.49973536003032,6.0,3.7571428571428576,3.7571428571428576,79.9,79.9,79.9,79.9,70.0,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,70.0,74.94285714285715,70.62857142857143,70.73,,,,,,
SHAW,N,0,LEE HEDGES,2019-07-01,65.2,1,7,2019,49.668874172185426,0.6472504074225753,0.6099754893521271,0.03727491807044825,69.91999999999999,80.72557361053228,59.1144263894677,-7.0,3.6571428571428575,3.6571428571428575,65.8,79.9,79.9,79.9,79.9,70.0,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,70.1,75.05714285714285,70.47142857142858,70.58999999999999,,,,,,
SHAW,N,0,LEE HEDGES,2019-07-03,77.9,3,7,2019,49.668874172185426,0.14442249278313568,0.5168648900383288,-0.3724423972551931,69.71000000000001,80.67115629705286,58.748843702947156,8.0,4.6642857142857155,4.6642857142857155,65.8,65.8,79.9,79.9,79.9,79.9,70.0,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,70.0,74.45714285714284,70.45714285714287,70.44666666666666,,,,,,
SHAW,N,0,LEE HEDGES,2019-07-04,79.8,4,7,2019,49.668874172185426,-0.25117684196608536,0.36325654363744597,-0.6144333856035313,69.5,80.59784236972027,58.40215763027974,-2.0,5.67857142857143,5.67857142857143,65.8,65.8,65.8,79.9,79.9,79.9,79.9,70.0,70.0,65.0,66.1,66.1,66.0,66.0,66.0,66.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,75.0,75.0,75.0,70.0,70.0,73.85714285714285,70.44285714285715,70.30666666666666,,,,,,
