COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
MAL,X,0,MALWATTE,2019-01-30,5.4,30,1,2019,50.12722646310432,0.23792595278710937,0.1702723363430967,0.06765361644401269,6.67,10.857751563535583,2.482248436464416,4.0,2.9928571428571433,2.9928571428571433,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,4.0,4.1,7.9,4.1,7.9,4.0,4.2,7.8,7.528571428571428,7.078571428571428,6.28,,,,,,
MAL,N,0,MALWATTE,2019-01-31,9.0,31,1,2019,50.5050505050505,0.3753886202660768,0.21129559312769272,0.16409302713838406,6.92,11.032932108157851,2.8070678918421494,-18.0,2.985714285714286,2.985714285714286,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,4.0,4.1,7.9,4.1,7.9,4.0,4.2,7.471428571428572,7.0857142857142845,6.1899999999999995,,,,,,
MAL,X,0,MALWATTE,2019-01-31,5.2,31,1,2019,50.125313283208015,0.16769824726223703,0.20257612395460162,-0.034877876692364584,6.964999999999999,10.970929815187795,2.9590701848122043,13.0,3.0,3.0,9.0,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,4.0,4.1,7.9,4.1,7.9,4.0,7.4142857142857155,7.114285714285714,6.35,,,,,,
MAL,X,0,MALWATTE,2019-02-01,5.0,1,2,2019,49.87468671679198,-0.004910429561424401,0.16107881325139642,-0.16598924281282082,7.005,10.909370021291256,3.1006299787087435,-5.0,3.0071428571428567,3.0071428571428567,5.1,9.0,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,4.0,4.1,7.9,4.1,7.9,7.3999999999999995,7.121428571428572,6.386666666666667,,,,,,
MAL,N,0,MALWATTE,2019-02-01,9.5,1,2,2019,51.21951219512195,0.21888517041503874,0.1726400846841249,0.04624508573091385,7.08,11.120114641416684,3.039885358583315,6.0,3.064285714285714,3.064285714285714,5.0,5.1,9.0,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,4.0,4.1,7.9,4.1,6.871428571428572,7.114285714285715,6.29,,,,,,
MAL,N,0,MALWATTE,2019-02-05,9.0,5,2,2019,50.0,0.3518431456625235,0.20848069687980464,0.14336244878271887,7.089999999999999,11.148986132158203,3.0310138678417937,-14.0,3.042857142857143,3.042857142857143,9.5,5.0,5.1,9.0,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,4.0,4.1,7.9,7.5,7.185714285714286,6.47,,,,,,
MAL,X,0,MALWATTE,2019-02-05,5.1,5,2,2019,49.636803874092,0.12493736392579535,0.1917720302890028,-0.06683466636320745,7.084999999999999,11.155057545177048,3.0149424548229504,20.0,3.0642857142857145,3.0642857142857145,9.0,9.5,5.0,5.1,9.0,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,4.0,4.1,7.457142857142857,7.185714285714286,6.506666666666666,,,,,,
MAL,X,0,MALWATTE,2019-02-06,4.9,6,2,2019,49.268292682926834,-0.054261608818658935,0.14256530246747046,-0.1968269112861294,6.9,11.01620673615124,2.783793263848761,-17.0,3.0357142857142856,3.0357142857142856,4.9,9.0,9.5,5.0,5.1,9.0,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,4.0,6.8,7.164285714285714,6.533333333333332,,,,,,
MAL,N,0,MALWATTE,2019-02-06,9.0,6,2,2019,49.51456310679612,0.13302422859031537,0.14065708769203944,-0.0076328591017240655,7.1,11.21620673615124,2.98379326384876,-3.0,3.0428571428571423,3.0428571428571423,4.9,4.9,9.0,9.5,5.0,5.1,9.0,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,7.9,6.771428571428571,7.121428571428572,6.563333333333333,,,,,,
MAL,N,0,MALWATTE,2019-02-07,9.0,7,2,2019,55.13513513513514,0.2782422011632679,0.16817411038628516,0.11006809077698276,7.295,11.381679259303457,3.2083207406965437,6.0,2.75,2.75,9.0,4.9,4.9,9.0,9.5,5.0,5.1,9.0,5.1,9.5,9.3,5.1,8.7,5.2,9.4,5.5,5.2,9.0,8.5,5.1,5.0,8.6,5.0,8.8,8.0,4.2,4.2,4.0,4.0,4.2,6.771428571428571,7.0928571428571425,6.599999999999999,,,,,,
