COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
MSL,N,0,MERC. SHIPPING,2019-08-07,45.2,7,8,2019,62.50000000000001,-4.607816633266118,-5.88076891477128,1.2729522815051615,43.745,52.63721421717967,34.85278578282033,0.0,4.65,4.65,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,42.9,42.107142857142854,53.22000000000001,,,,,,
MSL,N,0,MERC. SHIPPING,2019-08-08,40.2,8,8,2019,62.50000000000001,-4.218472700538058,-5.5483096719246365,1.3298369713865785,42.995,47.621912122514914,38.36808787748508,4.0,4.371428571428572,4.371428571428572,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,43.60000000000001,42.25,52.396666666666675,,,,,,
MSL,N,0,MERC. SHIPPING,2019-09-02,51.5,2,9,2019,62.50000000000001,-3.8653573948333104,-5.211719216506372,1.346361821673062,42.989999999999995,47.60754092678431,38.37245907321568,-4.0,4.621428571428572,4.621428571428572,45.0,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,44.300000000000004,42.392857142857146,51.573333333333345,,,,,,
MSL,N,0,MERC. SHIPPING,2019-09-04,38.2,4,9,2019,100.0,-3.54465044711781,-4.878305462628661,1.3336550155108506,42.985,47.59312783082945,38.37687216917055,0.0,4.535714285714286,4.535714285714286,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,45.0,42.53571428571429,50.75000000000001,,,,,,
MSL,N,0,MERC. SHIPPING,2019-09-10,51.5,10,9,2019,100.0,-3.2529894431000557,-4.55324225872294,1.3002528156228843,42.980000000000004,47.57867257735165,38.38132742264836,2.0,4.607142857142857,4.607142857142857,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,69.7,69.7,69.7,69.7,45.0,42.89285714285715,49.92666666666667,,,,,,
MSL,N,0,MERC. SHIPPING,2019-09-16,48.0,16,9,2019,100.0,-2.9874090047032382,-4.240075607919,1.2526666032157614,42.975,47.5641749057746,38.3858250942254,-2.0,4.75,4.75,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,69.7,69.7,69.7,45.0,43.25000000000001,49.103333333333346,,,,,,
MSL,N,0,MERC. SHIPPING,2019-09-19,45.0,19,9,2019,100.0,-2.745288615592301,-3.94111820945366,1.195829593861359,43.075,47.752774999652104,38.3972250003479,1.0,4.628571428571428,4.628571428571428,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,69.7,69.7,45.0,43.60000000000001,48.28000000000001,,,,,,
MSL,N,0,MERC. SHIPPING,2019-09-20,48.0,20,9,2019,100.0,-2.524307813689525,-3.6577561303008332,1.1334483166113083,43.175,47.93088278373567,38.419117216264326,1.0,4.578571428571428,4.578571428571428,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,69.7,45.0,43.95,47.45666666666667,,,,,,
MSL,N,0,MERC. SHIPPING,2019-09-23,54.0,23,9,2019,100.0,-2.3224076661737953,-3.3906864374754258,1.0682787713016304,43.275,48.09900794273607,38.450992057263925,1.0,4.892857142857143,4.892857142857143,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,69.7,45.0,44.300000000000004,46.633333333333326,,,,,,
MSL,N,0,MERC. SHIPPING,2019-09-24,53.8,24,9,2019,100.0,-2.137757605685124,-3.1401006711173656,1.0023430654322416,43.525,48.148452799529316,38.90154720047068,-3.0,5.521428571428571,5.521428571428571,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.1,40.1,40.1,40.1,40.1,40.0,40.0,43.0,43.0,43.0,45.1,45.1,45.1,45.1,60.0,69.7,69.7,45.0,44.65,45.80999999999999,,,,,,
