COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
PEG,N,0,PEGASUS HOTELS,2019-02-28,22.4,28,2,2019,40.74074074074074,-0.19427239372416238,-0.10614300637459714,-0.08812938734956524,22.495,23.623529550950444,21.366470449049558,-2.0,0.914285714285714,0.914285714285714,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,23.4,22.5,23.0,24.0,23.0,23.0,23.0,22.2,22.057142857142857,22.457142857142856,22.69666666666667,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-01,22.4,1,3,2019,34.375,-0.24599620301660252,-0.13411364570299822,-0.1118825573136043,22.44,23.6701476163025,21.209852383697502,2.0,0.9499999999999998,0.9499999999999998,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,23.4,22.5,23.0,24.0,23.0,23.0,23.0,22.057142857142857,22.385714285714283,22.70333333333333,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-05,22.5,5,3,2019,54.16666666666668,-0.14810464388085975,-0.13691184533857054,-0.011192798542289217,22.465,23.72870382939241,21.20129617060759,19.0,1.0999999999999999,1.0999999999999999,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,23.4,22.5,23.0,24.0,23.0,23.0,21.914285714285715,22.242857142857144,22.649999999999995,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-07,23.9,7,3,2019,50.0,-0.07769838365905457,-0.12506915300266735,0.047370769343612784,22.435,23.6106744984543,21.259325501545696,-20.0,1.0928571428571427,1.0928571428571427,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,23.4,22.5,23.0,24.0,23.0,22.014285714285712,22.28571428571429,22.65333333333333,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-08,22.7,8,3,2019,48.57142857142858,-0.053560164013376266,-0.11076735520480914,0.057207191191432874,22.455,23.62744683416663,21.282553165833367,3.0,1.0428571428571427,1.0428571428571427,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,23.4,22.5,23.0,24.0,22.2,22.28571428571429,22.65333333333333,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-11,23.0,11,3,2019,53.52112676056338,-0.0021292493164679627,-0.08903973402714091,0.08691048471067295,22.494999999999997,23.685267550639455,21.30473244936054,-4.0,1.0499999999999996,1.0499999999999996,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,23.4,22.5,23.0,22.214285714285715,22.27142857142857,22.606666666666666,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-12,23.8,12,3,2019,54.28571428571429,0.038189891820046284,-0.06359380885770348,0.10178370067774976,22.475,23.613558645601394,21.33644135439861,-1.0,1.0928571428571423,1.0928571428571423,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,23.4,22.5,22.428571428571427,22.307142857142853,22.606666666666666,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-14,23.7,14,3,2019,61.44578313253013,0.1730474537723552,-0.016265556331691744,0.18931301010404694,22.52,23.864932007672934,21.175067992327065,13.0,1.2285714285714282,1.2285714285714282,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,23.4,22.642857142857142,22.349999999999994,22.62333333333333,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-15,24.3,15,3,2019,61.44578313253013,0.276733037025334,0.04233416233971341,0.23439887468562062,22.61,24.17258894483684,21.04741105516316,-7.0,1.0857142857142854,1.0857142857142854,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.4,22.914285714285715,22.485714285714284,22.65333333333333,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-18,24.3,18,3,2019,61.44578313253013,0.3548145277560124,0.1048302354229732,0.2499842923330392,22.675,24.405074534445507,20.944925465554494,-5.0,0.971428571428571,0.971428571428571,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.4,23.328571428571426,22.62142857142857,22.683333333333337,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-19,24.0,19,3,2019,64.55696202531647,0.3880143905477844,0.16146706644793546,0.22654732409984896,22.735000000000003,24.56374705453589,20.906252945464114,0.0,0.921428571428571,0.921428571428571,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,22.5,23.5,22.75714285714286,22.713333333333335,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-21,22.7,21,3,2019,63.15789473684211,0.44948990252940035,0.21907163366422844,0.23041826886517192,22.835,24.82156010546663,20.84843989453337,7.0,0.9928571428571425,0.9928571428571425,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,22.5,23.64285714285714,22.92142857142857,22.763333333333335,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-22,22.7,22,3,2019,72.72727272727272,0.49253208539215265,0.2737637240098133,0.21876836138233935,22.94,25.048029761100217,20.831970238899785,-7.0,1.078571428571428,1.078571428571428,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,22.6,23.91428571428571,23.064285714285713,22.830000000000002,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-25,21.5,25,3,2019,72.72727272727272,0.5206416920750243,0.3231393176228555,0.19750237445216878,23.045,25.246889141049955,20.84311085895005,-1.0,1.2285714285714282,1.2285714285714282,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,23.6,24.12857142857143,23.27857142857142,22.893333333333334,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-26,24.0,26,3,2019,63.93442622950822,0.5048228176291261,0.35947601762410963,0.14534680000501643,23.13,25.35814532267251,20.90185467732749,8.0,1.1999999999999997,1.1999999999999997,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,22.2,24.342857142857145,23.49285714285714,22.923333333333336,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-28,24.3,28,3,2019,77.35849056603776,0.5026305619506708,0.38810692648942186,0.11452363546124894,23.225,25.483900524358564,20.96609947564144,-6.0,1.1428571428571426,1.1428571428571426,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,22.2,24.314285714285717,23.614285714285717,22.986666666666665,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-03-29,23.5,29,3,2019,61.53846153846152,0.47125337517181265,0.4047362162259,0.06651715894591265,23.34,25.5042064304692,21.1757935695308,1.0,0.9857142857142855,0.9857142857142855,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,23.4,24.314285714285717,23.821428571428577,23.056666666666665,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-01,24.2,1,4,2019,63.15789473684212,0.4412997003431123,0.4120489130493425,0.029250787293769787,23.415,25.560521651695634,21.269478348304364,-1.0,0.9428571428571428,0.9428571428571428,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,23.4,24.271428571428572,23.88571428571429,23.07666666666666,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-02,24.2,2,4,2019,72.2222222222222,0.42875708102896937,0.41539054664526787,0.0133665343837015,23.55,25.520840055995368,21.579159944004633,0.0,0.9214285714285714,0.9214285714285714,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,22.5,24.271428571428572,23.95714285714286,23.09666666666666,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-03,24.5,3,4,2019,68.75,0.41404412195345586,0.41512126170690544,-0.0010771397534495852,23.685,25.420420470815746,21.949579529184252,-1.0,0.9142857142857144,0.9142857142857144,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,23.0,24.228571428571428,24.071428571428573,23.153333333333325,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-04,24.9,4,4,2019,68.75,0.3977984232822891,0.41165669402198224,-0.013858270739693146,23.775,25.413837842400596,22.1361621575994,0.0,0.9071428571428571,0.9071428571428571,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,22.8,24.185714285714287,24.157142857142862,23.193333333333328,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-05,25.0,5,4,2019,67.74193548387095,0.4762634921492399,0.42457805364743384,0.05168543850180607,23.975,25.348240501035505,22.601759498964498,1.0,0.8571428571428571,0.8571428571428571,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,22.5,24.142857142857142,24.242857142857144,23.24,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-11,24.5,11,4,2019,67.74193548387095,0.532311469271221,0.44612473677219133,0.08618673249902964,24.089999999999996,25.537902293882983,22.64209770611701,2.0,0.9214285714285714,0.9214285714285714,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,22.4,24.32857142857143,24.321428571428573,23.336666666666662,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-16,25.0,16,4,2019,67.74193548387095,0.5701574744890578,0.47093128431556464,0.09922619017349321,24.21,25.67524652138167,22.744753478618332,-4.0,0.9357142857142856,0.9357142857142856,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,22.4,24.485714285714288,24.4,23.436666666666664,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-17,23.9,17,4,2019,48.83720930232557,0.47365326234361405,0.47147567992117456,0.0021775824224394835,24.275,25.54136653877396,23.008633461226037,3.0,1.0357142857142858,1.0357142857142858,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,22.4,24.685714285714283,24.47857142857143,23.53666666666667,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-18,25.8,18,4,2019,42.10526315789472,0.3926467911488203,0.4557099021667037,-0.06306311101788342,24.32,25.452486783935914,23.187513216064087,-3.0,1.042857142857143,1.042857142857143,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,22.4,24.67142857142857,24.47142857142857,23.586666666666666,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-23,23.5,23,4,2019,34.04255319148935,0.2529107035614615,0.41515006244565533,-0.16223935888419383,24.32,25.452486783935914,23.187513216064087,9.0,0.9500000000000001,0.9500000000000001,23.9,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,21.7,24.628571428571426,24.428571428571427,23.636666666666667,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-25,22.6,25,4,2019,30.76923076923076,0.10066264971311156,0.3522525798991466,-0.25158993018603504,24.23,25.624877847887173,22.835122152112827,-7.0,0.7714285714285715,0.7714285714285715,23.0,23.9,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,22.5,24.457142857142856,24.321428571428573,23.68,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-29,24.0,29,4,2019,49.206349206349195,0.09989095339645004,0.3017802545986073,-0.20188930120215726,24.214999999999996,25.613156681228244,22.81684331877175,0.0,0.8428571428571429,0.8428571428571429,22.5,23.0,23.9,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,21.5,24.21428571428572,24.178571428571427,23.68,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-04-30,26.5,30,4,2019,47.54098360655737,0.09814798957688353,0.26105380159426256,-0.16290581201737903,24.2,25.600751677906516,22.799248322093483,-2.0,1.0071428571428573,1.0071428571428573,24.0,22.5,23.0,23.9,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,21.5,24.014285714285716,24.17142857142857,23.763333333333335,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-05-03,24.0,3,5,2019,50.0,0.09566392402506452,0.22797582608042297,-0.13231190205535845,24.2,25.600751677906516,22.799248322093483,0.0,0.9500000000000001,0.9500000000000001,24.0,24.0,22.5,23.0,23.9,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,22.4,23.814285714285717,24.15,23.846666666666668,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-05-07,25.0,7,5,2019,50.0,0.09262753165227267,0.2009061671947929,-0.10827863554252024,24.175,25.571047050933846,22.778952949066156,3.0,1.0999999999999999,1.0999999999999999,24.0,24.0,24.0,22.5,23.0,23.9,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,21.4,23.614285714285717,24.15,23.900000000000002,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-05-08,23.9,8,5,2019,48.21428571428572,0.08919300735276536,0.1785635352263874,-0.08937052787362204,24.15,25.539433811230136,22.76056618876986,-3.0,1.092857142857143,1.092857142857143,24.0,24.0,24.0,24.0,22.5,23.0,23.9,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.1,23.62857142857143,24.15,23.986666666666668,,,,,,
PEG,N,0,PEGASUS HOTELS,2019-05-10,22.7,10,5,2019,39.130434782608695,-0.01821800749560154,0.13920722668198962,-0.15742523417759116,24.06,25.58094153664589,22.539058463354106,6.0,1.1642857142857144,1.1642857142857144,24.0,24.0,24.0,24.0,24.0,22.5,23.0,23.9,23.9,25.4,25.4,25.4,24.2,24.2,24.2,24.0,24.0,24.3,24.1,24.5,24.5,24.5,24.0,24.3,24.3,24.3,23.0,23.0,22.6,23.0,23.642857142857142,24.135714285714283,24.016666666666662,,,,,,
