COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE
GLAS,N,0,PIRAMAL GLASS,2019-02-15,3.6,15,2,2019,33.33333333333333,-0.029914437364468416,-0.01830612921406699,-0.011608308150401425,3.6950000000000003,3.84683093090325,3.543169069096751,-1.0,0.1285714285714284,0.1285714285714284,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.7,3.7,3.7,3.7,3.8,3.657142857142857,3.714285714285714,3.7033333333333336,,
GLAS,N,0,PIRAMAL GLASS,2019-02-18,3.6,18,2,2019,33.33333333333333,-0.032947366741077566,-0.02123437671946911,-0.011712990021608458,3.6949999999999994,3.846830930903249,3.54316906909675,-1.0,0.12857142857142842,0.12857142857142842,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.7,3.7,3.7,3.7,3.642857142857143,3.6999999999999997,3.6966666666666668,,
GLAS,N,0,PIRAMAL GLASS,2019-02-20,3.6,20,2,2019,33.33333333333333,-0.03494812489379351,-0.02397712635433399,-0.010970998539459518,3.6900000000000004,3.847613785130483,3.532386214869518,-3.0,0.12142857142857132,0.12142857142857132,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.7,3.7,3.7,3.628571428571429,3.685714285714286,3.693333333333334,,
GLAS,N,0,PIRAMAL GLASS,2019-02-21,3.6,21,2,2019,39.99999999999998,-0.03611740122547902,-0.026405181328562996,-0.009712219896916022,3.69,3.8476137851304824,3.5323862148695175,2.0,0.12142857142857134,0.12142857142857134,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.7,3.7,3.6142857142857148,3.6714285714285717,3.6900000000000004,,
GLAS,N,0,PIRAMAL GLASS,2019-02-22,3.5,22,2,2019,39.99999999999998,-0.03662190659958586,-0.028448526382767573,-0.00817338021681829,3.685,3.84754554017745,3.52245445982255,22.0,0.12142857142857137,0.12142857142857137,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.7,3.6142857142857143,3.6642857142857146,3.686666666666667,,
GLAS,N,0,PIRAMAL GLASS,2019-02-25,3.5,25,2,2019,25.00000000000003,-0.0365998306778792,-0.0300787872417899,-0.006521043436089297,3.6799999999999997,3.846701750693298,3.5132982493067013,-16.0,0.11428571428571425,0.11428571428571425,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.6142857142857143,3.6571428571428575,3.683333333333333,,
GLAS,N,0,PIRAMAL GLASS,2019-02-26,3.6,26,2,2019,20.000000000000014,-0.044142650617535306,-0.032891559916938984,-0.011251090700596322,3.665,3.8400187959830845,3.4899812040169156,11.0,0.1142857142857143,0.1142857142857143,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.6000000000000005,3.6428571428571432,3.6766666666666667,,
GLAS,N,0,PIRAMAL GLASS,2019-02-27,3.5,27,2,2019,40.0,-0.04157200925267812,-0.03462764978408681,-0.006944359468591309,3.655,3.8201155894963796,3.48988441050362,-19.0,0.12142857142857147,0.12142857142857147,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.585714285714286,3.6214285714285728,3.6666666666666665,,
GLAS,N,0,PIRAMAL GLASS,2019-02-28,3.6,28,2,2019,33.33333333333333,-0.0470614268813212,-0.03711440520353369,-0.009947021677787507,3.6399999999999997,3.804156536333625,3.4758434636663744,11.0,0.11428571428571435,0.11428571428571435,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.585714285714286,3.614285714285715,3.6633333333333327,,
GLAS,N,0,PIRAMAL GLASS,2019-03-01,3.6,1,3,2019,33.33333333333333,-0.05082594010169572,-0.0398567121831661,-0.010969227918529618,3.63,3.802900945174124,3.4570990548258758,1.0,0.1142857142857144,0.1142857142857144,3.5,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.6,3.571428571428572,3.600000000000001,3.6566666666666663,,
GLAS,N,0,PIRAMAL GLASS,2019-03-05,3.6,5,3,2019,40.0,-0.0531961320538219,-0.04252459615729726,-0.010671535896524635,3.6199999999999997,3.7988854381999837,3.4411145618000156,-16.0,0.10714285714285723,0.10714285714285723,3.5,3.5,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.6,3.5571428571428574,3.5857142857142863,3.653333333333333,,
GLAS,N,0,PIRAMAL GLASS,2019-03-06,3.6,6,3,2019,40.0,-0.054446896323392835,-0.04490905619051638,-0.009537840132876452,3.6049999999999995,3.77011558949638,3.4398844105036193,10.0,0.10714285714285723,0.10714285714285723,3.5,3.5,3.5,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.6,3.7,3.6,3.5428571428571436,3.578571428571429,3.65,,
