COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
CARE,N,0,PRINTCARE PLC,2019-04-04,33.0,4,4,2019,54.6875,0.5401407151789996,0.7932031718194825,-0.2530624566404829,32.545,36.348308808752826,28.741691191247174,-1.0,2.342857142857142,2.342857142857142,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,34.9,34.9,34.9,30.0,30.0,27.3,27.3,27.3,33.1,32.349999999999994,32.11666666666666,,,,,,
CARE,N,0,PRINTCARE PLC,2019-04-08,30.0,8,4,2019,47.2972972972973,0.2947523832590271,0.6935130141073915,-0.39876063084836444,32.464999999999996,36.41642878889196,28.513571211108033,-1.0,2.3571428571428563,2.3571428571428563,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,34.9,34.9,34.9,30.0,30.0,27.3,27.3,32.84285714285714,32.47857142857142,32.306666666666665,,,,,,
CARE,N,0,PRINTCARE PLC,2019-04-12,30.1,12,4,2019,57.92349726775957,0.10711477411080139,0.5762333661080735,-0.4691185919972721,32.39,36.46554968846632,28.314450311533683,2.0,1.9642857142857135,1.9642857142857135,30.0,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,34.9,34.9,34.9,30.0,30.0,27.3,32.15714285714286,32.39285714285714,32.39666666666667,,,,,,
CARE,N,0,PRINTCARE PLC,2019-04-17,34.7,17,4,2019,39.843749999999986,-0.04111542991257622,0.45276360690394357,-0.4938790368165198,32.13,36.08559563682958,28.17440436317042,-2.0,1.8928571428571423,1.8928571428571423,30.1,30.0,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,34.9,34.9,34.9,30.0,30.0,31.74285714285714,32.6,32.489999999999995,,,,,,
CARE,N,0,PRINTCARE PLC,2019-04-24,34.0,24,4,2019,54.97076023391814,0.20219270573762316,0.40264942667067954,-0.2004567209330564,32.095,35.943430985821564,28.246569014178434,3.0,2.2071428571428564,2.2071428571428564,30.1,30.1,30.0,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,34.9,34.9,34.9,30.0,31.32857142857143,32.41428571428572,32.49333333333333,,,,,,
CARE,N,0,PRINTCARE PLC,2019-05-13,27.7,13,5,2019,38.91213389121339,-0.15991280286393206,0.2901369807637572,-0.45004978362768927,31.919999999999998,36.23037915049855,27.60962084950145,-3.0,2.471428571428571,2.471428571428571,34.6,30.1,30.1,30.0,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,34.9,34.9,34.9,31.557142857142857,32.535714285714285,32.64666666666667,,,,,,
CARE,N,0,PRINTCARE PLC,2019-05-14,33.1,14,5,2019,50.170648464163826,-0.011022101023399955,0.2299051644063258,-0.24092726542972576,32.015,36.34228187446261,27.687718125537394,0.0,2.6499999999999995,2.6499999999999995,27.7,34.6,30.1,30.1,30.0,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,34.9,34.9,30.8,32.15714285714286,32.40666666666667,,,,,,
CARE,N,0,PRINTCARE PLC,2019-06-04,32.8,4,6,2019,46.402877697841724,0.08182414231061941,0.20028895998718454,-0.11846481767656514,32.095,36.41799847206469,27.77200152793531,2.0,2.5,2.5,33.1,27.7,34.6,30.1,30.1,30.0,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,34.9,31.228571428571428,32.16428571428572,32.34666666666667,,,,,,
CARE,N,0,PRINTCARE PLC,2019-06-06,26.6,6,6,2019,39.44954128440367,-0.23724873419190828,0.112781421151366,-0.3500301553432743,32.129999999999995,36.294562275602125,27.965437724397866,2.0,2.9214285714285713,2.9214285714285713,32.8,33.1,27.7,34.6,30.1,30.1,30.0,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,33.7,31.2,32.02142857142857,32.27666666666667,,,,,,
CARE,N,0,PRINTCARE PLC,2019-06-07,32.5,7,6,2019,49.29577464788733,-0.11757934986549046,0.0667092669479947,-0.18428861681348516,32.12,36.27975707792755,27.960242922072446,-3.0,3.128571428571429,3.128571428571429,27.9,32.8,33.1,27.7,34.6,30.1,30.1,30.0,33.0,30.1,33.0,33.0,33.0,33.0,34.8,34.8,33.0,33.0,32.9,32.7,27.2,31.2,31.2,31.2,35.3,35.3,31.6,31.6,31.6,33.7,30.9,31.528571428571432,32.083333333333336,,,,,,
