COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30
RIL,N,0,R I L PROPERTY,2023-02-15,5.6,,,,,15,2,2023,33.33333333333337,-0.03416396507588182,-0.00808368134493445,-0.026080283730947368,5.685,5.8826173868336165,5.487382613166383,-10.0,0.2714285714285715,0.2714285714285715,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.8,6.0,6.0,5.7,5.7,5.9,6.0,5.6,5.628571428571429,5.692857142857143,5.719999999999999
RIL,N,0,R I L PROPERTY,2023-02-16,5.5,,,,,16,2,2023,33.33333333333337,-0.042027408301698266,-0.014872426736287213,-0.027154981565411053,5.675,5.888984751055328,5.461015248944672,29.0,0.25000000000000006,0.25000000000000006,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.8,6.0,6.0,5.7,5.7,5.9,6.0,5.6000000000000005,5.671428571428571,5.716666666666666
RIL,N,0,R I L PROPERTY,2023-02-17,5.5,,,,,17,2,2023,30.000000000000043,-0.05568648879711979,-0.023035239148453727,-0.032651249648666066,5.66,5.906234804500437,5.413765195499563,-28.0,0.2285714285714286,0.2285714285714286,5.5,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.8,6.0,6.0,5.7,5.7,5.9,5.585714285714286,5.6499999999999995,5.7
RIL,N,0,R I L PROPERTY,2023-02-20,5.5,,,,,20,2,2023,44.444444444444464,-0.057776235751685334,-0.029983438469100048,-0.027792797282585286,5.65,5.905466549463402,5.394533450536598,10.0,0.2071428571428571,0.2071428571428571,5.4,5.5,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.8,6.0,6.0,5.7,5.7,5.557142857142858,5.621428571428572,5.683333333333333
RIL,N,0,R I L PROPERTY,2023-02-21,5.4,,,,,21,2,2023,37.499999999999986,-0.05875508324313472,-0.03573776742390698,-0.023017315819227738,5.6450000000000005,5.908378854604222,5.381621145395779,-14.0,0.19285714285714275,0.19285714285714275,5.5,5.4,5.5,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.8,6.0,6.0,5.7,5.528571428571429,5.614285714285715,5.676666666666666
RIL,N,0,R I L PROPERTY,2023-02-22,5.4,,,,,22,2,2023,37.499999999999986,-0.05087520497298037,-0.03876525493372166,-0.012109950039258709,5.635,5.8886055785539515,5.381394421446048,154.0,0.21428571428571416,0.21428571428571416,5.5,5.5,5.4,5.5,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.8,6.0,6.0,5.5,5.6000000000000005,5.67
RIL,N,0,R I L PROPERTY,2023-02-23,5.7,,,,,23,2,2023,37.499999999999986,-0.044121736755929675,-0.03983655129816327,-0.004285185457766405,5.625,5.866704473751685,5.383295526248315,-137.0,0.21428571428571416,0.21428571428571416,5.6,5.5,5.5,5.4,5.5,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.8,6.0,5.5,5.585714285714286,5.656666666666666
RIL,N,0,R I L PROPERTY,2023-02-24,5.7,,,,,24,2,2023,42.85714285714281,-0.03832774613851608,-0.039534790266233834,0.0012070441277177504,5.615,5.842341616353707,5.3876583836462935,-17.0,0.19999999999999987,0.19999999999999987,5.6,5.6,5.5,5.5,5.4,5.5,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.8,5.514285714285714,5.571428571428571,5.643333333333332
RIL,N,0,R I L PROPERTY,2023-02-27,5.7,,,,,27,2,2023,50.0,-0.033351511368307385,-0.038298134486648545,0.0049466231183411605,5.6049999999999995,5.815012530954452,5.394987469045547,-18.0,0.19285714285714275,0.19285714285714275,5.6,5.6,5.6,5.5,5.5,5.4,5.5,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.6,5.528571428571428,5.564285714285714,5.636666666666665
RIL,N,0,R I L PROPERTY,2023-02-28,5.5,,,,,28,2,2023,37.50000000000003,-0.04502709368374891,-0.03964392632606862,-0.005383167357680289,5.595000000000001,5.824186203313974,5.3658137966860275,140.0,0.19999999999999987,0.19999999999999987,5.6,5.6,5.6,5.6,5.5,5.5,5.4,5.5,5.5,5.5,5.6,5.7,5.7,5.6,5.6,5.7,5.8,5.8,5.7,5.6,5.8,5.8,5.8,5.8,5.6,5.7,5.7,5.7,5.5,5.6,5.542857142857143,5.564285714285714,5.636666666666665
