COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE
KZOO,N,0,RENUKA CAPITAL,2019-02-20,4.0,20,2,2019,50.0,0.002739442630353306,0.0256618758995478,-0.022922433269194496,4.035,4.242997975698652,3.8270020243013487,8.0,0.20714285714285713,0.20714285714285713,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,4.0,4.028571428571429,3.976666666666667,,
KZOO,N,0,RENUKA CAPITAL,2019-02-21,4.0,21,2,2019,41.66666666666667,-0.012695926980950567,0.01799031532344813,-0.030686242304398696,4.0200000000000005,4.250331568784975,3.789668431215026,-5.0,0.2071428571428571,0.2071428571428571,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.971428571428571,4.028571428571429,3.976666666666667,,
KZOO,N,0,RENUKA CAPITAL,2019-02-22,4.0,22,2,2019,46.15384615384615,-0.01666727437463944,0.011058797383830615,-0.027726071758470056,4.015,4.251420677695723,3.7785793223042763,16.0,0.20714285714285707,0.20714285714285707,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.8,3.8,3.8,3.8,3.9,3.9,3.928571428571428,4.014285714285714,3.973333333333333,,
KZOO,N,0,RENUKA CAPITAL,2019-02-26,4.0,26,2,2019,50.0,-0.011611580459442994,0.0065247218151758945,-0.01813630227461889,4.01,4.243057481050672,3.776942518949328,-15.0,0.19999999999999993,0.19999999999999993,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.8,3.8,3.8,3.8,3.9,3.914285714285714,4.007142857142858,3.9733333333333336,,
KZOO,N,0,RENUKA CAPITAL,2019-02-27,4.0,27,2,2019,41.66666666666667,-0.007518241004978776,0.00371612925114496,-0.011234370256123737,4.0,4.215211034739588,3.7847889652604123,1.0,0.19285714285714278,0.19285714285714278,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.8,3.8,3.8,3.8,3.9285714285714284,4.007142857142858,3.976666666666666,,
KZOO,N,0,RENUKA CAPITAL,2019-02-28,3.9,28,2,2019,38.46153846153848,-0.020179946663104964,-0.0010630859317050244,-0.01911686073139994,3.9900000000000007,4.223057481050672,3.7569425189493293,19.0,0.1999999999999999,0.1999999999999999,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.8,3.8,3.8,3.942857142857142,3.9928571428571433,3.9833333333333334,,
KZOO,N,0,RENUKA CAPITAL,2019-03-01,3.8,1,3,2019,30.769230769230774,-0.03784732349881015,-0.00841993344512605,-0.029427390053684097,3.9799999999999995,4.244376127594957,3.7156238724050423,-5.0,0.20714285714285702,0.20714285714285702,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.8,3.8,3.8999999999999995,3.9714285714285715,3.983333333333333,,
KZOO,N,0,RENUKA CAPITAL,2019-03-05,3.8,5,3,2019,42.857142857142854,-0.03530356092280895,-0.013796658940662631,-0.02150690198214632,3.975,4.2415569949915914,3.7084430050084087,-15.0,0.19999999999999982,0.19999999999999982,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.8,3.871428571428571,3.935714285714286,3.979999999999999,,
KZOO,N,0,RENUKA CAPITAL,2019-03-06,3.8,6,3,2019,37.5,-0.04886268071741995,-0.020809863296014097,-0.028052817421405852,3.96,4.253078038826018,3.6669219611739816,-1.0,0.19999999999999982,0.19999999999999982,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.7,3.871428571428571,3.9214285714285713,3.983333333333333,,
KZOO,N,0,RENUKA CAPITAL,2019-03-07,3.7,7,3,2019,39.99999999999999,-0.058929083055449194,-0.02843370724790112,-0.030495375807548075,3.9450000000000003,4.259391643119148,3.6306083568808525,-3.0,0.1928571428571427,0.1928571428571427,3.7,3.9,3.7,3.8,4.0,4.0,3.9,3.8,3.9,3.9,4.1,3.9,3.9,4.0,4.1,4.1,4.2,4.1,4.2,4.0,4.0,4.0,3.9,4.0,4.2,4.1,4.0,4.1,4.0,4.0,3.857142857142857,3.8928571428571423,3.983333333333333,,
