COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE
SFL,P,0,SINHAPUTHRA FIN,2019-01-28,4.8,28,1,2019,49.671772428884026,-0.24776758384769249,-0.22806117179992663,-0.019706412047765853,6.734999999999999,10.440628720005057,3.0293712799949426,-1.0,3.285714285714285,3.285714285714285,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,8.3,5.1,8.7,8.2,5.2,8.5,5.3,8.3,7.014285714285713,6.792857142857144,6.866666666666666,,
SFL,N,0,SINHAPUTHRA FIN,2019-01-29,8.3,29,1,2019,49.891067538126364,-0.08531948032943948,-0.1995128335058292,0.11419335317638973,6.904999999999999,10.587376235101745,3.2226237648982536,-2.0,3.2999999999999994,3.2999999999999994,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,8.3,5.1,8.7,8.2,5.2,8.5,5.3,6.499999999999999,6.771428571428572,6.756666666666665,,
SFL,P,0,SINHAPUTHRA FIN,2019-01-29,5.0,29,1,2019,46.10655737704918,-0.22032088662904759,-0.20367444413047292,-0.016646442498574665,6.75,10.463701515653678,3.0362984843463225,8.0,3.514285714285714,3.514285714285714,8.4,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,8.3,5.1,8.7,8.2,5.2,8.5,7.0,6.764285714285715,6.859999999999999,,
SFL,N,0,SINHAPUTHRA FIN,2019-01-30,8.5,30,1,2019,53.541666666666664,-0.06830978459450687,-0.17660151222327972,0.10829172762877284,6.755,10.477181024473067,3.0328189755269332,-5.0,3.464285714285714,3.464285714285714,5.1,8.4,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,8.3,5.1,8.7,8.2,5.2,6.485714285714286,6.492857142857143,6.746666666666666,,
SFL,P,0,SINHAPUTHRA FIN,2019-01-30,5.1,30,1,2019,46.300211416490484,-0.19572775554072663,-0.1804267608867691,-0.01530099465395754,6.764999999999999,10.468355519696043,3.0616444803039546,44.0,3.4357142857142855,3.4357142857142855,8.3,5.1,8.4,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,8.3,5.1,8.7,8.2,6.971428571428571,6.735714285714287,6.849999999999999,,
SFL,P,0,SINHAPUTHRA FIN,2019-01-31,5.0,31,1,2019,50.11441647597254,-0.3172577583556775,-0.20779296038055078,-0.1094647979751267,6.6,10.328129204899026,2.8718707951009725,-37.0,3.1785714285714284,3.1785714285714284,5.2,8.3,5.1,8.4,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,8.3,5.1,8.7,6.471428571428572,6.485714285714286,6.749999999999999,,
SFL,N,0,SINHAPUTHRA FIN,2019-01-31,8.6,31,1,2019,53.518123667377395,-0.14561023624937697,-0.19535641555431604,0.049746179304939075,6.745,10.485799239115675,3.0042007608843244,-7.0,3.428571428571428,3.428571428571428,4.9,5.2,8.3,5.1,8.4,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,8.3,5.1,6.5,6.492857142857143,6.623333333333333,,
SFL,N,0,SINHAPUTHRA FIN,2019-02-01,8.8,1,2,2019,50.22831050228311,0.03839406438945492,-0.14860631956556186,0.18700038395501678,6.76,10.532699717429779,2.9873002825702204,2.0,3.221428571428571,3.221428571428571,8.2,4.9,5.2,8.3,5.1,8.4,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,8.3,6.442857142857143,6.7285714285714295,6.726666666666666,,
SFL,P,0,SINHAPUTHRA FIN,2019-02-01,5.1,1,2,2019,50.34324942791762,-0.10506004837943106,-0.1398970653283357,0.03483701694890465,6.575,10.267880775363949,2.8821192246360523,1.0,3.228571428571428,3.228571428571428,8.8,8.2,4.9,5.2,8.3,5.1,8.4,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,5.0,6.985714285714286,6.742857142857145,6.743333333333331,,
SFL,N,0,SINHAPUTHRA FIN,2019-02-05,8.9,5,2,2019,50.22935779816513,0.07890108889143477,-0.09613743448438161,0.17503852337581638,6.775,10.518837040987988,3.031162959012013,-4.0,3.2214285714285715,3.2214285714285715,5.2,8.8,8.2,4.9,5.2,8.3,5.1,8.4,5.0,8.6,4.7,8.7,4.9,8.7,4.9,8.6,4.9,4.8,8.7,4.9,8.9,8.5,5.3,8.2,5.0,8.2,8.2,5.0,8.7,5.0,6.52857142857143,6.764285714285715,6.749999999999998,,
