COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SLTL,N,0,SLT,2019-02-20,22.5,20,2,2019,43.05555555555555,-0.41975300231698043,-0.39835550366506006,-0.021397498651920366,22.725,24.149411235711476,21.300588764288527,11.0,0.7928571428571429,0.7928571428571429,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,23.8,23.1,23.9,24.6,25.0,25.0,25.1,24.5,22.571428571428573,22.642857142857142,23.27,,,,,,
SLTL,N,0,SLT,2019-02-21,22.0,21,2,2019,43.05555555555555,-0.4311844153541564,-0.40492128600287935,-0.02626312935127706,22.675,24.128670490426522,21.22132950957348,-9.0,0.835714285714286,0.835714285714286,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,23.8,23.1,23.9,24.6,25.0,25.0,25.1,22.428571428571427,22.571428571428573,23.186666666666667,,,,,,
SLTL,N,0,SLT,2019-02-22,22.0,22,2,2019,39.74358974358972,-0.5149989479006152,-0.4269368183824266,-0.08806212951818859,22.625,24.236635325082162,21.013364674917838,4.0,0.8785714285714289,0.8785714285714289,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,23.8,23.1,23.9,24.6,25.0,25.0,22.357142857142858,22.500000000000004,23.08333333333333,,,,,,
SLTL,N,0,SLT,2019-02-25,22.0,25,2,2019,41.975308641975296,-0.4950245908028208,-0.44055437286650545,-0.054470217936315346,22.62,24.239096564201958,21.000903435798044,12.0,0.835714285714286,0.835714285714286,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,23.8,23.1,23.9,24.6,25.0,22.214285714285715,22.38571428571429,22.95,,,,,,
SLTL,N,0,SLT,2019-02-26,21.4,26,2,2019,43.58974358974359,-0.4737338598481067,-0.4471902702628257,-0.02654358958528097,22.495,23.870691213822905,21.119308786177097,-18.0,0.8571428571428574,0.8571428571428574,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,23.8,23.1,23.9,24.6,22.071428571428573,22.292857142857144,22.85,,,,,,
SLTL,N,0,SLT,2019-02-27,22.0,27,2,2019,52.77777777777777,-0.4197455793582492,-0.4417013320819104,0.021955752723661237,22.419999999999998,23.62629925588011,21.213700744119887,4.0,0.8571428571428574,0.8571428571428574,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,23.8,23.1,23.9,21.87142857142857,22.22142857142857,22.763333333333332,,,,,,
SLTL,N,0,SLT,2019-02-28,22.5,28,2,2019,58.02469135802468,-0.2928915638250764,-0.4119393784305437,0.11904781460546726,22.439999999999998,23.698905121628798,21.181094878371198,8.0,0.8714285714285717,0.8714285714285717,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,23.8,23.1,21.914285714285715,22.25,22.71333333333333,,,,,,
SLTL,N,0,SLT,2019-03-01,22.0,1,3,2019,44.1860465116279,-0.30184763069994247,-0.3899210288844235,0.08807339818448101,22.389999999999997,23.634609429330748,21.145390570669246,-2.0,0.9357142857142858,0.9357142857142858,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,23.8,22.114285714285717,22.342857142857145,22.723333333333333,,,,,,
SLTL,N,0,SLT,2019-03-05,22.0,5,3,2019,46.91358024691358,-0.30542463317226876,-0.37302174974199254,0.06759711656972378,22.360000000000003,23.612198067399913,21.107801932600093,1.0,0.8928571428571429,0.8928571428571429,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,23.8,22.114285714285717,22.271428571428572,22.663333333333338,,,,,,
SLTL,N,0,SLT,2019-03-06,22.0,6,3,2019,50.64935064935066,-0.29676929740930547,-0.35777125927545517,0.0610019618661497,22.3,23.47518195679606,21.12481804320394,-2.0,0.9428571428571428,0.9428571428571428,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,23.7,22.114285714285717,22.235714285714288,22.60333333333334,,,,,,
SLTL,N,0,SLT,2019-03-07,22.8,7,3,2019,43.28358208955224,-0.28660606514591436,-0.343538220449547,0.05693215530363266,22.255000000000003,23.385393503911047,21.12460649608896,-9.0,0.9214285714285714,0.9214285714285714,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,23.1,22.271428571428572,22.24285714285714,22.55,,,,,,
SLTL,N,0,SLT,2019-03-08,22.5,8,3,2019,39.062500000000014,-0.283354460778348,-0.33150146851530726,0.048147007736959235,22.255000000000003,23.385393503911047,21.12460649608896,2.0,0.8857142857142856,0.8857142857142856,22.1,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,23.0,22.285714285714285,22.178571428571427,22.516666666666666,,,,,,
SLTL,N,0,SLT,2019-03-11,22.3,11,3,2019,39.06249999999998,-0.3812815005384813,-0.34145747491994205,-0.03982402561853926,22.185,23.512086242388534,20.857913757611463,23.0,0.9142857142857144,0.9142857142857144,22.0,22.1,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.0,22.285714285714285,22.07857142857143,22.483333333333334,,,,,,
SLTL,N,0,SLT,2019-03-12,21.0,12,3,2019,39.682539682539684,-0.45365987641279304,-0.36389795521851226,-0.08976192119428078,22.07,23.494743744271997,20.645256255728004,-13.0,0.9357142857142856,0.9357142857142856,20.7,22.0,22.1,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,22.1,22.042857142857144,21.978571428571428,22.439999999999998,,,,,,
SLTL,N,0,SLT,2019-03-13,21.5,13,3,2019,39.682539682539684,-0.5051966680361062,-0.392157697782031,-0.11303897025407517,21.979999999999997,23.513623161014493,20.4463768389855,3.0,0.9999999999999998,0.9999999999999998,20.7,20.7,22.0,22.1,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,24.5,21.657142857142855,21.885714285714283,22.39333333333333,,,,,,
SLTL,N,0,SLT,2019-03-14,22.4,14,3,2019,51.28205128205128,-0.42015914958672695,-0.39775798814297025,-0.0224011614437567,21.99,23.52677721564526,20.453222784354736,-9.0,1.078571428571428,1.078571428571428,20.7,20.7,20.7,22.0,22.1,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,23.9,21.471428571428568,21.792857142857144,22.266666666666662,,,,,,
SLTL,N,0,SLT,2019-03-15,22.5,15,3,2019,59.42028985507247,-0.34076896676072366,-0.38636018386652093,0.04559121710579728,21.955,23.425374102057056,20.48462589794294,10.0,1.0428571428571425,1.0428571428571425,22.2,20.7,20.7,20.7,22.0,22.1,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,23.0,21.5,21.807142857142857,22.209999999999994,,,,,,
SLTL,N,0,SLT,2019-03-18,22.6,18,3,2019,57.57575757575757,-0.21884481820176305,-0.35285711073356935,0.1340122925318063,21.935,23.331650127608007,20.53834987239199,0.0,1.0499999999999994,1.0499999999999994,22.3,22.2,20.7,20.7,20.7,22.0,22.1,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,23.0,21.528571428571432,21.900000000000002,22.186666666666664,,,,,,
SLTL,N,0,SLT,2019-03-19,23.2,19,3,2019,59.42028985507247,-0.09689461841110614,-0.3016646122690767,0.20476999385797057,21.994999999999997,23.518811011904063,20.471188988095932,4.0,1.0642857142857136,1.0642857142857136,23.0,22.3,22.2,20.7,20.7,20.7,22.0,22.1,22.1,22.0,22.0,23.4,22.4,22.0,22.0,21.0,22.0,22.0,22.0,22.1,23.4,23.0,22.0,22.5,23.0,22.1,22.0,23.0,23.3,22.6,21.657142857142855,21.971428571428568,22.186666666666664,,,,,,
