COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
PARQ,N,0,SWISSTEK,2019-02-20,36.8,20,2,2019,44.82758620689654,-0.8653076869989178,-0.8101404985540986,-0.05516718844481916,37.38,40.30761803663337,34.45238196336663,-8.0,1.9142857142857135,1.9142857142857135,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,38.7,37.0,39.0,38.4,37.2,38.5,38.1,41.0,35.71428571428571,37.092857142857156,37.82666666666666,,,,,,
PARQ,N,0,SWISSTEK,2019-02-21,37.5,21,2,2019,35.77235772357723,-0.9098106106501263,-0.8300745209733043,-0.079736089676822,37.22,40.238260216886886,34.20173978311311,3.0,1.9142857142857141,1.9142857142857141,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,38.7,37.0,39.0,38.4,37.2,38.5,38.1,35.84285714285714,37.00714285714286,37.68666666666666,,,,,,
PARQ,N,0,SWISSTEK,2019-02-22,36.5,22,2,2019,41.935483870967744,-0.8704916977198707,-0.8381579563226176,-0.03233374139725309,37.175,40.233637467549016,34.11636253245098,4.0,1.8857142857142857,1.8857142857142857,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,38.7,37.0,39.0,38.4,37.2,38.5,35.84285714285714,36.75714285714286,37.59333333333334,,,,,,
PARQ,N,0,SWISSTEK,2019-02-25,35.0,25,2,2019,42.97520661157024,-0.8457205642534902,-0.8396704779087922,-0.006050086344697947,37.025,40.02105003120336,34.02894996879664,4.0,1.7999999999999996,1.7999999999999996,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,38.7,37.0,39.0,38.4,37.2,35.87142857142857,36.614285714285714,37.51333333333334,,,,,,
PARQ,N,0,SWISSTEK,2019-02-26,36.4,26,2,2019,45.23809523809523,-0.7767890999792186,-0.8270942023228776,0.050305102343658925,36.89999999999999,39.77273938583841,34.02726061416157,-12.0,1.6857142857142853,1.6857142857142853,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,38.7,37.0,39.0,38.4,35.885714285714286,36.49285714285715,37.470000000000006,,,,,,
PARQ,N,0,SWISSTEK,2019-02-27,35.0,27,2,2019,33.03571428571428,-0.7617939174283848,-0.8140341453439791,0.05224022791559435,36.78,39.62445906428991,33.935540935710094,21.0,1.6428571428571423,1.6428571428571423,36.4,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,38.7,37.0,39.0,36.0,36.40714285714286,37.403333333333336,,,,,,
PARQ,N,0,SWISSTEK,2019-02-28,36.0,28,2,2019,36.44067796610169,-0.6935008950033392,-0.7899274952758513,0.09642660027251204,36.7,39.48945382316663,33.91054617683338,-6.0,1.721428571428571,1.721428571428571,35.8,36.4,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,38.7,37.0,36.114285714285714,36.135714285714286,37.29666666666667,,,,,,
PARQ,N,0,SWISSTEK,2019-03-01,36.3,1,3,2019,52.439024390243894,-0.6400690296275542,-0.7599558021461918,0.11988677251863766,36.575,39.18661373786198,33.96338626213802,-15.0,1.3999999999999997,1.3999999999999997,36.4,35.8,36.4,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,38.7,36.1,35.90714285714286,37.27666666666667,,,,,,
PARQ,N,0,SWISSTEK,2019-03-05,35.2,5,3,2019,55.84415584415588,-0.598889431061032,-0.7277425279291599,0.12885309686812796,36.480000000000004,38.9944634250252,33.965536574974806,2.0,1.3571428571428565,1.3571428571428565,36.3,36.4,35.8,36.4,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,38.7,36.028571428571425,35.93571428571429,37.19666666666667,,,,,,
PARQ,N,0,SWISSTEK,2019-03-06,35.4,6,3,2019,40.659340659340685,-0.7193454215737347,-0.7260631066580749,0.00671768508434023,36.31,38.9616330618577,33.65836693814231,5.0,1.4285714285714282,1.4285714285714282,36.2,36.3,36.4,35.8,36.4,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,38.7,36.15714285714286,36.0,37.11333333333334,,,,,,
PARQ,N,0,SWISSTEK,2019-03-07,34.1,7,3,2019,40.659340659340685,-0.8134993124703129,-0.7435503478205225,-0.06994896464979039,36.135,38.888199096171185,33.38180090382881,-6.0,1.2714285714285711,1.2714285714285711,34.2,36.2,36.3,36.4,35.8,36.4,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,38.7,35.885714285714286,35.878571428571426,36.96333333333333,,,,,,
PARQ,N,0,SWISSTEK,2019-03-08,35.5,8,3,2019,49.5145631067961,-0.766315046791334,-0.7481032876146849,-0.01821175917664908,35.92999999999999,38.157200272232274,33.70279972776771,-1.0,1.25,1.25,34.1,34.2,36.2,36.3,36.4,35.8,36.4,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,38.5,35.628571428571426,35.75714285714286,36.809999999999995,,,,,,
PARQ,N,0,SWISSTEK,2019-03-11,35.9,11,3,2019,52.577319587628864,-0.7206143822645927,-0.7426055065446665,0.02199112428007377,35.724999999999994,37.13455386745704,34.315446132542945,-1.0,1.2357142857142855,1.2357142857142855,35.5,34.1,34.2,36.2,36.3,36.4,35.8,36.4,35.9,36.1,35.3,36.8,36.5,35.0,35.6,35.8,35.9,35.3,35.9,39.6,39.6,37.6,37.6,38.1,38.8,38.0,38.2,38.9,38.9,37.0,35.5,35.75,36.71000000000001,,,,,,
