COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
TJL,N,0,TEEJAY LANKA,2019-02-15,34.3,15,2,2019,55.88235294117647,0.29527880812972995,0.35520744216739,-0.05992863403766002,34.435,35.18690984901961,33.6830901509804,8.0,0.5500000000000002,0.5500000000000002,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,33.9,34.0,33.7,33.6,33.6,33.8,33.0,32.6,34.58571428571428,34.57857142857143,34.12,,,,,,
TJL,N,0,TEEJAY LANKA,2019-02-18,34.0,18,2,2019,40.47619047619048,0.191316468861487,0.32242924750620944,-0.13111277864472243,34.410000000000004,35.250801622513364,33.56919837748664,13.0,0.5928571428571432,0.5928571428571432,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,33.9,34.0,33.7,33.6,33.6,33.8,33.0,34.6,34.607142857142854,34.18333333333333,,,,,,
TJL,N,0,TEEJAY LANKA,2019-02-20,33.5,20,2,2019,33.333333333333286,0.06779820910589507,0.2715030398261466,-0.20370483072025153,34.38,35.37175548769264,33.38824451230737,-11.0,0.5928571428571432,0.5928571428571432,33.5,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,33.9,34.0,33.7,33.6,33.6,33.8,34.528571428571425,34.55,34.2,,,,,,
TJL,N,0,TEEJAY LANKA,2019-02-21,33.0,21,2,2019,23.636363636363527,-0.125474481119781,0.1921075356369611,-0.3175820167567421,34.255,35.77742880742721,32.73257119257279,2.0,0.6357142857142859,0.6357142857142859,33.0,33.5,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,33.9,34.0,33.7,33.6,33.6,34.24285714285714,34.442857142857136,34.17333333333333,,,,,,
TJL,N,0,TEEJAY LANKA,2019-02-22,31.8,22,2,2019,23.636363636363583,-0.25951462894764177,0.10178310272004054,-0.3612977316676823,34.155,35.98052083411543,32.32947916588457,11.0,0.6428571428571431,0.6428571428571431,31.8,33.0,33.5,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,33.9,34.0,33.7,33.6,33.785714285714285,34.23571428571428,34.11333333333334,,,,,,
TJL,N,0,TEEJAY LANKA,2019-02-25,32.0,25,2,2019,22.807017543859587,-0.39348323902419935,0.0027298343711925632,-0.3962130733953919,34.025,36.1779661302247,31.872033869775294,-8.0,0.6500000000000004,0.6500000000000004,32.0,31.8,33.0,33.5,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,33.9,34.0,33.7,33.4,34.028571428571425,34.06,,,,,,
TJL,N,0,TEEJAY LANKA,2019-02-26,32.0,26,2,2019,21.05263157894737,-0.5019374692662453,-0.09820362635629501,-0.4037338429099503,33.894999999999996,36.325053064181276,31.464946935818713,-14.0,0.6357142857142859,0.6357142857142859,31.6,32.0,31.8,33.0,33.5,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,33.9,34.0,32.98571428571429,33.80714285714286,33.989999999999995,,,,,,
TJL,N,0,TEEJAY LANKA,2019-02-27,31.9,27,2,2019,22.64150943396227,-0.5811886471565515,-0.19480063051634633,-0.38638801664020517,33.755,36.39993557776486,31.110064422235148,18.0,0.6071428571428574,0.6071428571428574,31.5,31.6,32.0,31.8,33.0,33.5,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,33.9,32.55714285714286,33.57142857142857,33.906666666666666,,,,,,
TJL,N,0,TEEJAY LANKA,2019-02-28,31.5,28,2,2019,30.188679245282998,-0.6047479614904674,-0.27679009671117055,-0.32795786477929684,33.625,36.36946812026627,30.880531879733727,13.0,0.6214285714285717,0.6214285714285717,31.5,31.5,31.6,32.0,31.8,33.0,33.5,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,33.6,32.128571428571426,33.364285714285714,33.82666666666667,,,,,,
TJL,N,0,TEEJAY LANKA,2019-03-01,32.0,1,3,2019,13.04347826086952,-0.6402460230171556,-0.3494812819723676,-0.290764741044788,33.47,36.30741913865771,30.632580861342294,-22.0,0.5928571428571429,0.5928571428571429,31.9,31.5,31.5,31.6,32.0,31.8,33.0,33.5,34.5,34.5,34.5,34.7,35.0,35.0,34.0,34.4,34.8,34.7,34.9,34.7,34.5,34.3,34.1,34.2,34.0,34.3,33.6,34.0,34.0,33.6,31.900000000000002,33.214285714285715,33.77,,,,,,
