COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
TRAN,N,0,TRANS ASIA,2019-04-12,79.0,12,4,2019,58.42696629213482,-1.0689952293589897,-1.7128899719658663,0.6438947426068766,76.58500000000001,80.99993875501428,72.17006124498573,0.0,4.164285714285717,4.164285714285717,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,80.0,80.0,80.0,76.5,76.5,76.5,87.8,87.8,76.2,76.61428571428571,77.99333333333334,,,,,,
TRAN,N,0,TRANS ASIA,2019-04-17,79.0,17,4,2019,61.458333333333336,-0.7838343253687441,-1.527078842646442,0.7432445172776978,76.44500000000001,80.19816007203485,72.69183992796516,1.0,4.185714285714289,4.185714285714289,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,80.0,80.0,80.0,76.5,76.5,76.5,87.8,76.57142857142857,76.72142857142856,77.70000000000002,,,,,,
TRAN,N,0,TRANS ASIA,2019-04-23,74.0,23,4,2019,41.25874125874127,-0.926413852722618,-1.4069458446616774,0.4805319919390594,76.535,80.0385470747892,73.0314529252108,1.0,4.685714285714289,4.685714285714289,79.7,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,80.0,80.0,80.0,76.5,76.5,76.5,77.04285714285713,76.87857142857142,77.43,,,,,,
TRAN,N,0,TRANS ASIA,2019-04-24,75.0,24,4,2019,41.25874125874127,-1.0275640368007686,-1.3310694830894958,0.3035054462887272,76.64,79.7932105610165,73.48678943898351,-3.0,4.078571428571431,4.078571428571431,75.0,79.7,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,80.0,80.0,80.0,76.5,76.5,77.21428571428571,76.69999999999997,77.38000000000001,,,,,,
TRAN,N,0,TRANS ASIA,2019-05-02,70.0,2,5,2019,28.78048780487805,-1.6774388073827708,-1.4003433479481509,-0.27709545943462,76.25,81.33475533748735,71.16524466251265,16.0,4.078571428571431,4.078571428571431,75.0,75.0,79.7,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,80.0,80.0,80.0,76.5,77.38571428571429,76.52142857142857,77.33,,,,,,
TRAN,N,0,TRANS ASIA,2019-05-03,68.0,3,5,2019,29.807692307692307,-2.1435522167289776,-1.5489851217043162,-0.5945670950246613,75.85,82.13465131135086,69.56534868864912,-12.0,4.021428571428573,4.021428571428573,67.7,75.0,75.0,79.7,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,80.0,80.0,80.0,76.05714285714285,75.89999999999999,77.03666666666666,,,,,,
TRAN,N,0,TRANS ASIA,2019-05-07,73.6,7,5,2019,29.807692307692307,-2.4843128398152743,-1.736050665326508,-0.7482621744887663,75.375,82.51270566115362,68.23729433884638,-2.0,4.128571428571431,4.128571428571431,68.0,67.7,75.0,75.0,79.7,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,80.0,80.0,74.77142857142857,75.29999999999998,76.63666666666668,,,,,,
TRAN,N,0,TRANS ASIA,2019-05-16,72.0,16,5,2019,41.129032258064505,-2.4038909594433875,-1.869618724149884,-0.5342722352935034,75.1,82.31635569201558,67.88364430798441,-2.0,3.971428571428573,3.971428571428573,68.0,68.0,67.7,75.0,75.0,79.7,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,80.0,73.2,74.7,76.23666666666668,,,,,,
TRAN,N,0,TRANS ASIA,2019-05-24,66.0,24,5,2019,33.44262295081967,-2.7681884496427074,-2.049332669248449,-0.7188557803942586,74.53999999999999,82.6545483384378,66.42545166156218,8.0,3.7642857142857156,3.7642857142857156,72.0,68.0,68.0,67.7,75.0,75.0,79.7,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,80.0,72.2,74.38571428571427,75.97000000000001,,,,,,
TRAN,N,0,TRANS ASIA,2019-05-27,68.9,27,5,2019,34.93150684931507,-3.1257641077801424,-2.264618956954788,-0.8611451508253545,73.91499999999999,82.94367362176877,64.88632637823122,-4.0,3.4285714285714297,3.4285714285714297,66.3,72.0,68.0,68.0,67.7,75.0,75.0,79.7,79.0,79.0,77.0,77.0,73.8,73.8,76.4,76.4,76.4,76.4,76.4,77.5,77.5,77.5,77.5,76.0,75.5,72.9,73.2,82.5,82.0,80.0,70.28571428571429,73.66428571428571,75.51333333333334,,,,,,
