COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
VFIN,N,0,VALLIBEL FINANCE,2019-02-18,70.1,18,2,2019,41.44144144144142,0.1871653238419242,0.3371543820441178,-0.1499890582021936,70.575,72.3292429766292,68.8207570233708,20.0,1.1071428571428572,1.1071428571428572,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,70.0,70.0,69.7,66.7,67.1,68.0,69.0,68.7,70.55714285714285,70.55,70.08666666666666,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-02-21,69.4,21,2,2019,41.81818181818182,-0.0028776222519013572,0.26914798118491395,-0.2720256034368153,70.465,72.51621273499623,68.41378726500378,-15.0,1.1142857142857139,1.1142857142857139,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,70.0,70.0,69.7,66.7,67.1,68.0,69.0,70.3,70.41428571428571,70.13333333333334,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-02-22,67.2,22,2,2019,40.35087719298243,-0.23151095469290794,0.16901619400934959,-0.40052714870225753,70.32,72.83697395591153,67.80302604408845,-5.0,1.1285714285714283,1.1285714285714283,68.2,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,70.0,70.0,69.7,66.7,67.1,68.0,70.04285714285714,70.28571428571428,70.10666666666665,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-02-25,67.2,25,2,2019,39.82300884955753,-0.40800133247782355,0.05361268871191495,-0.4616140211897385,70.15,73.02163991291975,67.27836008708026,0.0,1.0857142857142859,1.0857142857142859,67.2,68.2,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,70.0,70.0,69.7,66.7,67.1,69.5,70.12857142857142,70.08,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-02-26,67.1,26,2,2019,39.473684210526294,-0.5496048896315102,-0.0670308269567701,-0.4825740626747401,69.975,73.14251604490599,66.807483955094,0.0,1.0357142857142867,1.0357142857142867,67.2,67.2,68.2,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,70.0,70.0,69.7,66.7,69.10000000000001,69.96428571428571,70.08333333333333,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-02-27,66.8,27,2,2019,25.773195876288653,-0.6782161678615211,-0.1892678951377203,-0.48894827272380076,69.715,73.0327512993307,66.39724870066931,-1.0,0.9142857142857151,0.9142857142857151,67.1,67.2,67.2,68.2,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,70.0,70.0,69.7,68.54285714285713,69.79285714285714,70.09666666666666,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-02-28,66.8,28,2,2019,22.580645161290278,-0.7712510306586893,-0.3056645222419141,-0.4655865084167752,69.455,72.83324308121684,66.07675691878316,1.0,0.8428571428571436,0.8428571428571436,66.8,67.1,67.2,67.2,68.2,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,70.0,70.0,68.08571428571427,69.45714285714284,70.0,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-03-01,66.5,1,3,2019,22.105263157894683,-0.8513068230991223,-0.4147929824133557,-0.4365138406857666,69.285,72.8828209779634,65.68717902203659,13.0,0.8000000000000002,0.8000000000000002,66.8,66.8,67.1,67.2,67.2,68.2,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,70.0,67.62857142857142,69.09285714285714,69.89333333333335,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-03-05,67.0,5,3,2019,40.21739130434785,-0.7766917679102932,-0.4871727395127432,-0.28951902839754995,69.225,72.85462953017462,65.59537046982537,-10.0,0.7928571428571435,0.7928571428571435,66.6,66.8,66.8,67.1,67.2,67.2,68.2,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,71.0,67.12857142857142,68.71428571428571,69.78,,,,,,
VFIN,N,0,VALLIBEL FINANCE,2019-03-06,68.3,6,3,2019,26.73267326732673,-0.8609484424157898,-0.5619278800933525,-0.29902056232243734,69.065,72.91878829342326,65.21121170657673,9.0,0.9000000000000006,0.9000000000000006,68.2,66.6,66.8,66.8,67.1,67.2,67.2,68.2,70.1,70.0,70.0,71.0,70.0,71.0,70.0,71.9,71.9,71.5,69.5,69.5,69.4,70.0,72.0,72.0,70.6,70.6,70.1,70.4,70.0,71.0,67.12857142857142,68.58571428571429,69.68666666666667,,,,,,
